SNP,Chr,Pos,Effect,SE,MID2_TPO2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.104565970484964,0.0722545120324772,0.148731304183113
2,1,1035,0.0513595329509315,0.073210321891548,0.48343203425376
3,1,1074,0.0329049809896693,0.123794117378989,0.790545274929453
4,1,1470,-0.258237776812727,0.122592569910952,0.0358687955709176
5,1,1475,0.0960358967073844,0.0909096242106787,0.291513103204831
6,1,1491,0.0125977221046902,0.0796454582514835,0.874411307962913
7,1,21249,-0.170220886949226,0.457167731706622,0.709864695990398
8,1,27243,-0.037993317186682,0.0623465823361523,0.542658684227385
9,1,27272,-0.0509375374171352,0.0613827283485327,0.407192898577253
10,1,27498,-0.584718482425048,0.560216652218493,0.297321623986801
11,1,27561,-0.195324934157747,0.423752190996023,0.645124495369827
12,1,27816,0.00559636161010779,0.0626955882285756,0.928923959540512
13,1,27822,0.00604056734374936,0.062615785752476,0.923201759238617
14,1,27823,0.0133627397277865,0.0639024206371339,0.834481710359674
15,1,27825,0.0106488349349225,0.0626140459659196,0.865051708068015
16,1,27843,0.0251170792780142,0.0599739205644748,0.675616989564051
17,1,27848,0.0251170792780142,0.0599739205644748,0.675616989564051
18,1,28495,0.032838702156097,0.0599643222716195,0.584287030928505
19,1,28975,0.0186502658718637,0.0595805235401879,0.754445602584894
20,1,29283,0.126974965077953,0.133370357652514,0.34172412056093
21,1,29752,-0.208198642514435,0.138784677569514,0.134467882306341
22,1,29787,0.108826042151741,0.376686668064977,0.772824920054954
23,1,30057,0.197808399882355,0.121695194296207,0.104960972999598
24,1,30479,0.110640621281433,0.357864760723194,0.757375520471057
25,1,30706,0.0165026098817115,0.0615341168457163,0.788712533398556
26,1,31435,0.0302469493039322,0.0594091046095064,0.61097929315949
27,1,35128,-0.124050175212082,0.0816470852921237,0.129570543949952
28,1,35129,-0.0751260185485116,0.0820259767703351,0.360354650929392
29,1,36146,0.0141282563305848,0.0591196801460451,0.811261935014105
30,1,37255,0.097629383164378,0.119225616587898,0.413417345815047
31,1,37409,0.0339894747742218,0.059416605513899,0.56764986373964
32,1,37478,0.0182194431679879,0.0594873371188919,0.75957635658976
33,1,39144,-0.0388550147841364,0.0591876303627024,0.511948261252036
34,1,41499,0.0205363274803124,0.0590493595061719,0.728210898541588
35,1,45359,-0.231726694525398,0.0986603722294087,0.019388410825369
36,1,45634,0.0428747784625854,0.0912993505946597,0.638926046273752
37,1,51248,0.0811121776463244,0.0591535302743633,0.171179156627913
38,1,51462,0.071610970420846,0.0592688579161081,0.227763969599645
39,1,52124,0.0575541747510253,0.0592316997744694,0.331875798301268
