SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.206028689219513,0.176106637781631,0.242826982973653
2,1,1035,-0.0054620022071098,0.178377803076637,0.97558956638918
3,1,1074,0.36421268173439,0.300822387297647,0.22681145027636
4,1,1470,-0.299911684336651,0.299936310240586,0.318035170484837
5,1,1475,0.0654560042504135,0.221670634965931,0.767949807870816
6,1,1491,-0.00398651764481883,0.193928966037366,0.983610986084732
7,1,21249,-1.05765806197014,1.11191478025283,0.342151515901661
8,1,27243,0.0898483089811517,0.151807115938654,0.554324306031863
9,1,27272,0.13700244681008,0.14942367275399,0.359835456916124
10,1,27498,-1.00289999481881,1.36508557537245,0.46302264335802
11,1,27561,0.875045997273622,1.0310185940978,0.396612334888401
12,1,27816,-0.03068939393041,0.15264534193132,0.840775025496494
13,1,27822,-0.0386516817525847,0.152446183394743,0.799996143015554
14,1,27823,-0.0416496775202354,0.155584620742907,0.789088205140498
15,1,27825,-0.0370563521203446,0.152447305592881,0.808087347643047
16,1,27843,-0.045733542772121,0.146041581297155,0.754348409948325
17,1,27848,-0.045733542772121,0.146041581297155,0.754348409948325
18,1,28495,-0.0470990283628593,0.146042717214573,0.747263552943186
19,1,28975,-0.0362409480655288,0.145075051964937,0.802880930232782
20,1,29283,-0.0670379964619956,0.325129633631276,0.83676252536043
21,1,29752,-0.0824400511072811,0.338962496466452,0.807981743793155
22,1,29787,1.9986699601686,0.91108259445909,0.0289062537076789
23,1,30057,-0.171134913996369,0.297272954898913,0.565196433949061
24,1,30479,0.446285530683214,0.8711298043611,0.608756842309085
25,1,30706,-0.116660400827828,0.149710942429787,0.436361827630996
26,1,31435,-0.0879746612325894,0.144627689685476,0.543390532466687
27,1,35128,0.396573491890991,0.198324692886636,0.0463075678917498
28,1,35129,0.132226038801178,0.199831607240978,0.508603324533803
29,1,36146,-0.147726319485445,0.143742433287888,0.304787384999155
30,1,37255,-0.140850063678858,0.29047155543559,0.628047053411749
31,1,37409,-0.048124551660013,0.144713006313329,0.739670126613098
32,1,37478,-0.0616228211115962,0.144822958369724,0.670728228128822
33,1,39144,-0.0785162957137764,0.144138491981793,0.586284448290604
34,1,41499,-0.172943164060269,0.143504172493481,0.228955066393976
35,1,45359,-0.369928925436208,0.241287820228629,0.126136140176673
36,1,45634,-0.0385108401807885,0.222357299352983,0.862598594428404
37,1,51248,-0.204807386464335,0.143999151435577,0.155827432741479
38,1,51462,-0.190866579771739,0.144249707209806,0.18663596118623
39,1,52124,-0.168942666116475,0.144130942323896,0.241928462122676
40,1,52667,-0.184199662496893,0.143846009306415,0.201198246412513
41,1,55470,-0.209203002046423,0.147684292857078,0.157494767698554
42,1,59265,-0.084174359967804,0.144037327171563,0.559329433170573
43,1,60165,-0.064503848435847,0.143957156003656,0.654372715154889
44,1,62308,-0.227810411553346,0.143327760971047,0.112857007722339
45,1,62869,-0.18668460009971,0.143478013811664,0.194060071909934
46,1,65431,-0.125786682383046,0.150058113472332,0.402455786495875
47,1,65451,-0.122959250258847,0.147932882098537,0.406432289123052
48,1,65719,-0.0253562687387634,0.154411568507377,0.869658053912993
49,1,66841,-0.0984023465363924,0.143794088215705,0.494216976377353
50,1,66948,-0.153387781357476,0.144542129310828,0.289325543110263
51,1,68621,-0.265159523493228,0.143688891247953,0.0658207102708365
52,1,69417,-0.164180951394546,0.143732698849392,0.254117721228132
53,1,69820,-0.500721470823819,0.562838294897618,0.374266989407687
54,1,69821,-0.426531727246955,0.34887276820534,0.222296594176357
55,1,70906,-0.110727838667928,0.231241023067329,0.632347732568817
56,1,74327,-0.0257167626519371,0.144783309599793,0.859121390411063
57,1,74572,0.0308866571585305,0.14439494524991,0.830745414382703
58,1,75211,0.0489213555885936,0.144117546656966,0.734469202236035
59,1,76030,0.0775372922111787,0.14408197627441,0.590814663270889
60,1,80108,-0.0302030692593838,0.14409801923347,0.834100118286737
61,1,81262,-0.12906705450176,0.143888616455317,0.370334081423229
62,1,81999,-0.144582517851935,0.144199113368808,0.316712290273838
63,1,82431,-0.15262875750231,0.144860271903652,0.2927741672299
64,1,83284,-0.0837805132289661,0.143963048561623,0.560966135391997
65,1,83613,-0.058730775481022,0.143982292522384,0.683592346010136
66,1,84112,-0.0682872391380661,0.143986227291091,0.635606100608839
