SNP,Chr,Pos,Effect,SE,ERG11_ERV25_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0130500196022961,0.125446017320334,0.91720543931997
2,1,1035,-0.172272828061955,0.126488429284402,0.174077381717244
3,1,1074,-0.0306037864588813,0.214311240694384,0.886529090209176
4,1,1470,-0.182748700017389,0.213324007794669,0.392207366082389
5,1,1475,0.00398670280356272,0.157619118536207,0.979835334635296
6,1,1491,-0.0159996351544902,0.137873928635699,0.90768254873592
7,1,21249,-0.377196322289613,0.791288999773607,0.633880733260122
8,1,27243,-0.0524391205975767,0.107946826692562,0.627419877321898
9,1,27272,-0.113392472804488,0.10618987668987,0.286328028498245
10,1,27498,-0.619802168532348,0.970707757636477,0.523558751869139
11,1,27561,-0.366198580164308,0.733505504142313,0.617918151284999
12,1,27816,-0.0454241291846581,0.108504594841907,0.675735421060996
13,1,27822,-0.035335445374194,0.108377270007912,0.744586449197629
14,1,27823,-0.00580524250944825,0.110625830102926,0.958178802879099
15,1,27825,-0.0241127238389874,0.10838598920097,0.824076020206058
16,1,27843,0.0408318897612786,0.103821956431428,0.694344481401751
17,1,27848,0.0408318897612786,0.103821956431428,0.694344481401751
18,1,28495,0.0651756566747584,0.103788425703621,0.530431907424326
19,1,28975,0.00889726712745212,0.103151140753405,0.931312879010115
20,1,29283,-0.188701214780566,0.230951038438191,0.414444338721457
21,1,29752,-0.791883335539042,0.237296261727606,0.000936662289708735
22,1,29787,0.447679443764208,0.651711733134933,0.492578723269089
23,1,30057,0.60104535983324,0.209015560447975,0.00427731993665151
24,1,30479,-0.701313450096395,0.618446521293827,0.257567383989708
25,1,30706,0.0211454657593411,0.106524622330028,0.842765746730313
26,1,31435,0.0939140264736092,0.102757425705882,0.361372678705362
27,1,35128,0.0477092435204356,0.141775262001391,0.736683875898841
28,1,35129,0.0121906629280963,0.142159639632028,0.931711121367344
29,1,36146,0.0436912982052319,0.102322019781457,0.669641095630304
30,1,37255,0.110283422492263,0.206500121962177,0.593636288557993
31,1,37409,0.0978861992277816,0.102769849396927,0.34150546162248
32,1,37478,0.0883970436144733,0.102882760578607,0.390812321679226
33,1,39144,-0.0430408644080441,0.102494714935162,0.674790221635483
34,1,41499,-0.0615041903251243,0.102183522233768,0.547627553562228
35,1,45359,-0.196494666827866,0.171799066930411,0.253503589940594
36,1,45634,0.0564346079453864,0.15806617161314,0.72128153487691
37,1,51248,0.0428362956304611,0.102645790015526,0.676696952315148
38,1,51462,0.0564959190071433,0.102766347501463,0.582837700369247
39,1,52124,-0.0343217149998108,0.102654855254649,0.738320894629801
40,1,52667,-0.101577610865825,0.102363890391065,0.321721749594502
41,1,55470,-0.0749245352887826,0.105220653745131,0.476891394406989
42,1,59265,-0.128508107008214,0.102226286845982,0.209550512153353
43,1,60165,-0.0372057801792176,0.102358275705709,0.71645959813092
44,1,62308,0.0899390482485892,0.102152737059839,0.37922164066729
45,1,62869,0.050656230310105,0.102216440377277,0.620500471867875
46,1,65431,0.159088571156816,0.106455801016781,0.135961940972227
47,1,65451,0.197211664175431,0.104753220513842,0.0605725912647754
48,1,65719,0.088807132773712,0.109683429404928,0.418676606647945
49,1,66841,0.133125924221677,0.102054505010511,0.192926944675175
50,1,66948,0.126055947717654,0.102709108825042,0.220523833555949
51,1,68621,0.178474213873348,0.102208699477925,0.0816505432058489
52,1,69417,0.105492802422719,0.102223343221139,0.302786368822571
53,1,69820,-0.194581669392238,0.400472105774136,0.627353208464675
54,1,69821,0.231518237203292,0.248254867320551,0.351672790466532
55,1,70906,-0.222709801414716,0.164029637490312,0.175413084185959
56,1,74327,-0.0230578674223529,0.102932977016493,0.82288023830345
57,1,74572,0.0153598080234875,0.102662978014563,0.881154687390058
58,1,75211,-0.0408668615427374,0.102455995420899,0.690228456055803
59,1,76030,-0.0712476847946806,0.102408895599574,0.487063381956828
60,1,80108,-0.135079543348258,0.102202283650242,0.187127933872923
61,1,81262,-0.0940015338489975,0.102293838138889,0.358756304034156
62,1,81999,-0.129015481605636,0.102436333568931,0.208692762836676
63,1,82431,-0.108202807958452,0.102991336454362,0.294160544201145
64,1,83284,-0.153249365881378,0.102076235676117,0.134166059417216
65,1,83613,-0.117260398753017,0.102199931304477,0.252008739214746
66,1,84112,-0.110319711595342,0.102233123370412,0.281280153189448
67,1,84701,-0.159124235053666,0.109326776535432,0.146421860500865
68,1,84858,-0.0981585819541041,0.102557628738186,0.339168482111514
69,1,85751,-0.0927920829659098,0.102994352697845,0.368232661370355
70,1,87445,-0.197122468495652,0.102796646440313,0.0559689275955172
71,1,87467,-0.190921357239973,0.103373359282537,0.065596831810404
72,1,89070,-0.155393275489622,0.102889627313848,0.131863780777072
73,1,89616,-0.147800899735276,0.102364404169958,0.149662431989507
74,1,89679,-0.128485712858093,0.102451249637402,0.210629814593884
75,1,89880,-0.135527222265389,0.10245162527206,0.186744517546122
76,1,91472,-0.0997942373383213,0.103331185924904,0.334820071533491
77,1,93789,-0.159908303977584,0.102047295560976,0.118010207541641
78,1,94351,-0.1547244835081,0.102340307852703,0.131463510472931
79,1,99148,-0.104391108797265,0.102250758250192,0.307985643505534
80,1,101281,-0.427830831208206,1.11970713454721,0.702623250540003
81,1,106011,-0.101695635737612,0.106584333887435,0.340669202127291
82,1,106800,-0.0364164255534872,0.102521412302298,0.722645914761708
83,1,107970,-0.117897691173374,0.102043186326733,0.248720161498896
84,1,109000,-0.139458867486572,0.1021467846663,0.173034774054788
85,1,112549,-0.0146681219380227,0.102297203811737,0.886066111473911
86,1,112742,-0.00468960440620084,0.102698441092075,0.963604012366774
87,1,113050,0.0565403528510461,0.1024818011921,0.581495347447225
88,1,113135,0.0252842702647835,0.102255981549684,0.804847308194319
89,1,114076,0.0095547621083984,0.102263572072582,0.925612816115257
90,1,114628,0.0660816901567982,0.102463200740181,0.519390840697381
91,1,116283,0.0801621114546393,0.103005448341536,0.436953706111311
92,1,126880,-2.77418280276038,1.92869037513127,0.151213249953402
93,1,127853,0.100076905172592,0.102763872021284,0.330796388573743
94,1,128302,0.163708923865751,0.10213556254375,0.109860122216766
95,1,128704,0.117039827534509,0.102419332092685,0.253916308889362
96,1,128911,0.12731589042452,0.102395980759646,0.214557376081121
97,1,130267,-0.0396358124860705,0.102549617421406,0.699356489306058
98,1,130271,-0.0329927623084113,0.102678037751393,0.748156183907591
99,1,130613,-0.0276531937929219,0.103642263561953,0.789768268778858
100,1,132012,0.0357674169749261,0.103415180122384,0.729652198557782
101,1,133231,-0.000238695142888018,0.102698743627626,0.99814685011528
102,1,137074,0.0179249513207572,0.102548247773855,0.861340695226746
103,1,137304,0.0199007331442296,0.102582863104057,0.846290081570518
104,1,139686,-0.0289004731426299,0.102711630689231,0.778587744002075
105,1,149562,-0.0459200038292683,0.102928480896722,0.655773217822525
106,1,150447,-0.0643034474810864,0.104043248462838,0.536943970912915
107,1,151446,-0.263953164503572,0.208659382441489,0.206707403690598
108,1,154084,-0.0487946857079104,0.104388837774014,0.640479229365422
109,1,156633,-0.0149008374553335,0.105849766634361,0.888129208377499
110,1,157269,-0.0343426818317912,0.102509680354094,0.737809808414012
111,1,160054,-0.0864274244389555,0.103397780007143,0.403791710372599
112,1,166222,-0.0968802816542225,0.102605056524825,0.345710328327745
113,1,166416,-0.0806479138334599,0.102436080196162,0.431634620228105
114,1,167326,-0.0928717779249986,0.102990029494593,0.367801859379198
115,1,168836,-0.0156651277354773,0.102616570304318,0.878756068004494
116,1,171200,-0.000906358357599918,0.102773626760976,0.992968546586569
117,1,171431,-0.0362913241097038,0.1033972190591,0.725805706834036
118,1,173339,0.0040720645218319,0.102610805436844,0.968367046795712
119,1,173845,-0.0162502299481261,0.102522327447385,0.874150068981955
120,1,175121,0.03394282782953,0.102306745294626,0.74025600164184
121,1,175281,0.00712147347727818,0.102408965704168,0.944599527433265
122,1,175315,0.0258951857240692,0.102368151518203,0.800445325627095
123,1,175523,0.0241333053741883,0.102949481680721,0.814795684440632
124,1,175541,0.0165576810957363,0.102533517434468,0.871803378743075
125,1,175653,-0.00409217484280017,0.102861535563977,0.968288353411695
126,1,175805,0.0146807741851855,0.108676820674098,0.892620456224397
127,1,175818,0.000956344905795783,0.10618282705662,0.992818967957909
128,1,175856,-0.0147201409503264,0.104556953414593,0.88811941353354
129,1,175876,-0.0139025887180384,0.102954835448781,0.892660531851869
130,1,175989,-0.0217646055968497,0.103244750636782,0.833160347648619
131,1,176001,-0.0162146677495854,0.103785670187499,0.875939273110604
132,1,176451,-0.00645260880575735,0.105036290839996,0.951049787833913
133,1,177692,0.0314650331415587,0.102363730788994,0.758731923360495
134,1,178191,0.0230941466191149,0.102471709672175,0.82182112432105
135,1,178224,0.0314650331415587,0.102363730788994,0.758731923360495
136,1,178960,0.034014266636252,0.103179220533213,0.741850910592042
137,1,179139,0.0414955528060812,0.204517748201728,0.839334287321631
138,1,179139,-0.192223491994935,0.411801260394672,0.640940208403828
139,1,180955,0.0828816722058903,0.118428181055722,0.4844834556418
140,1,183802,-0.134250491091023,0.102140690203828,0.189575650479964
141,1,183954,-0.149684795571244,0.102827581589176,0.146367858169034
142,1,184450,-0.156880149791147,0.10189117502077,0.124533438879614
143,1,184641,-0.121989048712374,0.105007244838161,0.246133984607007
144,1,184718,-0.140224761415196,0.1025423454728,0.172344461021614
145,1,185296,-0.14585453627573,0.102082677513363,0.153949336690459
146,1,185438,-0.144402576915705,0.102093372385753,0.158120980344512
147,1,185469,-0.15096582218574,0.102214688009489,0.140581014615065
