SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.055832919550855,0.131186953178225,0.670660070054569
2,1,1035,0.0293575580042789,0.132646946396296,0.824970448684203
3,1,1074,0.12421356801762,0.224082047768276,0.579709623175724
4,1,1470,0.327205225515709,0.22269231514952,0.142637912477077
5,1,1475,0.216636165467311,0.164468653232062,0.18862991537751
6,1,1491,0.105345629025467,0.144112111112742,0.465265449550795
7,1,21249,-0.708816321161867,0.827107698241412,0.392036298125584
8,1,27243,-0.0216423640890555,0.112946017029526,0.84815248552901
9,1,27272,-0.0454903192089622,0.111229260838032,0.682803829743578
10,1,27498,0.711436954820923,1.01525653995428,0.483923175889476
11,1,27561,0.25005536628278,0.767414233248537,0.744737385026575
12,1,27816,-0.0415205134936203,0.113504248813937,0.714729098638489
13,1,27822,-0.0597103165140471,0.113336924233177,0.598636269225195
14,1,27823,-0.0565794714929445,0.115677695946833,0.625065417321639
15,1,27825,-0.0562063529518403,0.113342000209958,0.620273225500868
16,1,27843,-0.0215920444954233,0.108617182786299,0.84254121246925
17,1,27848,-0.0215920444954233,0.108617182786299,0.84254121246925
18,1,28495,-0.0181577140514383,0.108620721871056,0.867334992305034
19,1,28975,-0.0217544490522971,0.107892712274274,0.840321829514289
20,1,29283,0.107960015872386,0.24173862506101,0.655439101724536
21,1,29752,-0.237784386203736,0.251782810215449,0.345609799866616
22,1,29787,-0.649278906712463,0.681280762572366,0.341228546606869
23,1,30057,0.220517783030746,0.220868018736824,0.318762411090004
24,1,30479,-0.539465415796236,0.647446087849152,0.405283733503821
25,1,30706,0.0431383523763104,0.111409067204055,0.698836429618872
26,1,31435,-0.0441683144920939,0.107587369045519,0.681663055486862
27,1,35128,0.110480464894806,0.14820643047782,0.456495864821776
28,1,35129,0.0176881028311771,0.148699887461297,0.905381292929404
29,1,36146,-0.0348942492953432,0.107042040609012,0.744627807980689
30,1,37255,0.19672067685983,0.215835952199717,0.362687625007074
31,1,37409,-0.00245280625207933,0.10763692052392,0.981832432764036
32,1,37478,-0.0362880400462141,0.107712213771936,0.736393925512944
33,1,39144,0.0214741814907037,0.107231840448273,0.841393052747418
34,1,41499,0.0333862096927748,0.106925712846703,0.755044443742221
35,1,45359,-0.0288009776329288,0.180030789925593,0.872989853379182
