SNP,Chr,Pos,Effect,SE,ERG11_TPO4_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.218231366234392,0.170086216675438,0.200311676562565
2,1,1035,0.213485637326158,0.171972452025422,0.21528434802906
3,1,1074,0.189976698681232,0.291079445336275,0.514398549377605
4,1,1470,0.329277712971946,0.289676490056332,0.256431238846818
5,1,1475,0.536403673349565,0.212291679417932,0.01194932153181
6,1,1491,0.454813796116939,0.185802427213287,0.0148581073714176
7,1,21249,-0.719484948069642,1.07501720069247,0.503755891954685
8,1,27243,0.168921719197425,0.146471891473395,0.249579642867634
9,1,27272,0.151525442726606,0.144318587416875,0.294465285351925
10,1,27498,0.829701480337585,1.31920372536415,0.529794372399992
11,1,27561,-0.0750853817144987,0.997169710134661,0.940019870401273
12,1,27816,-0.0654865334902169,0.147451954070883,0.657227115904998
13,1,27822,-0.0777522433618161,0.147247543808271,0.597804993312789
14,1,27823,-0.0710745628387804,0.150292264012997,0.636570383011152
15,1,27825,-0.0588472503815265,0.147272382929153,0.689706786539458
16,1,27843,-0.0157415058338961,0.141121310921425,0.911246854851871
17,1,27848,-0.0157415058338961,0.141121310921425,0.911246854851871
18,1,28495,-0.00634315796063434,0.141125679233831,0.964175070321229
19,1,28975,0.011235347193701,0.140181460493577,0.936164491741597
20,1,29283,-0.180608237585512,0.314009444836736,0.565543986526072
21,1,29752,-0.0353304931809397,0.327524874564099,0.914159167198903
22,1,29787,1.54086669016661,0.882458052217521,0.0816621689303016
23,1,30057,0.0615275660776682,0.287338870529134,0.830570145939129
24,1,30479,0.829171479798203,0.8408340621825,0.324744871403988
25,1,30706,-0.0240143811677343,0.144768220059534,0.868345107386385
26,1,31435,-0.000777241283922536,0.139811319210722,0.995567550752582
27,1,35128,0.163801764813952,0.19250459472194,0.395402855960331
28,1,35129,-0.0335665908735505,0.193187128504179,0.862160204453063
29,1,36146,-0.120245290299252,0.138943078363987,0.387391449733927
30,1,37255,0.0194202786636328,0.28074282823616,0.944889792436946
31,1,37409,0.0130183464108128,0.139840724830349,0.925881617309566
32,1,37478,-0.00592384600250745,0.139962300466321,0.966263877844118
33,1,39144,0.025793731021472,0.139317206294677,0.853222497651742
34,1,41499,0.183746580515102,0.138592886480292,0.185762931858822
35,1,45359,-0.151515436021322,0.233766177372217,0.517309608149304
36,1,45634,-0.0836667976532466,0.214802804820939,0.697137384506924
37,1,51248,-0.0848255670722096,0.139455836026733,0.543405446829413
38,1,51462,-0.0949878280987291,0.139626601562262,0.496761129271398
39,1,52124,-0.149759593588555,0.139301035446911,0.283073706036085
40,1,52667,-0.085778395609175,0.139230451102377,0.538232622440465
41,1,55470,-0.177337413352146,0.142784733331974,0.215064252617118
42,1,59265,-0.196864952893067,0.138840188321621,0.157094836905055
43,1,60165,-0.22133651078331,0.138630148289481,0.111250302331791
44,1,62308,-0.190613023368278,0.138605982671874,0.169936931345181
45,1,62869,-0.228632873098531,0.138425475235972,0.0994915650542892
46,1,65431,-0.0887579091667076,0.145052261901206,0.540995863992237
47,1,65451,-0.0584796914848318,0.143037496821823,0.682903766768406
48,1,65719,-0.0265303331844399,0.149190229662219,0.858959357631295
49,1,66841,-0.0862001226331922,0.138949091751344,0.535413210552405
50,1,66948,-0.100384860824244,0.139775948131237,0.473118842477985
51,1,68621,-0.336189712550928,0.138346729803905,0.0155945367392161
52,1,69417,-0.186441063338078,0.138775460518334,0.179981904142322
53,1,69820,-0.479178820435841,0.543821400442971,0.37884553291887
54,1,69821,0.134243819894269,0.337715393538825,0.691234783392905
55,1,70906,0.0923636170428139,0.223441690894426,0.679588104937353
56,1,74327,-0.284278387045278,0.139074069930591,0.0416873976152213
57,1,74572,-0.299775366099931,0.138606959533147,0.0312296140257632
58,1,75211,-0.280863640138686,0.138463316359582,0.0432663848769277
59,1,76030,-0.222758262282662,0.138762345013134,0.109317129862279
