SNP,Chr,Pos,Effect,SE,HNM1_RBD2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.24711980762643,0.1617040968036,0.127352887995039
2,1,1035,0.128436415238996,0.163870485413683,0.433701918806845
3,1,1074,0.365696068505642,0.276486170214954,0.186806064209758
4,1,1470,0.00562619427315703,0.276172144033253,0.983758085639859
5,1,1475,0.0542522037036752,0.203823907309381,0.790262195603034
6,1,1491,0.0873976202591962,0.178251016479244,0.624221684279277
7,1,21249,-0.61719220148267,1.02315292386973,0.54674589027054
8,1,27243,0.00297223032119365,0.139651026656805,0.983031715549363
9,1,27272,-0.000411724731413932,0.137553871608586,0.997613475078511
10,1,27498,-0.967439629291178,1.25505671908326,0.441321308398007
11,1,27561,0.706686648421599,0.948210243447766,0.456595523497647
12,1,27816,-0.0873978866554012,0.14028353204234,0.53368096935485
13,1,27822,-0.0700249369852097,0.140132687243654,0.617594474501387
14,1,27823,-0.0882080692636969,0.142992642583521,0.537717213182432
15,1,27825,-0.0530422395652796,0.140153811042617,0.705318372985941
16,1,27843,-0.00672575147484117,0.134298822553053,0.960086567706964
17,1,27848,-0.00672575147484117,0.134298822553053,0.960086567706964
18,1,28495,-0.00373590767775325,0.134301327000422,0.977823543456634
19,1,28975,-0.043823916858584,0.133383352637505,0.742686035746557
20,1,29283,-0.267123824674518,0.298626234902645,0.371659157853219
21,1,29752,-0.0262060949722027,0.311688364622373,0.933042176767529
22,1,29787,2.57956024077233,0.83215264299483,0.00209166107855097
23,1,30057,-0.0191461664033952,0.273459528230865,0.944221664822843
24,1,30479,1.0765714905571,0.79922278852864,0.178836904846543
25,1,30706,-0.0787860313873446,0.137709022452363,0.567605104279942
26,1,31435,-0.0507551200645689,0.133022868479336,0.703023374602968
27,1,35128,0.00368274419982129,0.183383083720877,0.983989109137798
28,1,35129,-0.268749420510449,0.183295513589996,0.14348174349062
29,1,36146,-0.175455573762511,0.132034394671644,0.184751604690336
30,1,37255,-0.115470852858652,0.267097711368122,0.665775081673872
31,1,37409,-0.0384613575274387,0.133064161674409,0.772717608831849
32,1,37478,-0.0804483112996202,0.133125465680036,0.54602943668857
33,1,39144,-0.0437021324437679,0.132566103591804,0.741850183780097
34,1,41499,-0.0294660968821338,0.132209441267141,0.823762184872702
35,1,45359,-0.0929562966943438,0.222538999571039,0.676414656013926
36,1,45634,-0.0922635810394548,0.204400261119327,0.651987972095076
37,1,51248,-0.136908600056958,0.132581427602163,0.302480358549561
38,1,51462,-0.13005023932897,0.132781284178175,0.328037330853143
39,1,52124,-0.124617729545881,0.132615763976576,0.348019057066886
40,1,52667,-0.181665416692427,0.132215643490571,0.170310850891195
41,1,55470,-0.134058280339103,0.135989416975264,0.324906772898413
42,1,59265,-0.0784063655158143,0.132436116073488,0.55420841778961
43,1,60165,-0.0229346489784192,0.13239609452591,0.86257186795635
44,1,62308,-0.0221829035121705,0.132250838563309,0.866888948310636
45,1,62869,-0.0108797524816181,0.132238229954012,0.934475554145655
46,1,65431,-0.0583251075831196,0.138076085939739,0.672980899838817
47,1,65451,-0.0447884728178135,0.136131808620963,0.742344645211331
48,1,65719,0.0305192760412353,0.141972719762982,0.829918137198023
49,1,66841,0.0432536674195922,0.132281789793495,0.743875855023362
50,1,66948,-0.0111200719128033,0.133112457224031,0.933470378511209
51,1,68621,-0.242862465010362,0.132122346429569,0.0668784159207698
52,1,69417,-0.169595873117971,0.132093660023403,0.200016840456971
53,1,69820,-0.942609726638043,0.515657107641005,0.0683967695449641
54,1,69821,-0.417357708266921,0.320687553013735,0.193954384525093
55,1,70906,0.032853301087604,0.212680714143317,0.87732554821806
56,1,74327,-0.0787507910351258,0.133063657423214,0.554344644097729
