SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0721442150336227,0.0720030619316905,0.317049055047751
2,1,1035,0.0443418491660961,0.0728559878483386,0.5431656156128
3,1,1074,0.0562747964835228,0.12314965406453,0.647978939756085
4,1,1470,-0.0840511904743373,0.12266091054752,0.493647198473726
5,1,1475,-0.0258758310979559,0.0905864451146405,0.775315324715649
6,1,1491,0.00920354019162861,0.0792476246715966,0.907610417544787
7,1,21249,-0.58806051114836,0.453888146565454,0.19595759168077
8,1,27243,-0.0576779079974901,0.0619907994559571,0.35278593795695
9,1,27272,-0.0882800610654768,0.0609538315580499,0.148417916507055
10,1,27498,-1.29213478695958,0.55401636717107,0.0202463607532926
11,1,27561,-0.534722961489035,0.420794143481101,0.204655422012611
12,1,27816,-0.000784309241695591,0.0623820914554631,0.989975830182218
13,1,27822,-0.011001723799024,0.0623000682924682,0.859929769268491
14,1,27823,0.00124366293408223,0.0635860895315788,0.98440643932718
15,1,27825,-0.0208479414490864,0.0622929380231586,0.738068395464638
16,1,27843,0.00783484987624689,0.0596867391112385,0.895639528562053
17,1,27848,0.00783484987624689,0.0596867391112385,0.895639528562053
18,1,28495,0.0112300992178249,0.059686169485372,0.850865256604775
19,1,28975,-0.00454575783814209,0.0592896807430039,0.938929264745627
20,1,29283,0.0999030850866989,0.132765820522632,0.452266372568928
21,1,29752,-0.254926772680133,0.137862574535844,0.0652739220569427
22,1,29787,-0.334331717785541,0.374420667006754,0.372502588454489
23,1,30057,0.108393912783281,0.121400628701109,0.372539764830555
24,1,30479,-0.0924376813351797,0.356085608450029,0.795328308957376
25,1,30706,-0.0109740142561761,0.0612292017276322,0.857861161815021
26,1,31435,-0.00497178860141476,0.0591324944726265,0.93304144859234
27,1,35128,-0.145032770376342,0.0811367389673952,0.0747127826870353
28,1,35129,-0.0715014711199933,0.0816231632418515,0.381628524242161
29,1,36146,-0.0368122025508105,0.0587955341867932,0.531650425432322
30,1,37255,0.0997412102291495,0.118622025726819,0.401011173470784
31,1,37409,0.0387278192871171,0.0591103180192092,0.512779446482529
32,1,37478,0.0264444843934722,0.0591803565523018,0.655260535925129
33,1,39144,-0.0137704839547905,0.0589224019498105,0.815349161166135
34,1,41499,0.0430621186221148,0.0587187958744739,0.463824569255416
35,1,45359,-0.0645144026426117,0.0988704208188343,0.514493881900305
36,1,45634,0.099003642287709,0.0907172809367071,0.275866440386219
37,1,51248,0.068758406354547,0.058900051827444,0.243847173187602
38,1,51462,0.0648195230571198,0.058992863169914,0.272617719449516
39,1,52124,0.0623014006305364,0.0589203990581643,0.291060100192864
40,1,52667,0.0129537249463124,0.0589150232836595,0.826098452273995
41,1,55470,0.0302665571778276,0.0605010483301675,0.617200217991625
42,1,59265,0.00541800904665823,0.0588886279724325,0.926746784741571
43,1,60165,0.0106914389466418,0.0588420817686601,0.855924685148973
44,1,62308,-0.0656445904069171,0.0586761853648972,0.264003105892075
45,1,62869,-0.0764098149381584,0.0586318577170577,0.193351343961282
46,1,65431,-0.0131019270234367,0.0613783031945316,0.831089963412179
47,1,65451,-0.00893781210265032,0.0605100448866489,0.882657622123987
48,1,65719,-0.0332620630531776,0.0630778740190291,0.598304413441439
49,1,66841,-0.0263846134632595,0.0587836614950916,0.653820591020487
50,1,66948,-0.0288356152214856,0.0591413876521053,0.626156525842825
51,1,68621,-0.0303447553673266,0.0589789193674059,0.607223224485464
52,1,69417,-0.0488659330183609,0.058787327475182,0.40640423084413
53,1,69820,-0.246767568357397,0.229886734085872,0.28381097509082
54,1,69821,-0.105631200803789,0.142757751064947,0.459832332333284
55,1,70906,0.0199235990985978,0.0945214037130317,0.83317745084061
56,1,74327,-0.105093051497762,0.0589033690400701,0.075256447213745
57,1,74572,-0.118936264698672,0.058670309293277,0.0433933382673157
58,1,75211,-0.0788841535650383,0.0587534348919461,0.180254380335818
59,1,76030,-0.0236542537277038,0.0588898049863513,0.68817014919
60,1,80108,-0.0875478384702404,0.0587046918626524,0.136768966001805
61,1,81262,-0.124601611040113,0.0584923096798444,0.0338443211186242
62,1,81999,-0.102894795132325,0.0587561564302336,0.0807770195271991
63,1,82431,-0.0801619298204095,0.0591364608237553,0.176111712599594
64,1,83284,-0.107929794364692,0.0585777297426249,0.0662396666575049
65,1,83613,-0.0752610528253354,0.0587157606332779,0.200758890448623
66,1,84112,-0.0731397341679891,0.058729854448505,0.213825950616005
67,1,84701,-0.0422158715762615,0.0629874138482452,0.503151247175917
68,1,84858,-0.0724536541378851,0.0588987375929383,0.219464087538175
69,1,85751,-0.0775976943736506,0.0591233734785329,0.190214080544665
70,1,87445,-0.0436563862926044,0.059347271256228,0.462457166130882
71,1,87467,-0.0603256100066413,0.0596172651729999,0.312287766846705
72,1,89070,-0.0710442122303239,0.0592093780824495,0.230990207270647
73,1,89616,-0.0481002689377589,0.0589552726279967,0.415120496193227
74,1,89679,-0.0543568420894978,0.0589473512098489,0.357093044200262
75,1,89880,-0.0495302681516313,0.0589743672620961,0.401554804659278
76,1,91472,-0.0483845312782113,0.059415667111582,0.415999430555584
77,1,93789,-0.0153150512739085,0.0588530842014757,0.794841844048066
78,1,94351,-0.00638958744340805,0.0590126547330098,0.913839174036406
79,1,99148,3.37607761882741e-05,0.0588587288916804,0.999542665454237
80,1,101281,0.60994836072816,0.64290285589084,0.343401357519679
81,1,106011,-0.0237748592552376,0.0613287844094218,0.698499583240112
82,1,106800,0.0449082584040015,0.0588896349952572,0.446221148623916
83,1,107970,0.0286106982602111,0.0587437757803249,0.626530705549676
84,1,109000,0.0491228161119929,0.0588089807227347,0.404116914781647
85,1,112549,0.08050520162924,0.0586441039477617,0.17069355733822
86,1,112742,0.0828317213781496,0.0588646555777896,0.1602611534574
87,1,113050,0.0748183004842115,0.0587955145965743,0.204026965695871
88,1,113135,0.0632531645012835,0.0586836259686076,0.281828965982893
89,1,114076,0.0891810279364641,0.0585881528955022,0.128862189538395
90,1,114628,0.0702225063792317,0.0588101728963939,0.233258713274735
91,1,116283,0.0943650751418371,0.0590433387694149,0.110885579430738
92,1,126880,-2.51658724596092,1.10372506817821,0.0231984687603255
93,1,127853,0.109694051114343,0.0588573813284667,0.0631902122938746
94,1,128302,0.0817312865748608,0.0587582487660488,0.165108970247264
95,1,128704,0.100437001153709,0.0587349399243021,0.0881437859038865
96,1,128911,0.0769764871268019,0.0588417719367042,0.191658506901859
97,1,130267,0.0308095972101691,0.058933465088909,0.601451062770373
98,1,130271,0.0345223218768242,0.0589976423671388,0.558822401447176
99,1,130613,0.0391812009428353,0.0595413364872599,0.510934647921998
