SNP,Chr,Pos,Effect,SE,ADE17_GIS2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.193788980065852,0.10814433286986,0.0739976906284462
2,1,1035,0.0653064023835443,0.10976852759334,0.552260396593795
3,1,1074,0.0532266884434422,0.185572441307538,0.774415121916809
4,1,1470,-0.0569485850013631,0.184900871056103,0.758267620708782
5,1,1475,-0.0306177112455472,0.136484999204228,0.82263014175442
6,1,1491,0.0165214175248962,0.119394753717925,0.890021841286944
7,1,21249,0.296220484513606,0.685277606523563,0.665813859383694
8,1,27243,0.0468572886142831,0.0934774968653414,0.616494886795178
9,1,27272,-0.072897994480342,0.0920246829038373,0.428801163683881
10,1,27498,-0.512220773765785,0.84065436526451,0.542709622974253
11,1,27561,-0.397560851122718,0.63507102402357,0.531712896588447
12,1,27816,0.0308515224731348,0.0939715102009615,0.742874064417776
13,1,27822,0.00917361990323567,0.0938651334115591,0.922200634533218
14,1,27823,-0.00368215074746908,0.0957996485511737,0.969361823601746
15,1,27825,0.0104009339673524,0.0938647708853407,0.911831857731266
16,1,27843,0.0263264403723838,0.0899162521800299,0.769855883004771
17,1,27848,0.0263264403723838,0.0899162521800299,0.769855883004771
18,1,28495,0.0841317745958067,0.0898170711126215,0.349552575622988
19,1,28975,0.0566276268987007,0.0892766425194906,0.526299888658468
20,1,29283,-0.170116774535049,0.199982553184869,0.39553594680083
21,1,29752,-0.347497022994682,0.207888323198301,0.0954980345080364
22,1,29787,-1.37078459191145,0.560012095525492,0.014860492411634
23,1,30057,0.226161186861972,0.1827144165509,0.216618384671755
24,1,30479,-0.183840038388677,0.53644612309529,0.732028203212288
25,1,30706,0.0329375287638493,0.0922364117877721,0.721231087962301
26,1,31435,0.0639713125812496,0.0890257466052795,0.472880684865113
27,1,35128,-0.106926606202016,0.122661918124876,0.383954709402249
28,1,35129,-0.0972685381768663,0.122999421648361,0.429588857621538
29,1,36146,-0.0378029668584654,0.0886086023299005,0.669909899852978
30,1,37255,-0.0475984389867019,0.178878741450776,0.790322686310444
31,1,37409,0.0426411908408477,0.0890817546027312,0.632466345423783
32,1,37478,0.0441068212455727,0.089156362669309,0.621110401233657
33,1,39144,-0.00833521613567568,0.0887791715035556,0.92525213286845
34,1,41499,0.0329319282642351,0.0885166706783097,0.710084741010961
35,1,45359,0.0585182432857163,0.149016984516737,0.694781691778555
36,1,45634,-0.226798490299233,0.136373244225491,0.0971856205640343
37,1,51248,0.106708165036091,0.0887292802740823,0.229927005181872
38,1,51462,0.0910367148306017,0.0888994796326397,0.306517134488571
39,1,52124,-0.00182190515080553,0.0889108121882943,0.983662966645947
40,1,52667,0.0202673928657814,0.0887618187887497,0.81951835233572
41,1,55470,0.00158237756192867,0.0911840929373267,0.986164283249468
42,1,59265,0.0317195096607228,0.0887075279970214,0.720875797778467
43,1,60165,-0.000941349993298563,0.0886565321003161,0.991534264627842
44,1,62308,-0.0568624083338872,0.0885073137141667,0.520991588656025
45,1,62869,-0.046743388630445,0.088512962959131,0.597764153376862
46,1,65431,-0.126317542651203,0.0922347695288207,0.171706766757746
47,1,65451,-0.0602083949907161,0.0911118595365068,0.509159791268477
48,1,65719,-0.0430745126243604,0.0950438871890591,0.650678463073925
49,1,66841,-0.0546533286470495,0.0885418816612568,0.537461436202077
50,1,66948,-0.0362672992026663,0.0891124333413086,0.6842666924712
51,1,68621,0.0345022382365893,0.088872903110849,0.698087253518396
52,1,69417,0.0490677549336805,0.0886180719237116,0.58013527091765
53,1,69820,-0.743456142181391,0.344651633576406,0.0316705160687146
54,1,69821,-0.115346291918231,0.215160221587928,0.59223062322642
55,1,70906,-0.245839132791879,0.141814026117621,0.0838743475242213
56,1,74327,-0.0577596923262937,0.0890909481250697,0.517197688041379
57,1,74572,-0.0430841032365449,0.0888770657395063,0.628146809679465
58,1,75211,-0.0743455388615536,0.0886563116165162,0.402271699491954
59,1,76030,-0.02382829319396,0.088735511966967,0.788446980466036
60,1,80108,-0.0947501483301618,0.0885801528238135,0.285505768950244
61,1,81262,-0.110789282782265,0.0884938059060811,0.211419192438684
62,1,81999,-0.068431331464294,0.0888320067810095,0.441610249277505
63,1,82431,-0.0519117894104671,0.0892847630426822,0.561329677680197
64,1,83284,-0.0285700275243902,0.0886644429336673,0.747471903761447
65,1,83613,-0.017375188106218,0.0886628871455759,0.844747096444056
