SNP,Chr,Pos,Effect,SE,HUG1_ALO1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.126259781341075,0.0853976802780931,0.140167882994676
2,1,1035,0.146575656939701,0.0862466946589211,0.0901072769346278
3,1,1074,0.200845225458237,0.145954953584025,0.169670210502466
4,1,1470,-0.0887118313208894,0.145742424051755,0.543121989038748
5,1,1475,-0.0841081580779308,0.107536618069599,0.434659522291388
6,1,1491,-0.0206756951092737,0.0941420895883293,0.826292323771454
7,1,21249,-0.0928811551742053,0.540480171175087,0.863654457066219
8,1,27243,-0.100997639406441,0.0735395356179605,0.170506251834913
9,1,27272,-0.154642300697223,0.0721605075118129,0.0327936918178359
10,1,27498,-0.271904659110741,0.66306910988363,0.682003454686125
11,1,27561,-0.0613895993083586,0.501037785474678,0.902553059971369
12,1,27816,0.0378127915139665,0.074083037667965,0.610082622169173
13,1,27822,0.0438706139428962,0.0739793379340412,0.553553035114326
14,1,27823,0.0379216369877183,0.0755137830954149,0.615852841714123
15,1,27825,0.0475062342744015,0.0739729770390282,0.521153256578405
16,1,27843,0.0428088784401072,0.0708733709780736,0.546218836185146
17,1,27848,0.0428088784401072,0.0708733709780736,0.546218836185146
18,1,28495,0.0522667242477817,0.0708565466945918,0.461222416887834
19,1,28975,0.0292398882850038,0.0704199396910468,0.678231862224205
20,1,29283,-0.215582475062524,0.157435570929472,0.171764256121696
21,1,29752,-0.221326393192313,0.164150859523458,0.178422884069898
22,1,29787,-0.256824794073872,0.4451065480709,0.564309788774082
23,1,30057,0.117757536394794,0.144251448121411,0.414858973226979
24,1,30479,0.0338324159103038,0.423068694327123,0.936307160750149
25,1,30706,0.0210812766744592,0.0727353679081556,0.772112415758838
26,1,31435,0.0325350294186569,0.0702291672168873,0.643456712583448
27,1,35128,-0.0490229479757263,0.0967911016072325,0.612834530161269
28,1,35129,0.000419909243393413,0.0970742165288849,0.996551083576393
29,1,36146,0.0878198101024419,0.0697317905709752,0.208720081335496
30,1,37255,0.00074174467169108,0.141064828535123,0.995807566612759
31,1,37409,0.0261912629854048,0.0702523184597499,0.7095083554353
32,1,37478,0.0365970068760408,0.0702995709735686,0.602981228069603
33,1,39144,-0.0288816615423799,0.0699887540628799,0.680105181107407
34,1,41499,-0.0766313678352827,0.0696922049833356,0.272269401175619
35,1,45359,-0.119497573192012,0.117357334583257,0.309262721865239
36,1,45634,-0.117306561177282,0.107773711514929,0.277137968903401
37,1,51248,0.00714022349636537,0.0701075733782175,0.918936200435396
38,1,51462,0.017152005317606,0.0701977353843417,0.807110669399858
39,1,52124,0.0209845070522932,0.0700997062978344,0.764847438479552
40,1,52667,-0.0607348161710561,0.0699215608972851,0.385648694181067
41,1,55470,0.0358861109368197,0.0718757612642347,0.617893350152745
42,1,59265,0.0845220806030129,0.0698161463740475,0.226844119595856
43,1,60165,0.0381639580715962,0.0698785495895768,0.585309910768603
44,1,62308,0.145716675681576,0.0693991565339928,0.0364656126553019
45,1,62869,0.0986685368095313,0.0696246361266215,0.157321116955311
46,1,65431,0.132315282046269,0.0725816969492966,0.0691514905107574
47,1,65451,0.142462754866085,0.0714875643112307,0.0470493196831655
48,1,65719,0.0542466721195652,0.0749108357964898,0.469453375685195
49,1,66841,0.109490754922233,0.0696118134127391,0.11664334430852
50,1,66948,0.114401441764566,0.0700197766997876,0.103182967496735
51,1,68621,0.0311134778931593,0.0700740632174875,0.657308509072766
52,1,69417,0.01151380618454,0.0699053801525982,0.86926999836208
53,1,69820,0.0578327525898006,0.273535072352669,0.832675948307215
54,1,69821,0.216659433529902,0.169336469492426,0.201575033513733
55,1,70906,-0.0031315387847819,0.112299019834154,0.97776905751318
56,1,74327,0.0216040966858909,0.0702830098852144,0.758729946637049
57,1,74572,0.0106238828183092,0.0701029942689456,0.87963098485018
58,1,75211,0.00133607529859087,0.0699774428978948,0.98477774847366
59,1,76030,0.0708322125237086,0.0698758508620508,0.311426617182935
60,1,80108,-0.00792253416931818,0.06995966262972,0.909901236950619
61,1,81262,0.0299248674567787,0.0699163453466494,0.668905135090262
62,1,81999,0.0803968025662646,0.0699745591639085,0.251357255939051
63,1,82431,0.0606221497453407,0.0703631937022515,0.389514261859547
64,1,83284,0.082017644197373,0.0697881776408357,0.240692022848677
65,1,83613,0.0964459168904083,0.0697281710065419,0.167486923411448
66,1,84112,0.116667934401478,0.0696483084415441,0.0948000343175902
67,1,84701,0.143978822535487,0.0744839022371452,0.0540333141789306
68,1,84858,0.126193929176745,0.069799505927,0.0714654693775073
69,1,85751,0.1026032236616,0.0701980443172597,0.144733572859592
70,1,87445,0.0980952030273734,0.0703655498792992,0.164170330249108
71,1,87467,0.0805851010442374,0.0707985617041635,0.255796048254926
72,1,89070,0.110407970439977,0.0702390540747964,0.116872232687856
73,1,89616,0.0877979257621054,0.069949356679747,0.210249454507908
74,1,89679,0.109135051336768,0.0698731255566127,0.119206845400201
75,1,89880,0.100335660121182,0.0699282972941116,0.152219103401167
76,1,91472,0.122718355020053,0.0703499272074213,0.0819598717544412
77,1,93789,0.0582616197021641,0.0698557813275287,0.40482969118495
78,1,94351,0.0246202370105407,0.0700963559405682,0.725622198752148
79,1,99148,0.0154918682884188,0.069919712630154,0.824779453904253
80,1,101281,-0.128650540896978,0.764715501076062,0.866496164345976
81,1,106011,0.052456482251749,0.0728210217408793,0.471787433674762
82,1,106800,0.00699454532962804,0.0700179047892792,0.920483183925841
83,1,107970,0.00473868219817737,0.0698109978619809,0.945920597875791
84,1,109000,-0.0383020367466481,0.069904765428112,0.584094920340251
85,1,112549,-0.0777162048814658,0.0697327441458654,0.265828727055649
86,1,112742,-0.0889780015257488,0.069967383482283,0.204314492726658
87,1,113050,-0.109681863595596,0.0697656830429325,0.116812459686002
88,1,113135,-0.108500233822959,0.0695919877980267,0.119870920999907
89,1,114076,-0.0579058116827979,0.0697631366903722,0.407080247454135
90,1,114628,-0.0453128565873126,0.0699662884515543,0.517639813142209
91,1,116283,-0.0117405022024579,0.0703944461746998,0.867637347052326
92,1,126880,-2.47329529961057,1.31427702762724,0.0606765291152228
93,1,127853,0.0207313718452968,0.070257483634278,0.768108482786236
94,1,128302,0.0172676268516871,0.0699902109384086,0.80527229723331
95,1,128704,0.0053298679306566,0.070065346733072,0.939406535118587
96,1,128911,0.00978509013758333,0.0700717402271684,0.889021002562335
97,1,130267,-0.00769493908404711,0.0700392621458487,0.912578016353401
98,1,130271,-0.009429519903359,0.0701217924077651,0.893104835573581
99,1,130613,0.0318140778771372,0.0707586318625302,0.653264673426074
100,1,132012,0.0192432876694739,0.0706212278129046,0.785407763135926
101,1,133231,-0.00168307979776,0.0701274178092691,0.980865922118492
102,1,137074,-0.0189203234455502,0.0700204982006835,0.787155675269168
103,1,137304,-0.0202056983582699,0.0700438242665126,0.773154595630214
104,1,139686,-0.0394052940845891,0.070112776649036,0.574454107588081
105,1,149562,-0.00745921985408418,0.0703030406428531,0.915562520224156
106,1,150447,-0.0195467509639369,0.0710763798530751,0.783469060108571
107,1,151446,-0.102569939077741,0.142700518472771,0.472753456350366
108,1,154084,0.0255309514862685,0.0712906564653687,0.72046398195351
109,1,156633,0.00567310433369501,0.0722805375584252,0.937484902349354
110,1,157269,-0.00214047132776712,0.0700094078434116,0.975626513913109
111,1,160054,-0.0513177551863885,0.0706218481915572,0.467918589805647
112,1,166222,-0.0556611190037678,0.0700893371858653,0.427644375549848
113,1,166416,-0.0535306797675876,0.0699515011021148,0.444631514268271
114,1,167326,-0.0692627511705279,0.070310755228146,0.325252268728539
115,1,168836,-0.0659835308578484,0.0699856144757503,0.346420016156691
