SNP,Chr,Pos,Effect,SE,ADE17_GIS2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.217033810707945,0.0854524191757301,0.0115191075842337
2,1,1035,0.154920404897446,0.0867821589182512,0.0750931902417586
3,1,1074,0.155079562040728,0.14708482416381,0.292441710660432
4,1,1470,-0.0318761778528245,0.14677592888703,0.828196820913504
5,1,1475,0.0407646083188817,0.108321663391756,0.706898234582288
6,1,1491,-0.00507216664507615,0.0947723843426156,0.957348302503011
7,1,21249,0.492845343721734,0.543453854500707,0.36509091767696
8,1,27243,0.0432496136657687,0.0741889418692731,0.560288563710093
9,1,27272,-0.022880428056987,0.0730998167865411,0.754463578389574
10,1,27498,-0.243298720116586,0.667498922766832,0.715708107581574
11,1,27561,-0.407497452401633,0.503904071490968,0.419243562483821
12,1,27816,0.0164523395614937,0.074596615970305,0.825569755430231
13,1,27822,0.00802747336216164,0.0745057143143807,0.914260725593739
14,1,27823,-0.00192358340482346,0.0760415529079155,0.979832777739263
15,1,27825,0.0108006122261414,0.0745047216866797,0.88482086590021
16,1,27843,0.0353007744378218,0.0713554201747692,0.621107309814703
17,1,27848,0.0353007744378218,0.0713554201747692,0.621107309814703
18,1,28495,0.0626395285868656,0.0713034067647725,0.380273912148105
19,1,28975,0.0398107182838981,0.070872496900252,0.574661156083521
20,1,29283,-0.177108634879249,0.158619937717825,0.264942048835359
21,1,29752,-0.31239876306026,0.164827664438245,0.0588686796638492
22,1,29787,-1.2513873041524,0.443293313278577,0.00502839171029662
23,1,30057,0.15486631835938,0.145110984685254,0.286598802646528
24,1,30479,-0.141004830325172,0.425811558513479,0.740732402461296
25,1,30706,-0.00120670839900035,0.0732263198416663,0.986861435920609
26,1,31435,0.0279022013118869,0.0707007105412668,0.693337811050802
27,1,35128,-0.122238935027281,0.097250878368656,0.209604857801643
28,1,35129,-0.140331705819118,0.0974319954558057,0.150667680546944
29,1,36146,-0.0470308112776543,0.070307115527321,0.503974885137052
30,1,37255,-0.128158045379998,0.141836231902707,0.36684307603995
31,1,37409,-0.0135063137551765,0.0707283914338664,0.848666489674163
32,1,37478,-0.016984463284242,0.0707870766405678,0.810518096224134
33,1,39144,-0.041121340248718,0.0704358065700236,0.559718976254698
34,1,41499,-0.0109570794605241,0.0702719153909736,0.876182040608521
35,1,45359,0.00591366444139219,0.118308410953739,0.960162487369145
