SNP,Chr,Pos,Effect,SE,SSH1_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0762607910943152,0.171842449781342,0.657471236367866
2,1,1035,-0.0256205729147055,0.173765495712251,0.882866240292666
3,1,1074,0.161299608550219,0.29353497869923,0.583004829434671
4,1,1470,-0.220426247037167,0.29236768626821,0.451390822331707
5,1,1475,0.364408233737151,0.215099262126914,0.0911207440765848
6,1,1491,0.255139345067848,0.188431541801222,0.176597419141314
7,1,21249,-0.987955591584442,1.08330781776539,0.3624013702743
8,1,27243,0.0323702371116488,0.147949530133676,0.82693818628823
9,1,27272,0.074954883448729,0.14568293042909,0.607219556015414
10,1,27498,-0.420024929441448,1.33065631221196,0.752452854933283
11,1,27561,0.476036753136023,1.00509412786982,0.636060798151986
12,1,27816,0.121797907960941,0.148569928988274,0.412882235808974
13,1,27822,0.130260314609732,0.148360379409172,0.380541272371993
14,1,27823,0.120620051671437,0.151445511424459,0.426300951102191
15,1,27825,0.149474546149683,0.148309055219375,0.314212726172288
16,1,27843,0.127969074517097,0.142126231759751,0.368526445042685
17,1,27848,0.127969074517097,0.142126231759751,0.368526445042685
18,1,28495,0.152291721049841,0.142060588086922,0.28444362137608
19,1,28975,0.132631738012977,0.141164109591631,0.348087253989153
20,1,29283,-0.464488188983123,0.315784924969542,0.142208863383377
21,1,29752,0.129405206236687,0.330163519066973,0.695337010164462
22,1,29787,2.98675461150135,0.879326381467757,0.000759940156091376
23,1,30057,0.352375648510725,0.289123152401417,0.223744003198695
24,1,30479,1.6456228603388,0.844415064179701,0.0521074031916722
25,1,30706,0.0754064301318792,0.145914366211617,0.60562951132399
26,1,31435,0.0637034078024137,0.140925247820501,0.651520056275697
27,1,35128,0.203616920123497,0.193990958182833,0.294610607448971
28,1,35129,0.0212763978421746,0.194787702149314,0.913083201387076
29,1,36146,-0.0397433751055505,0.140223195261427,0.777013849184158
30,1,37255,0.12380060376416,0.282986703768141,0.662031883560326
31,1,37409,0.0538652507859252,0.140968252428141,0.702610382017362
32,1,37478,0.0277948599101794,0.141110855507922,0.84396296114656
33,1,39144,0.0182560869411008,0.140471289218782,0.896669630121844
34,1,41499,0.0879950150409837,0.140006690028508,0.530079100399653
35,1,45359,-0.0588247849520522,0.235816280407635,0.803156444762705
36,1,45634,-0.272786872902352,0.216136293093777,0.207743940598895
37,1,51248,-0.103064188689138,0.140574281989953,0.463944196331673
38,1,51462,-0.094785191879819,0.140781673055039,0.501211047892134
39,1,52124,-0.0884044211176664,0.14060256140437,0.529916759878259
40,1,52667,-0.121241644113494,0.140307494259652,0.388112149924782
41,1,55470,-0.181489449755723,0.143954468598812,0.208234458317721
42,1,59265,-0.0426547557960319,0.140366595157567,0.761397515029429
43,1,60165,-0.0732099700770508,0.140224740668578,0.601934948461508
44,1,62308,-0.239058530230839,0.139545714657081,0.0875685176400532
