SNP,Chr,Pos,Effect,SE,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0720635216069721,0.0950555274363175,0.448884815334909
2,1,1035,0.023918660603179,0.0961651992148024,0.80371838226165
3,1,1074,0.0737394980251485,0.162479261590394,0.6502232814978
4,1,1470,-0.193137130072871,0.16161478175497,0.232871243528459
5,1,1475,-0.0779442636754268,0.119457841625938,0.514514013999608
6,1,1491,-0.144780124319077,0.10427372049424,0.165871844055591
7,1,21249,0.408366180849637,0.599869911391972,0.496470974692537
8,1,27243,0.0790035502070424,0.0817803153242306,0.334682501007615
9,1,27272,0.0120285303521621,0.0806560294485724,0.881533313989034
10,1,27498,0.36241594124635,0.7363041895192,0.622877192361608
11,1,27561,-0.282649261009936,0.556243535268527,0.611672959450906
12,1,27816,0.11111529772472,0.0820916377507561,0.176745407059123
13,1,27822,0.0910989200703234,0.0820566583200752,0.267670534500551
14,1,27823,0.101687748378065,0.0837181592791629,0.22531383066868
15,1,27825,0.0959623471265452,0.0820409529087849,0.242915563824721
16,1,27843,0.132446841993777,0.0784340049875234,0.092171439847401
17,1,27848,0.132446841993777,0.0784340049875234,0.092171439847401
18,1,28495,0.167393711138999,0.0782458297077294,0.0330943547180607
19,1,28975,0.158169396475959,0.0777707111683013,0.0427200447040037
20,1,29283,-0.0354508504156645,0.175296057324914,0.839850171833086
21,1,29752,-0.231051871449468,0.182354847310391,0.205974341717785
22,1,29787,-0.336267849236421,0.494228904247714,0.496704260331591
23,1,30057,0.3962520578136,0.1589587620355,0.0131317488813503
24,1,30479,-0.155692913881075,0.469776520602711,0.740524599398573
25,1,30706,0.151072050927455,0.0803858299588664,0.0610221165080561
26,1,31435,0.158008309968847,0.0775631720520618,0.0423799056315131
27,1,35128,-0.0480920074150377,0.107501404632592,0.654888329796598
28,1,35129,0.0121461037712705,0.107805305987784,0.910358582581403
29,1,36146,0.126568509495309,0.0773225794320876,0.102544734097985
30,1,37255,0.165961289454641,0.156412462981924,0.289393030730358
31,1,37409,0.149033127410877,0.077630934192893,0.0556933342871577
32,1,37478,0.142197190336997,0.0777346494209015,0.0682034876054406
33,1,39144,0.0454682537254533,0.0777081427770317,0.558843751746806
34,1,41499,0.0455931904101652,0.0774921803596188,0.556667866571121
35,1,45359,0.16983977477591,0.130210823316677,0.192965935091931
36,1,45634,0.0839344639749368,0.119807147947974,0.484026809984069
37,1,51248,0.0246242203230362,0.0778491398515026,0.751956525868382
38,1,51462,0.00589221125527436,0.077965119663238,0.939800065466482
39,1,52124,-0.00210876844668411,0.0778600904818758,0.978407981940175
40,1,52667,0.00723070754884522,0.0777344372998484,0.925941972593747
41,1,55470,0.0211657977443317,0.0798429477246759,0.79109263507935
42,1,59265,0.0119467576182441,0.0776935722544633,0.877880813612275
43,1,60165,-0.0229654311553916,0.0776278389766979,0.767526115378305
44,1,62308,-0.11857919405022,0.0772948367406941,0.125897025171086
45,1,62869,-0.113466983055447,0.0773068021575616,0.143062832275962
46,1,65431,-0.0856078911279936,0.0808569638841488,0.290434318238458
47,1,65451,-0.0714261952490643,0.0797463773944301,0.371041008597534
48,1,65719,-0.0519071003613382,0.083209281679042,0.533152752330125
49,1,66841,-0.0496028962008098,0.0775339464503397,0.52274547618061
50,1,66948,-0.0378291358464355,0.0780290201117135,0.628112857153301
51,1,68621,-0.0563368141283784,0.0777857680419909,0.469388273218134
52,1,69417,-0.0498341410666329,0.0775921402015718,0.521122823606585
53,1,69820,-0.748516093719968,0.301174182978908,0.0134056683681816
54,1,69821,-0.235509383704902,0.188077487149333,0.21132841199933
55,1,70906,-0.120255729659284,0.124551163616078,0.334949063726623
56,1,74327,-0.10035378190386,0.0778813621572796,0.198399555864392
57,1,74572,-0.0846286683463129,0.0777260680759072,0.276981882429654
