SNP,Chr,Pos,Effect,SE,HUG1_PGM2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.212894278382471,0.0875203725696133,0.015490809677791
2,1,1035,0.211735818865344,0.0885016725957937,0.0172586257230731
3,1,1074,0.12804555474052,0.150615163802208,0.395817672212879
4,1,1470,-0.255435948611559,0.149609872453519,0.0886368900938251
5,1,1475,-0.116348023007337,0.110709859819805,0.294010848044013
6,1,1491,-0.0958130104868169,0.0968600520456566,0.323247654609636
7,1,21249,-0.674358060622312,0.555681758655275,0.225723779634391
8,1,27243,-0.082930204900983,0.0758360972200205,0.274900135272594
9,1,27272,-0.104689250503818,0.074615867195101,0.161483039912597
10,1,27498,0.671050180643161,0.682339241436964,0.326056942679815
11,1,27561,-0.0847969863329654,0.516173133559922,0.869604651804775
12,1,27816,0.130279515015359,0.0760348650816996,0.0875135995965411
13,1,27822,0.132120668581551,0.0759284114319737,0.0827184166495393
14,1,27823,0.133420692917535,0.0774993423997355,0.0860231682236035
15,1,27825,0.131586610822779,0.0759310386361057,0.0839733752696105
16,1,27843,0.152495717176333,0.0726009840577704,0.0363970702374016
17,1,27848,0.152495717176333,0.0726009840577704,0.0363970702374016
18,1,28495,0.148389377565399,0.0726262749659639,0.041775652543911
19,1,28975,0.130043413781773,0.0722352815863172,0.0726707254452512
20,1,29283,-0.295038593624932,0.16186439382571,0.0691867917448531
21,1,29752,-0.230959897087818,0.169101079571491,0.172868265033935
22,1,29787,0.131143897496178,0.458723190515516,0.775130858195303
23,1,30057,0.361069637994165,0.147505092724122,0.0148577170219115
24,1,30479,0.527553532684937,0.434954709627522,0.225981761646421
25,1,30706,0.148426720852069,0.0745252010797136,0.0471817089634267
26,1,31435,0.118281006709425,0.072099541712434,0.101787033055615
27,1,35128,-0.0542854986108496,0.099711030401103,0.586490567183651
28,1,35129,0.00679546818796783,0.100007679106667,0.945864334253147
29,1,36146,0.112848973625414,0.0717497138076723,0.116657657711128
30,1,37255,0.124415548250319,0.145177640022603,0.392032726705997
31,1,37409,0.0612546051251354,0.072316521470977,0.397549653176172
32,1,37478,0.0621173954784912,0.0723767308373052,0.391336290595132
33,1,39144,0.00174633144428948,0.0721215269249068,0.980695805160387
34,1,41499,0.00233314776537628,0.0719214303510263,0.97413931445267
35,1,45359,-0.0193347368089034,0.121077568021882,0.873217521388155
36,1,45634,-0.157239927665699,0.110902057289602,0.15712339851166
37,1,51248,0.0177733521322,0.0722214738919812,0.805751633943767
38,1,51462,-0.00124270203788689,0.0723255800616937,0.986301085851909
39,1,52124,0.0288966220106186,0.0722112919738365,0.689275101232273
40,1,52667,-0.0116938849925304,0.0721092283818453,0.871265517753091
