SNP,Chr,Pos,Effect,SE,ERG11_ERG5_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0797154082188974,0.0682159159660454,0.243363504820757
2,1,1035,0.0901114590184458,0.0689287930951825,0.191957538406882
3,1,1074,0.0331979169529424,0.116753081048182,0.776314286928847
4,1,1470,-0.149810804533772,0.116072405292612,0.19766391738287
5,1,1475,-0.132635716339226,0.0855849598033188,0.122096383483782
6,1,1491,-0.0684518632231381,0.0750308076818872,0.362224622805953
7,1,21249,-0.191580101564687,0.431135731115237,0.657053571894068
8,1,27243,-0.0454150520974419,0.0587825893350297,0.440279907437244
9,1,27272,-0.0724997407293537,0.0578201206242317,0.210713799810364
10,1,27498,0.732381040633731,0.527737828909089,0.166081098774568
11,1,27561,0.0914696250626776,0.399746827259395,0.819142189238311
12,1,27816,0.00641033092175997,0.0591301891351599,0.913731699954361
13,1,27822,0.000741923509706921,0.0590560067614246,0.989983497887308
14,1,27823,-0.00531446030862098,0.0602717830190843,0.929787641925739
15,1,27825,-0.00244202582807396,0.0590558769320651,0.967039369241171
16,1,27843,0.0131649000171539,0.0565733130315268,0.816125251075926
17,1,27848,0.0131649000171539,0.0565733130315268,0.816125251075926
18,1,28495,0.0548274871958329,0.0565032623295661,0.332540449744332
19,1,28975,0.0572489165566683,0.0561177101001225,0.30835229647937
20,1,29283,-0.00522378273364055,0.125947550402558,0.966939987420537
21,1,29752,-0.292256384430251,0.130384878537549,0.0256152586132564
22,1,29787,-0.716436268742894,0.353256886970469,0.0433017642806156
23,1,30057,0.16169305639954,0.114882020158126,0.160167839631645
24,1,30479,-0.441046609487671,0.336743841437612,0.191135817236761
25,1,30706,0.0265190055675338,0.0580238271460395,0.647925951079968
26,1,31435,0.0308475514648559,0.0560274198898185,0.582270181953956
27,1,35128,-0.172196237869544,0.0767101616312651,0.0254020441007189
28,1,35129,-0.101457783901853,0.0772650921057881,0.189997866035878
29,1,36146,-0.000575428875804834,0.0557624380274058,0.991772371833408
30,1,37255,0.0706926960207026,0.112489885278905,0.530124737019966
31,1,37409,0.0579524978230198,0.0559790310126689,0.301259131175607
32,1,37478,0.0517208445948239,0.0560445744668396,0.356714702513301
33,1,39144,-0.00570625378938402,0.0558552612358554,0.918686542753119
34,1,41499,0.031416692135755,0.0556760501706666,0.5729242522005
35,1,45359,-0.0297998864431674,0.0937610536418743,0.750803350816356
36,1,45634,-0.0230447451438787,0.0861259218741101,0.789186303592703
37,1,51248,0.0236532601021654,0.0559240760516961,0.672587036792094
38,1,51462,0.00911570484406388,0.0560119959587812,0.87081188011412
39,1,52124,0.0134422571261034,0.0559336689329471,0.810217845580782
40,1,52667,-0.0393051785241486,0.0558094005746249,0.481725731918124
41,1,55470,-0.037589508760626,0.0573335727045405,0.512490418402796
42,1,59265,-0.0485364894143717,0.0557606119180006,0.384649351241746
43,1,60165,-0.0755561782658285,0.0556330836225461,0.175294277551939
44,1,62308,-0.08383682564295,0.0555379277393639,0.132054908364355
45,1,62869,-0.0997737759038077,0.0554562185047567,0.0728497221101077
46,1,65431,-0.0775539639617567,0.0580368315671393,0.182315646682052
47,1,65451,-0.0719779793009781,0.0572303641834873,0.209335740735601
48,1,65719,-0.107781882607692,0.059538497432778,0.0711011778808238
49,1,66841,-0.103796485238352,0.0554616841321228,0.0621028300955187
50,1,66948,-0.102740682821549,0.0558109604050848,0.0664797780242999
51,1,68621,-0.0456348457565847,0.0558735271253676,0.414620704937729
52,1,69417,-0.0601346301796971,0.0556863352360826,0.280932318771485
53,1,69820,-0.408854318766153,0.217174429507476,0.0605757250588624
54,1,69821,0.0616218937985629,0.135383361722329,0.649269686233181
55,1,70906,-0.106334287830401,0.0894223066932802,0.235189804834452
56,1,74327,-0.111024461725307,0.0557727303186197,0.0472891289470497
57,1,74572,-0.0956841947065884,0.0557032666360821,0.0867194930521781
58,1,75211,-0.0835923059280982,0.0556560720112044,0.134005542614284
59,1,76030,-0.032771289972564,0.0558063713990108,0.557423271455521
60,1,80108,-0.115335132044831,0.0554818547312429,0.0383584057591235
61,1,81262,-0.152574377859045,0.0552052350121782,0.00601347865111868
62,1,81999,-0.118124618877914,0.0555811295137447,0.03425858104863
63,1,82431,-0.0817935985753822,0.0560315047773571,0.145240240063087
64,1,83284,-0.103642281613996,0.0555180311355405,0.0627552542467186
65,1,83613,-0.0858796901101593,0.0555976831451196,0.123323757837774
66,1,84112,-0.0935342518135495,0.0555688569368522,0.0932178870211332
67,1,84701,-0.119441330414462,0.0594037159008071,0.045120271331813
68,1,84858,-0.0973874145626306,0.0557082448340094,0.0813041599554674
69,1,85751,-0.108544954631181,0.0558809884509399,0.0528799560119681
70,1,87445,-0.0782033011097247,0.056143513111356,0.164521229526295
