SNP,Chr,Pos,Effect,SE,MID2_TPO2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.135595064809731,0.0680168036551022,0.0469701575673581
2,1,1035,0.0879358768408497,0.0689883091758846,0.203271911773389
3,1,1074,0.128341211713725,0.116653549333005,0.271998506249303
4,1,1470,-0.111747330512645,0.116280559927301,0.337202562125654
5,1,1475,0.0965310662220853,0.0857858299030738,0.261244837007825
6,1,1491,0.0146250744846983,0.0751711039195372,0.845851584960944
7,1,21249,0.22076217069816,0.431417366096895,0.609171360035654
8,1,27243,-0.000127458856052032,0.0588760646742156,0.998273910183353
9,1,27272,-0.0187188897142034,0.0579833212070978,0.747013374509846
10,1,27498,-0.800287201176289,0.527853642148082,0.130385043286014
11,1,27561,-0.386360425943672,0.399545243358366,0.334205847832216
12,1,27816,-0.0584747075875245,0.0590932922797483,0.323080668989842
13,1,27822,-0.057182832156375,0.0590215643057848,0.333285150207074
14,1,27823,-0.0480492432044385,0.0602630765366021,0.425798419891903
15,1,27825,-0.0581845176096338,0.05901879092776,0.324874957590705
16,1,27843,-0.0176064989240158,0.056612016208203,0.755982015882869
17,1,27848,-0.0176064989240158,0.056612016208203,0.755982015882869
18,1,28495,-0.0210964179724909,0.0566095536194882,0.709621195093284
19,1,28975,-0.0164013303106017,0.0562354363472361,0.770721948831718
20,1,29283,-0.0311785116688155,0.126030694869287,0.804751599118956
21,1,29752,-0.219611305236288,0.130886351913007,0.0942560413042339
22,1,29787,-0.23962291622755,0.355344702506448,0.500536954196279
23,1,30057,0.0708161852689004,0.115228052748266,0.539231892043506
24,1,30479,0.21495411828967,0.337618565972819,0.524747622643782
25,1,30706,-0.03362690430351,0.0580566195146756,0.562817723754679
26,1,31435,-0.0235230585937996,0.0560792249461407,0.675134263184912
27,1,35128,-0.156814075714303,0.0768614042741141,0.0420723666358486
28,1,35129,-0.115646311084736,0.077266444901451,0.135359419460176
29,1,36146,-0.00967658135572264,0.0558015822349448,0.862428151207162
30,1,37255,0.0132237255503753,0.112634385107446,0.90660669760362
31,1,37409,0.00809715386076076,0.0561040278866323,0.885327041941527
32,1,37478,-0.00808795637167098,0.0561522637555414,0.885554109527803
33,1,39144,-0.0779891158832548,0.0557433323827288,0.162668463905709
34,1,41499,-0.0379582630162323,0.0557059977022386,0.496062971428823
35,1,45359,-0.137607315876597,0.0935580367402121,0.142229793622771
36,1,45634,0.0468940190148333,0.086162635850759,0.586613017922631
37,1,51248,-0.00763704172996588,0.0559784121872916,0.891560444341892
38,1,51462,-0.016569855684941,0.0560488590636618,0.767684689990762
39,1,52124,-0.0142780851255634,0.0559747294620687,0.798809154218122
40,1,52667,-0.0583925673799121,0.0558036935571633,0.29609581105138
41,1,55470,-0.0484884869620173,0.0573531420491141,0.398439391303529
42,1,59265,-0.0492993317988918,0.0558003177104964,0.377569888772622
43,1,60165,-0.0309223035795608,0.0557954956006927,0.579787500867189
44,1,62308,-0.0198136521969309,0.0557484010422461,0.722493214985851
45,1,62869,-0.0163923644849521,0.0557445442992473,0.768883189605189
46,1,65431,0.0461064909259175,0.0581750166755446,0.428573549165604
47,1,65451,0.0629636310573749,0.0573032356940573,0.272613019804412
48,1,65719,0.013303055085945,0.0598545688390614,0.824242900362577
49,1,66841,0.0310998285015024,0.0557530800071767,0.577325221820954
50,1,66948,0.0193580081360229,0.0561105019431517,0.730301380826892
51,1,68621,0.0346983078671822,0.0559374521548075,0.535456932898598
52,1,69417,0.0120299957026325,0.0558160918173175,0.829479251024755
53,1,69820,-0.354615730459504,0.217607434772559,0.104075463220888
54,1,69821,-0.0662512092033491,0.135478018580373,0.625132543235717
55,1,70906,-0.0311003936147065,0.0896526517188852,0.72887408669871
56,1,74327,-0.12869378997103,0.0557071228266111,0.0214540483646904
57,1,74572,-0.12411850781164,0.0555860496515532,0.0261814789417193
58,1,75211,-0.124491452201745,0.0554809216770782,0.0254607396645822
59,1,76030,-0.0696372900890288,0.055752122434707,0.212473758281477
60,1,80108,-0.160647636598395,0.0552037225504132,0.00384247033569471
61,1,81262,-0.160538696267765,0.0551832502495208,0.00385322061900903
62,1,81999,-0.140244207182591,0.0554773136815751,0.0119084199399302
63,1,82431,-0.131186168882931,0.0558071083798849,0.0192873903195211
64,1,83284,-0.126825030034302,0.0554233921968457,0.0227108697406813
65,1,83613,-0.122574267096184,0.0554442841487155,0.0276927780086943
66,1,84112,-0.113905757491306,0.055502817853163,0.0408822370183437
67,1,84701,-0.10107180189876,0.0595448805923889,0.0905014205440108
68,1,84858,-0.0820004878655577,0.0558201604397984,0.142720107694876
69,1,85751,-0.110280903826636,0.0559134114580159,0.0493496305958568
70,1,87445,-0.113624653165433,0.0560139808468091,0.0432590392442553
71,1,87467,-0.135455910932445,0.0561736789455853,0.0164024018389017
72,1,89070,-0.126476173752022,0.0558759517468036,0.0242104525384628
73,1,89616,-0.110427741056305,0.0556678144664245,0.0480646189614219
74,1,89679,-0.105634894893556,0.0557012817948015,0.0587163163139349
75,1,89880,-0.114598119255725,0.0556653323329103,0.040256526509213
76,1,91472,-0.114086552039889,0.056086420933246,0.0426866439288667
77,1,93789,-0.112226455905352,0.0555125080698394,0.0439673774735166
78,1,94351,-0.117273980840824,0.0556308096961804,0.035728840646598
