SNP,Chr,Pos,Effect,SE,ERG27_ACF2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.276053691051874,0.188927365156191,0.144860228760854
2,1,1035,0.150729178955646,0.191402870473517,0.431519439112666
3,1,1074,0.34229298882582,0.323228354418499,0.290332089089653
4,1,1470,0.406891398402424,0.321847740466995,0.206979566181326
5,1,1475,0.117463310825098,0.238012755127955,0.621954319436604
6,1,1491,0.106245962088458,0.208195342738142,0.610147201452476
7,1,21249,-1.02788173614719,1.19442943586554,0.390062897289595
8,1,27243,-0.0625218453430083,0.163081734364914,0.701670764463705
9,1,27272,0.0170955012972245,0.160663477918624,0.915320955877148
10,1,27498,-2.32075357463153,1.46195916289214,0.113311233652333
11,1,27561,0.269664200305033,1.10830922555877,0.807905550408076
12,1,27816,-0.0310440395815256,0.163936089395185,0.849914239971147
13,1,27822,-0.0334319903788914,0.163726379601934,0.838319353173161
14,1,27823,-0.0116382365742534,0.167107510557964,0.944515492829712
15,1,27825,-0.0167717302684574,0.163733615371467,0.918471130431235
16,1,27843,-0.0419334582754036,0.156848759661319,0.789356104718935
17,1,27848,-0.0419334582754036,0.156848759661319,0.789356104718935
18,1,28495,-0.0550646471975798,0.156839797395387,0.725731408356555
19,1,28975,-0.0612220909204778,0.155784535636053,0.69456253963371
20,1,29283,-0.618861600549888,0.347640358394371,0.0759069573271896
21,1,29752,0.163411002237488,0.3639588416886,0.653720081967322
22,1,29787,2.62311275947416,0.975170119097548,0.00748679671693551
23,1,30057,-0.214052575250397,0.319205921659499,0.502927672084715
24,1,30479,1.40931755830046,0.9328957349037,0.131761709487897
25,1,30706,-0.116153045229322,0.160803032029478,0.470569126819878
26,1,31435,-0.101132840075724,0.155312524716512,0.515368786695238
27,1,35128,0.341167872326291,0.21342465091441,0.110817482633775
28,1,35129,0.00616944236594197,0.214744003953144,0.977096732542264
29,1,36146,-0.223815626741359,0.154144814474948,0.147394569659017
30,1,37255,-0.360744615398207,0.311467534517637,0.247561595679964
31,1,37409,-0.162660761355149,0.155199072991641,0.295319649817513
32,1,37478,-0.158430997579358,0.155345287283882,0.308491619204339
33,1,39144,-0.084430358768599,0.154798846393344,0.585809274581145
34,1,41499,-0.131274458500464,0.154276363643135,0.395399198389949
35,1,45359,0.0119102406256548,0.259994074098385,0.963487861577329
36,1,45634,-0.00916531053861513,0.238812549504948,0.969407453977952
37,1,51248,-0.227582577978022,0.154618096830342,0.141938479354792
38,1,51462,-0.235683947156222,0.154794707702418,0.12876456884816
39,1,52124,-0.233813831306026,0.154591756477523,0.131311635731729
40,1,52667,-0.241178729291627,0.154310287882132,0.118961187063039
41,1,55470,-0.136403943407186,0.158891446938841,0.391214120111464
42,1,59265,-0.104988916977182,0.15466426138367,0.497697848884916
43,1,60165,-0.0403529422976023,0.154633309210102,0.794276355854056
44,1,62308,-0.134775134232779,0.154311503738114,0.383040721822037
45,1,62869,-0.127563866462666,0.154309446932441,0.408979333873481
46,1,65431,-0.151267417889858,0.161115728383099,0.348437240770003
47,1,65451,-0.131848384795579,0.158874517992063,0.407161810749975
48,1,65719,-0.119761372175591,0.165715673723573,0.470347726471257
49,1,66841,-0.0833474902767818,0.154467850570466,0.589828114641917
50,1,66948,-0.113335962311582,0.155362853142276,0.466184506623933
51,1,68621,-0.350795541731294,0.15393050716487,0.0232683269231309
52,1,69417,-0.215203746375821,0.15422346098916,0.163771792372415
53,1,69820,-0.353638927153426,0.604850414595138,0.559141970946968
54,1,69821,-0.109610830410535,0.375422588715172,0.770483725427747
55,1,70906,0.220171152982546,0.248147766409832,0.375543978268607
56,1,74327,-0.0896974281254564,0.155425163870067,0.564232960008963
57,1,74572,-0.0758311303705357,0.155031953471009,0.625051833927875
58,1,75211,-0.0735247023286411,0.154752305307279,0.635000858442805
59,1,76030,-0.0677072629886572,0.15475982521456,0.662017073895777
60,1,80108,-0.077443500792251,0.154710275605378,0.616984914597861
61,1,81262,-0.187464486516987,0.154384576989805,0.225456519472055
62,1,81999,-0.194973522373756,0.154736893706509,0.208489976279458
63,1,82431,-0.186614629429311,0.155501720469052,0.230912736265426
64,1,83284,-0.0631792675520506,0.15464818774113,0.683128320957893
65,1,83613,-0.0494384719379939,0.154645312580565,0.749392891569594
66,1,84112,-0.087016449714133,0.154615392639237,0.57393314537086
67,1,84701,-0.164692471539232,0.165408395808407,0.320091660913069
68,1,84858,-0.0653553966461112,0.155082303860521,0.673702029994812
69,1,85751,-0.116149358565324,0.15563617083876,0.455990352815083
70,1,87445,-0.15600066804048,0.155867166584092,0.317581755661231
71,1,87467,-0.176498244660329,0.156623824497503,0.260553291437938
72,1,89070,-0.107777874924057,0.155817712953547,0.489585406077323
73,1,89616,-0.110228292032642,0.154973470385285,0.477385420053554
74,1,89679,-0.0986717724401916,0.155015183780596,0.524843739962713
75,1,89880,-0.101900991861957,0.155048589321661,0.511467916685308
76,1,91472,-0.0757199595761855,0.15624304756022,0.628239892486061
77,1,93789,-0.0773492799359381,0.154629948327545,0.617230564258842
78,1,94351,-0.189487566469927,0.15476357838032,0.221629931192439
79,1,99148,-0.0984760879654978,0.154595918096963,0.524544090769688
80,1,101281,2.46162072757977,1.68666412308075,0.145327528907506
81,1,106011,-0.038830930116313,0.161197272919175,0.8097796499496
82,1,106800,-0.100481460915272,0.154801038965321,0.516695382701588
83,1,107970,-0.0761142454501647,0.154381356362246,0.622299746352709
84,1,109000,-0.0853491367240575,0.154639958479407,0.58135128945349
