SNP,Chr,Pos,Effect,SE,ADE17_HYR1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0913185577657535,0.098923824681738,0.356575222296623
2,1,1035,0.0144612249509063,0.10012372047252,0.885240545016141
3,1,1074,0.103880415182146,0.169116682243492,0.539443886060127
4,1,1470,0.00706328283782964,0.168597280946756,0.96660656208523
5,1,1475,-0.0546930495548348,0.124408874989707,0.660478922055253
6,1,1491,-0.0825102906041135,0.108767126749293,0.448600550438483
7,1,21249,0.8404682606154,0.623333265210382,0.178411947573752
8,1,27243,0.0749732761276449,0.0851607893904984,0.379256140510092
9,1,27272,-0.0137899318432751,0.0839706961648973,0.869649471508601
10,1,27498,0.267665807348898,0.766699383817486,0.72721156810049
11,1,27561,-0.200335583930872,0.579220602583795,0.729645733941441
12,1,27816,0.0318484285329635,0.0856706073530909,0.710298736944382
13,1,27822,0.00922285194452266,0.0855770626355129,0.914237404613569
14,1,27823,0.0389889163158266,0.0873165468156634,0.655492722422604
15,1,27825,0.013154868815599,0.0855756062617654,0.877916635855183
16,1,27843,0.0416542680893642,0.0819570701114458,0.611599017369341
17,1,27848,0.0416542680893642,0.0819570701114458,0.611599017369341
18,1,28495,0.0697905966450869,0.0819041889212319,0.394736060158957
19,1,28975,0.048669564250179,0.0813991255052154,0.550281631804227
20,1,29283,-0.0216726353124206,0.182508230682536,0.905541910615946
21,1,29752,-0.207444929957407,0.189960847310617,0.275560071230317
22,1,29787,-0.429336447037762,0.514373283731544,0.404463125957488
23,1,30057,0.177958226700068,0.166673847900738,0.286383973062909
24,1,30479,-0.141736496243849,0.489103797479586,0.772148435758082
25,1,30706,0.0466116606977504,0.0840709898442259,0.579634202963064
26,1,31435,0.0475757993581736,0.0811850785119225,0.558238890838913
27,1,35128,-0.0421394970704578,0.111929320000068,0.706783965607476
28,1,35129,-0.00487090113470323,0.112238178520007,0.965408889838333
29,1,36146,0.0330840354349944,0.0807865427284214,0.682403476148361
30,1,37255,0.0586077542045951,0.163071168142893,0.719510876132166
31,1,37409,0.0723681631895319,0.0811512775956618,0.373124416160788
32,1,37478,0.0609922458624807,0.081247648188626,0.453336021778862
33,1,39144,-0.0157928599871956,0.0809370616115409,0.845407197232767
34,1,41499,0.00245927694985687,0.0807168066760068,0.975711059180411
35,1,45359,0.217877335058847,0.135393494478453,0.108463086261321
36,1,45634,0.0819071529290385,0.124742146587724,0.511858435010746
37,1,51248,-0.00634562465891064,0.0810597778333656,0.937647078349152
38,1,51462,-0.023890039983479,0.0811604401503808,0.76865911321281
39,1,52124,-0.0333530207008567,0.0810410409010985,0.680913802544752
40,1,52667,-0.0492285448846751,0.0808881452601491,0.543180861152963
41,1,55470,-0.0335878352373374,0.0831138065041115,0.686370227980005
42,1,59265,-0.0441145097861152,0.0808556590277058,0.585688387559857
43,1,60165,-0.0506913392875584,0.0807835756089838,0.530740090397728
44,1,62308,-0.189173036115722,0.0801094563649441,0.0187471000538452
45,1,62869,-0.171952124439113,0.0802091322183759,0.0327318469032029
46,1,65431,-0.168716092364053,0.0838344426549,0.0449272382654659
47,1,65451,-0.145898533676417,0.0827549642937239,0.0787625738246011
48,1,65719,-0.139488936765654,0.0863586509185126,0.107154659348209
49,1,66841,-0.108940028495525,0.0805592323061203,0.1771459175231
50,1,66948,-0.104028530476554,0.0810744636128519,0.200290660712856
51,1,68621,-0.0825475317493932,0.080923985794207,0.308397348856294
52,1,69417,-0.0673602598747756,0.0807490656572808,0.404736696380873
53,1,69820,-0.482447026471317,0.315240762018923,0.126811355195604
54,1,69821,-0.303617418096882,0.195576000046951,0.121456200612161
55,1,70906,-0.187388855782204,0.129458105841777,0.148648217584389
56,1,74327,-0.0833623636583866,0.0811518045227118,0.305010930818601
57,1,74572,-0.0597488094153212,0.0809942258803777,0.461191589638179
58,1,75211,-0.0643092319521216,0.0808364401063048,0.426829676261454
59,1,76030,-0.00198549856281621,0.0809088047192579,0.98043577861557
60,1,80108,-0.135549671628326,0.0805673657242003,0.0933680264026119
61,1,81262,-0.112061534927355,0.0806388852555127,0.165504557311692
62,1,81999,-0.142505092959541,0.0807009839776262,0.0782869411316505
