SNP,Chr,Pos,Effect,SE,HNM1_TPO1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0453458054351611,0.108586260272173,0.676492246461899
2,1,1035,0.0685033539748311,0.109740744928198,0.532880420808245
3,1,1074,-0.187688620584368,0.185287365184168,0.311773243094994
4,1,1470,-0.0270893253078652,0.184882625547066,0.883593163448628
5,1,1475,0.160640732543828,0.136198968363479,0.239010815851364
6,1,1491,0.0667744111001882,0.119320883968438,0.57609323539248
7,1,21249,1.0229966027872,0.683153683197259,0.135166730626409
8,1,27243,0.0887077485708025,0.0933725199728974,0.342741258564388
9,1,27272,0.101340990360418,0.0919296782666203,0.271049630722084
10,1,27498,0.602532269151867,0.840314189441829,0.473828437689959
11,1,27561,0.521739277784116,0.634687502599329,0.411608336412257
12,1,27816,0.0160076944807083,0.093962951636974,0.864823236443608
13,1,27822,-0.00100955136434744,0.0938473706190584,0.991423098966856
14,1,27823,0.00812830077675769,0.0957794629309959,0.932417020541195
15,1,27825,-0.000176880045728967,0.0938473855294609,0.99849724253621
16,1,27843,0.0368792937494379,0.0898875208860387,0.68184748947036
17,1,27848,0.0368792937494379,0.0898875208860387,0.68184748947036
18,1,28495,0.0339601855004316,0.0898922354410641,0.705815327577366
19,1,28975,0.0529013509600058,0.0892650108796642,0.553806529157857
20,1,29283,-0.112792614217243,0.20005680918248,0.573246256976052
21,1,29752,-0.0916186836525243,0.20861018002819,0.660795434697925
22,1,29787,-0.765883105888256,0.563156927666928,0.174703641243177
23,1,30057,0.143708838442799,0.182913548036844,0.432590588011443
24,1,30479,-0.17055070626638,0.536349840715132,0.750685045849906
25,1,30706,0.0726441675626962,0.092153303350762,0.431052081195541
26,1,31435,0.0513720384217164,0.0890308069081943,0.564297664232734
27,1,35128,0.00261560668611205,0.122768915494521,0.98301429566066
28,1,35129,-0.0113568889451483,0.123081899886567,0.926535077183425
29,1,36146,0.0618451723606453,0.0885523281053443,0.485385306027239
30,1,37255,0.256656022152333,0.178338017495626,0.150992766984734
31,1,37409,0.0809375098516637,0.0889883977382699,0.363691646531221
32,1,37478,0.0839071135536599,0.0890572895375387,0.346749903524736
33,1,39144,0.0201969993751899,0.0887557834566214,0.820122395505584
34,1,41499,0.0885823448866766,0.0883904323528476,0.316947387784011
35,1,45359,0.136330896727803,0.148842566821263,0.360323523144003
36,1,45634,0.015796435642097,0.136876134809213,0.908188315369938
37,1,51248,0.0746838233634387,0.0888039318799798,0.4009190341697
38,1,51462,0.0872197285154061,0.088892257465536,0.327173620561944
39,1,52124,0.121400991504197,0.0886577002587709,0.171768998604467
40,1,52667,0.128788828583049,0.0884852762611662,0.146424273293826
41,1,55470,0.0610934566797086,0.0911076494528945,0.502937166801562
42,1,59265,0.132037224000726,0.0884267989304249,0.136283026537874
43,1,60165,0.0734475200442337,0.088552338635032,0.407424498497746
44,1,62308,-0.0198536863366048,0.0885347954325261,0.822694638410131
45,1,62869,-0.0101795895917082,0.0885283229455472,0.908520953445457
46,1,65431,0.0194928001116939,0.0924549224667709,0.833137118633429
47,1,65451,0.0323382565107161,0.0911334745401239,0.722917627412706
48,1,65719,0.025301398015545,0.0950427328677419,0.7902323207819
49,1,66841,0.00592281756667051,0.0885711432401157,0.946722467518297
50,1,66948,0.00226065532937611,0.0891151980617662,0.979775939575441
51,1,68621,0.0481305719525646,0.0888369361290836,0.588308018507094
52,1,69417,0.0534090373207253,0.0885929898332592,0.546989925347074
53,1,69820,-0.25799261392736,0.346573557380559,0.457124093473999
54,1,69821,-0.156865137903802,0.215042164662617,0.466202700178761
55,1,70906,-0.229213161848186,0.141863931028858,0.107047039809546
56,1,74327,-0.0227107910428319,0.0891177153749115,0.798994798811751
57,1,74572,0.0110880534234173,0.0888866720476981,0.900797456435441
58,1,75211,-0.0206338692509522,0.0887197980860814,0.816227431877672
59,1,76030,0.0607548146788289,0.0886676500937816,0.493669254169072
60,1,80108,0.0369421634535782,0.0886838221617746,0.67725319329959
61,1,81262,-0.0713834494230945,0.0885906479751759,0.420919470258371
62,1,81999,-0.0437897129422789,0.0888580701566845,0.622456675911797
63,1,82431,-0.00851460062140338,0.0893082566248393,0.924099301535509
64,1,83284,-0.0514726977636213,0.0886171779004422,0.561716680491229
65,1,83613,-0.048918716840514,0.0886115020546742,0.581257734208125
66,1,84112,-0.00218226944816656,0.0886594395419611,0.980376706324642
67,1,84701,-0.00194318648410907,0.0949388892560306,0.983681793882626
68,1,84858,0.00488750291078051,0.088909359467628,0.956192070371729
69,1,85751,-0.0360469950218398,0.0892545639695392,0.686554893687077
70,1,87445,0.00735188989545232,0.0894630480270272,0.93455178341067
71,1,87467,-0.00469967097717652,0.0899319035354402,0.958352593397396
72,1,89070,0.0111433682368997,0.0893674254912418,0.900838675071932
73,1,89616,-0.0300695675074681,0.0888742220237309,0.735309283845953
74,1,89679,-0.0208648921084328,0.0888929508145926,0.81456268727119
75,1,89880,-0.0359786661538992,0.0889017908487015,0.685942236355811
76,1,91472,-0.0100704540050921,0.0895808607406633,0.91055630048651
77,1,93789,-0.0497972538519494,0.0886198898474641,0.574527397321391
78,1,94351,-0.0875635133885332,0.0887705947954245,0.324611379004155
79,1,99148,-0.0800996379050378,0.0885569546081548,0.366347972770575
80,1,101281,-0.262042903839804,0.969544831047943,0.787107296128561
81,1,106011,0.0266880952420456,0.0923889291890432,0.772852864130883
82,1,106800,0.0295201064658793,0.0887652025799619,0.739660861642165
83,1,107970,-0.00446482625784599,0.0885157672095887,0.959799471622114
84,1,109000,0.059952515739845,0.0886146481262847,0.499132597168862
85,1,112549,0.027525226124937,0.0885595873269358,0.756128333966152
86,1,112742,0.0346750671223894,0.0888976241722138,0.696730258136188
87,1,113050,0.0117445140548726,0.0887649951819594,0.894814325555116
88,1,113135,0.00768188370556129,0.088540157313058,0.930910221886653
89,1,114076,0.0603081297713334,0.0884828984160806,0.495951791721272
90,1,114628,0.0376645901318614,0.0887424548278222,0.671513835563855
91,1,116283,0.140091010314242,0.0889468187828361,0.116152805348171
92,1,126880,0.144818080265761,1.67473264430389,0.931139956541513
93,1,127853,0.0966219939689848,0.0889440589025785,0.278077276291907
94,1,128302,0.0470726169241551,0.0887150179026321,0.596026287608035
95,1,128704,-0.00288982976798438,0.0888386002767777,0.974068583589567
96,1,128911,0.0204696927244272,0.0888418856556895,0.817909860878924
97,1,130267,0.00242254485268018,0.0888063565193538,0.978252654739206
98,1,130271,0.00211766161080124,0.0889117802962258,0.981011591341277
99,1,130613,0.0196004629054128,0.0897366645047295,0.827226534026282
100,1,132012,-0.0378077434526554,0.0895296287101437,0.673068191265722
101,1,133231,-0.0875393892001234,0.0887946230246904,0.324875275354521
102,1,137074,-0.0851537143676726,0.0886745719215351,0.337564244852531
103,1,137304,-0.110675997498496,0.0886256310142306,0.212564485797368
104,1,139686,-0.103305602990058,0.088767782156108,0.245301762838785
105,1,149562,-0.0520803501897418,0.0890976966764765,0.559236619583927
106,1,150447,-0.0521158567389067,0.0900868845050524,0.563291047084988
107,1,151446,-0.130717562808418,0.180933011065131,0.470487679745866
108,1,154084,-0.0545083450702831,0.0903614709456034,0.546746052310121
109,1,156633,-0.0363578768976327,0.0916270810039632,0.691752711708574
110,1,157269,-0.0279444098132274,0.0887547348785594,0.753061726817467
111,1,160054,-0.047917179202841,0.0895742565898929,0.593025628495459
112,1,166222,-0.0358995561025744,0.0889272486180415,0.686680869010646
113,1,166416,-0.0524727863354903,0.0887232502522021,0.55461695847648
114,1,167326,-0.0382820591494112,0.0892483638332455,0.668229629465236
115,1,168836,-0.0737332259867343,0.08876185294583,0.406712530418618
116,1,171200,-0.0960553724157312,0.0888346295666465,0.280309391018873
117,1,171431,-0.0843472784967114,0.0894245222030797,0.346211871603535
118,1,173339,-0.108053775820212,0.0886544948659885,0.223726796666614
119,1,173845,-0.0951395769220478,0.0886226458790816,0.28376411683757
120,1,175121,-0.0479528987213389,0.0885544227046716,0.588499311908702
121,1,175281,-0.0514544385935025,0.0886241916217349,0.561886358900089
122,1,175315,-0.0519433954310817,0.0885954584992112,0.558049561327954
123,1,175523,-0.051646956265535,0.0890984113422764,0.562512387204849
124,1,175541,-0.0518442663126391,0.0887341103200888,0.559414987655391
125,1,175653,-0.0322597899123815,0.0890413708447925,0.717343810703844
126,1,175805,-0.0964999446147573,0.093954758657234,0.305081600496813
127,1,175818,-0.0883632904883841,0.091812937025078,0.336493732733006
128,1,175856,-0.0578777498718026,0.0904757344959323,0.522779557349464
129,1,175876,-0.0568682566733288,0.0890894035867582,0.523674111932239
130,1,175989,-0.027884730742977,0.089382818427558,0.755247737835333
131,1,176001,-0.0292441646354255,0.0898474673607361,0.745005511905973
132,1,176451,-0.0327599104740737,0.0909244010946112,0.718839526982132
133,1,177692,-0.103633906976233,0.0884667946988477,0.242210392284126
134,1,178191,-0.0993604948197877,0.0885688502641173,0.262690997443344
135,1,178224,-0.103633906976233,0.0884667946988477,0.242210392284126
136,1,178960,-0.0749243103689427,0.0892574882277348,0.40180310070023
137,1,179139,-0.188639593732906,0.176797340025781,0.28670910031281
138,1,179139,-0.380653449792274,0.356072456078914,0.285784960194147
139,1,180955,-0.0982388218799777,0.102473154723785,0.338376816035402
140,1,183802,-0.0673661855866498,0.0885772055885767,0.447441730793152
141,1,183954,-0.0698724431608954,0.0892176654842025,0.434053421554415
142,1,184450,-0.0121010956558659,0.0885109646767193,0.891331162659525
143,1,184641,-0.0178300796989804,0.0910841691385539,0.84491544182471
144,1,184718,-0.028421063369773,0.0890033626870389,0.749668412630201
145,1,185296,-0.0291277887574004,0.0886250256793458,0.742605122212716
146,1,185438,-0.0176196786861757,0.088637808613874,0.842547029599246
147,1,185469,-0.0118464589999337,0.0887684595945629,0.893910806563215
148,1,185503,-0.0217769333785344,0.0885335144818665,0.805845398163805
149,1,185705,-0.0087963672736439,0.0895294466958437,0.92178866621856
150,1,185749,-0.0294619549707144,0.08951693738394,0.74225898224098
151,1,185806,-0.0179875107410025,0.0896451068338873,0.841085894688445
152,1,185879,-0.0114750712029946,0.0900813491739718,0.898707706688108
153,1,185916,-0.00500512202090494,0.0900420546009903,0.95570267273872
154,1,185941,-0.00232488890882442,0.0904346018831128,0.979504803257757
155,1,185954,0.0124347721779015,0.0906963803812553,0.891027314965529
156,1,186055,-0.00304196945473032,0.0888884837282498,0.972719216848897
157,1,186896,-0.0248361788616391,0.0903362596143129,0.783530595527279
158,1,187697,-0.0480574026349059,0.184234497348023,0.794360984984622
159,1,189392,0.117501761729194,0.185112654745233,0.525997360895859
160,1,189416,-0.0166882287181416,0.179162726782684,0.925840693399864
161,1,190132,0.0512027002176679,0.0889596521440754,0.565271113832012
162,1,190148,0.0576666231189897,0.0889753049412035,0.517329052107986
163,1,190165,0.0634602958127349,0.0896487356222366,0.479488636037693
164,1,190169,0.0585911838815164,0.0895461839581511,0.513336577524091
165,1,190933,0.0772535192055228,0.0887786960613721,0.384792929010428
166,1,192149,0.0666199339509865,0.0895302810117918,0.457307951319522
167,1,192302,0.125415828408677,0.118118011786434,0.289059575470033
168,1,192303,0.0625368354243383,0.10676535038596,0.558423915506485
169,1,192305,0.100458513049624,0.110873128739969,0.365518279418162
170,1,192315,0.127910893155518,0.125737747856331,0.309715458763565
171,1,192795,0.0913959153117515,0.0885721338316089,0.302834246420162
172,1,194020,0.0892689160508037,0.0933128767838611,0.339392413434329
173,1,194187,0.105771939387623,0.0886004324940799,0.233354569341983
174,1,194867,0.133409605555293,0.0884462206774308,0.132354372510103
175,1,197325,0.14860490391267,0.0905511781923398,0.101664163095366
176,1,197392,0.110144615602074,0.0918774856306821,0.231401888761313
177,1,198857,-0.451024347355124,0.424786370333059,0.289067124824732
178,1,206666,0.123816920997153,0.0995737431482324,0.214520023476313
179,1,206675,0.446536961714314,0.127727529724438,0.000532486694947854
180,1,223051,-0.0469520251874547,0.10279642219739,0.648133353090349
181,1,223059,0.0214224472325861,0.106768438714229,0.841092496600596
182,2,7366,0.219715555822353,0.128159832833014,0.0873354029123989
183,2,8180,-0.0351981619147708,0.177172486285401,0.842638335324539
184,2,8187,0.0452229858392066,0.184236530060699,0.806241713326063
185,2,8250,-0.271055179741211,0.180952056575299,0.135042701904979
186,2,8253,-0.275606272951084,0.180932581043347,0.128590498099176
187,2,8285,-0.107219896543268,0.0982497000727578,0.275885201620963
188,2,8302,-0.123787069351102,0.0918870907215823,0.178791236671916
189,2,8306,-0.123787069351102,0.0918870907215823,0.178791236671916
190,2,8314,-0.111095377160782,0.0900391960296078,0.218077530029457
191,2,8317,-0.132242163795413,0.0920222244210697,0.15158451552207
192,2,8328,-0.146772508951227,0.0915454111341642,0.109768202088181
193,2,8331,-0.145890705742573,0.0913760538155837,0.111250421211669
194,2,8498,-0.126431793494554,0.0898493525395836,0.160261856822434
195,2,8651,-0.106529006889951,0.0900069452727687,0.237381999169271
196,2,9418,-0.14753572128634,0.22923045279267,0.520244265581828
197,2,9812,-0.0455428891826767,0.0906888308027471,0.615848026129884
198,2,9932,-0.0799582071757855,0.0902633915972315,0.376311063377561
199,2,10135,-0.0595182142968144,0.0899618433538769,0.508663079108737
200,2,11616,-0.0798039013467546,0.0898216812575616,0.374892795963226
201,2,12133,-0.0533611929221824,0.0902348499279308,0.554658374176074
202,2,12194,-0.0602875523526393,0.0905718143738013,0.506080664144361
203,2,12359,-0.0639806345494514,0.0902994731870037,0.479078665359875
204,2,13061,-0.0728071398101446,0.0902738764872061,0.420489593683915
205,2,14298,-0.0532007042896545,0.090597819837139,0.557432447308764
206,2,15222,-0.0952951450253243,0.0913853039627831,0.297761895710966
207,2,17986,-0.0673159820680238,0.0898506483934638,0.454236449832087
208,2,19770,-0.0787050165933803,0.0904468137698199,0.384793331161286
209,2,19836,-0.0949203768570369,0.0901535684039886,0.293118758940822
