SNP,Chr,Pos,Effect,SE,ERV25_ORM2_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.233103489573759,0.167896227202283,0.165897350993024
2,1,1035,0.114413435313164,0.170086811633325,0.501593083257556
3,1,1074,0.216912606702625,0.287387098983684,0.450887226136511
4,1,1470,0.320099346269956,0.286076274702155,0.263930792389792
5,1,1475,0.387853442872764,0.210518945288608,0.0662597766526873
6,1,1491,0.157340491020566,0.184843896911934,0.395231204097138
7,1,21249,-0.528365905193149,1.0618973929091,0.619098527931914
8,1,27243,0.0190948565984335,0.144911966928241,0.895242341238947
9,1,27272,0.034576589891002,0.142727364218674,0.808722328423578
10,1,27498,0.0434986182484911,1.30346205296411,0.973397115720974
11,1,27561,1.98944562669472,0.979019085643524,0.0428938561805881
12,1,27816,0.0530534137741132,0.145624421643036,0.715839635578991
13,1,27822,0.0693114140831713,0.145419892725261,0.63392085728594
14,1,27823,0.0337367120266107,0.148452119202139,0.820355838089505
15,1,27825,0.0715580990391796,0.14541680999679,0.622961888815126
16,1,27843,0.103454886943958,0.139253143761783,0.458020140056458
17,1,27848,0.103454886943958,0.139253143761783,0.458020140056458
18,1,28495,0.0792198445305299,0.139300425143671,0.56992286353988
19,1,28975,0.0915813697203199,0.138346810553227,0.508422666873066
20,1,29283,-0.277228743624637,0.309883429814762,0.37159839695972
21,1,29752,-0.242798260866001,0.323183024724015,0.452989704939304
22,1,29787,2.43954475667222,0.865511064236938,0.00509494972885671
23,1,30057,0.182061177802476,0.283604578741304,0.521319506452773
24,1,30479,1.54551343732533,0.827400752781818,0.062602418038867
25,1,30706,-0.00792780786496144,0.142965840448123,0.955809372936073
26,1,31435,0.0492504049767576,0.138040993142957,0.721468926403093
27,1,35128,0.21100520417309,0.189964478280097,0.267427089957424
28,1,35129,-0.070542708873961,0.190746532734132,0.711735154580777
29,1,36146,-0.0495575347024918,0.137328625307881,0.718413830774249
30,1,37255,-0.0271645834245096,0.277236061673193,0.922000939272211
31,1,37409,-0.00678065836301878,0.13809613592579,0.960866575725771
32,1,37478,-0.0331968290702402,0.138204026824023,0.810313398314467
33,1,39144,-0.1172270369501,0.137443060941488,0.394285630719343
34,1,41499,-0.126600225332462,0.137037417216694,0.356202284649768
35,1,45359,-0.476506268084339,0.229588522271334,0.0386658084216268
36,1,45634,0.118897679857114,0.212072324487905,0.575393973949303
37,1,51248,-0.237094940151471,0.137207890657073,0.0848631473871329
38,1,51462,-0.202691034158262,0.137551411022374,0.141489726682139
39,1,52124,-0.181717556925445,0.137447106451976,0.186993954154464
40,1,52667,-0.192971221514881,0.137182206874048,0.160402581796622
41,1,55470,-0.176954086532757,0.140995692376101,0.210297419120368
42,1,59265,0.0115832390925051,0.137495376223048,0.932909736352334
43,1,60165,0.00384564357447784,0.137392704092526,0.977685817471935
44,1,62308,-0.149288930970453,0.137011542004397,0.276628932552732
45,1,62869,-0.12705133006024,0.137057797962546,0.354564615364631
46,1,65431,-0.0975153528116304,0.143223322231531,0.496405020564188
47,1,65451,-0.100790344617231,0.141183332525747,0.475762678085863
48,1,65719,-0.0120137104981718,0.147332906612008,0.935057728007498
49,1,66841,-0.0251247132991881,0.137282677044128,0.854891749860991
50,1,66948,-0.0617192841559321,0.138092683404793,0.655191736582532
51,1,68621,-0.200652672491596,0.137342953076118,0.144915704259683
52,1,69417,-0.12137044785045,0.137240907758023,0.377103541425546
53,1,69820,0.00472081902379351,0.537622371308663,0.992998889846872
54,1,69821,-0.235789983383411,0.333337727651727,0.47980911740297
55,1,70906,0.0508493455196648,0.22068898273376,0.817905264486318
56,1,74327,-0.0262131512112654,0.138141186902283,0.84960921930291
57,1,74572,-0.0163687530756705,0.137777683075424,0.905496991990516
58,1,75211,0.0291700504872932,0.137520512387929,0.832140380482826
59,1,76030,0.0248532739763923,0.137522914343085,0.856690311141501
60,1,80108,-0.0109298198878217,0.137495527765174,0.936686191793662
61,1,81262,-0.0236597607360227,0.13743900907503,0.863420340888118
62,1,81999,-0.0490233272727682,0.137755728745125,0.722149433454241
63,1,82431,-0.112078257078379,0.138304065476312,0.418270242312742
64,1,83284,0.0328006077371249,0.137414211130627,0.811477656992037
65,1,83613,0.0808866419468602,0.137342698674064,0.55627804064584
66,1,84112,0.0504025084300197,0.137399114268798,0.713963495322421
67,1,84701,0.114586012802342,0.147032200453728,0.436309869780602
68,1,84858,0.129616206709959,0.137640376178512,0.346989267658374
69,1,85751,0.0890095886838939,0.138298485780861,0.520249548959995
70,1,87445,0.0749706042778584,0.138614707933263,0.588947921401422
71,1,87467,0.0171019318878563,0.139395112944025,0.902424982908015
72,1,89070,0.0180493281540629,0.13852230469997,0.896404031001684
73,1,89616,0.0903231345379599,0.137696542210833,0.512278525442385
74,1,89679,0.0582486038217596,0.137763004859099,0.672685895817942
75,1,89880,0.0619347200527814,0.137793374728206,0.653364664017931
76,1,91472,0.0389337573050681,0.138840439228905,0.779318891483225
77,1,93789,0.0263121259041988,0.137418164628264,0.848263649884165
78,1,94351,0.0102503007790387,0.137785899506073,0.940739849485882
79,1,99148,-0.0241268458359352,0.137419300745231,0.860731644946226
80,1,101281,1.13778426871116,1.50176284370909,0.449176496002459
81,1,106011,0.0891093917919986,0.143144394393026,0.534005841649894
82,1,106800,0.0782779711742944,0.137547587016145,0.569651972077186
83,1,107970,0.132535224435366,0.137021519717484,0.334077059123994
84,1,109000,0.0201120430200048,0.137440609467613,0.883742354156762
85,1,112549,-0.118204860998553,0.137144959165942,0.389329182171854
86,1,112742,-0.0356144194164595,0.137811032725345,0.796226158477082
87,1,113050,-0.068147880607093,0.137544392209558,0.620583040560216
88,1,113135,-0.0619457712776757,0.13720214526757,0.651911717843725
89,1,114076,-0.0955628384946464,0.137147470738031,0.486393486886836
90,1,114628,-0.0346495394662529,0.137576591638546,0.801298658391849
91,1,116283,-0.015597141886848,0.138351716966484,0.910304384005655
92,1,126880,-3.23790777588998,2.59019392956804,0.212104305813771
93,1,127853,0.0577094068565062,0.138062444252616,0.676204948363614
94,1,128302,0.0679691246419424,0.137518582036877,0.621434154080962
