SNP,Chr,Pos,Effect,SE,noPPI_reference_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0916740298092305,0.0706863746910877,0.195508410914881
2,1,1035,0.0334535826343669,0.0716075880308356,0.640659840634156
3,1,1074,-0.0395368708364465,0.121030894958435,0.744112915869491
4,1,1470,-0.111994389617087,0.120465885216926,0.353173533955875
5,1,1475,-0.107318015709381,0.0888419145848949,0.227868978428758
6,1,1491,-0.105641133675537,0.0776711673321884,0.174663879215206
7,1,21249,0.519604828385548,0.446217621991945,0.24502196443871
8,1,27243,-0.020712150366601,0.0609801415938428,0.734319084461651
9,1,27272,-0.072636543989741,0.0599496439786917,0.226466026246682
10,1,27498,-0.131787463991017,0.548539649809524,0.810274764337299
11,1,27561,-0.339569353281845,0.414045119816754,0.412697454283521
12,1,27816,-0.0432342262400206,0.0612567688955571,0.480786164583751
13,1,27822,-0.0400881922974114,0.0611848726343081,0.512767160430096
14,1,27823,-0.0429639810812279,0.0624412486740706,0.49186027891743
15,1,27825,-0.0457974394375316,0.0611735201505722,0.454567861353606
16,1,27843,0.000175828976279476,0.0586527952305373,0.9976098037049
17,1,27848,0.000175828976279476,0.0586527952305373,0.9976098037049
18,1,28495,0.0131540105309259,0.0586495670684871,0.822668058278139
19,1,28975,-0.000751321809716612,0.0582616652338394,0.989718333345009
20,1,29283,0.0456052804753471,0.130544782984785,0.727037972258427
21,1,29752,-0.174181815594777,0.135809575438494,0.20049326601333
22,1,29787,-0.096364703626421,0.368305236123526,0.793748832166294
23,1,30057,0.161298159679765,0.11912038210943,0.176578041974816
24,1,30479,-0.43606973529778,0.3491715267683,0.212540298706203
25,1,30706,-0.0230400787359028,0.0601573101798352,0.701952398195078
26,1,31435,-0.00261649784514097,0.0581071492171789,0.964109778199981
27,1,35128,-0.197206428111006,0.0793985185567052,0.0134639310439973
28,1,35129,-0.0820011865641939,0.0801756877018824,0.307117594350808
29,1,36146,-0.0342231265412813,0.0577789853501076,0.554021572692592
30,1,37255,0.000658482631388679,0.116680977420173,0.995500394470514
31,1,37409,-0.0274468821197542,0.0581018862305074,0.636938726401172
32,1,37478,-0.0247819652039037,0.0581552546049654,0.670269502879243
33,1,39144,-0.0779452883262366,0.0577559598005836,0.178021154585967
34,1,41499,-0.118709482730828,0.0573974423714464,0.0393489768317224
35,1,45359,-0.125386298304062,0.0969845693258747,0.196909184935132
36,1,45634,-0.0865642505012332,0.0891749416218774,0.332350425750767
37,1,51248,0.00338945626148827,0.0579896556845738,0.95342379850784
38,1,51462,0.00406517836176357,0.0580681680159191,0.944227728008389
39,1,52124,-0.0164932296788491,0.0579832915401293,0.776233888163478
40,1,52667,-0.053484121886748,0.0578269748391217,0.355650179252462
41,1,55470,-0.0419910328237835,0.0594306096862645,0.480308758976059
42,1,59265,-0.0324488886914369,0.0578420135588279,0.575159124277928
43,1,60165,-0.0411977033317271,0.0577824730736728,0.476329650229819
44,1,62308,-0.101108193226377,0.0575092326607033,0.0795935174842094
45,1,62869,-0.108357603782821,0.0574645293671735,0.0601639577880167
46,1,65431,-0.0329378987327009,0.0602919958247944,0.585200500416099
47,1,65451,-0.0363809472075711,0.0594306892872383,0.540827597507065
48,1,65719,-0.027966473234555,0.0619902136476756,0.652163240673574
49,1,66841,-0.0426063072614428,0.0577359158573067,0.461034187617887
50,1,66948,-0.0396967367653172,0.0580966316103608,0.49487303671306
51,1,68621,-0.0141551489635058,0.0579726541111373,0.807241467722019
52,1,69417,0.00322687695493326,0.0578238080075619,0.955528457043284
