SNP,Chr,Pos,Effect,SE,HNM1_TPO2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.164807816799271,0.192581045707817,0.392697657219406
2,1,1035,0.0857646931598425,0.194836253954123,0.660069938577025
3,1,1074,0.318643227887035,0.328912954911466,0.333319869260275
4,1,1470,0.00357004674343031,0.328163817229269,0.991326245916854
5,1,1475,0.0886046778653675,0.242173718981001,0.714679455299838
6,1,1491,0.0312499924196121,0.211873726729117,0.882826735045656
7,1,21249,0.101476192126053,1.2163838205175,0.933561308551166
8,1,27243,-0.19615867858561,0.165612750435637,0.237035058225533
9,1,27272,-0.0395058522036296,0.16343592502064,0.809136916766133
10,1,27498,0.253326858071088,1.49252452800078,0.865319353677582
11,1,27561,1.12853184726418,1.126003296868,0.316911509779844
12,1,27816,0.105058546469656,0.166690845261309,0.52893236255704
13,1,27822,0.0926560231201508,0.166499610984557,0.578225843296169
14,1,27823,0.128973192887575,0.169865019219435,0.448198545957435
15,1,27825,0.128440900596758,0.166432289742657,0.440790276099183
16,1,27843,0.117642914893474,0.159459290134963,0.461149566920597
17,1,27848,0.117642914893474,0.159459290134963,0.461149566920597
18,1,28495,0.109382726052816,0.159478532437065,0.49324061168144
19,1,28975,0.116403031587512,0.158396910653253,0.462899304275757
20,1,29283,-0.441541270023285,0.354468676004844,0.213721791086535
21,1,29752,0.221074749796637,0.370182851131862,0.550753922984073
22,1,29787,1.0652099037712,1.00057488301402,0.287785599057856
23,1,30057,0.173360715850162,0.324811616826598,0.593866369255569
24,1,30479,-0.0685504983170482,0.95211327395517,0.942644068030905
25,1,30706,0.0759310220939335,0.163659763729197,0.642964835803042
26,1,31435,0.11150282183572,0.157986611981116,0.480794274038798
27,1,35128,0.490211963999016,0.216338805465121,0.0240597580666634
28,1,35129,0.186074236029432,0.218239907378945,0.394451922245682
29,1,36146,0.0428180900448937,0.15726630803836,0.785577551852571
30,1,37255,0.276374949033212,0.31712394220575,0.384071069108375
31,1,37409,0.144246078264945,0.157946743994735,0.361730348310316
32,1,37478,0.126705816102666,0.158125419527686,0.423497318373489
33,1,39144,0.167980241145035,0.157293047284611,0.286275339118246
34,1,41499,0.0845436078484275,0.157045487825669,0.590682762999518
35,1,45359,-0.35193002113388,0.263834931878555,0.183095839286718
36,1,45634,-0.194619819532544,0.24272934331471,0.423209419485415
37,1,51248,0.0163316925528462,0.157776279035667,0.917615637200092
38,1,51462,0.00208009136491266,0.157992583892031,0.989502989895812
39,1,52124,-0.0335712625607587,0.157768555486546,0.831615115324804
40,1,52667,-0.0669482267576669,0.157485505238789,0.671017525202715
41,1,55470,-0.021551378598774,0.161808681860759,0.894118620863865
42,1,59265,0.0445793436531525,0.15742846427955,0.777210928181158
43,1,60165,0.101312862750059,0.157234929232243,0.519772998227152
44,1,62308,-0.0323259188344524,0.15714492230995,0.837137830790966
45,1,62869,-0.0606142674683731,0.157101480620012,0.699855921032532
46,1,65431,-0.019848511357332,0.164108034710467,0.90380116830138
47,1,65451,0.0435930212208778,0.161767832246438,0.7877186098175
48,1,65719,0.0661264933433158,0.16867450498643,0.695268125343962
49,1,66841,0.0962554587070947,0.157125159160164,0.540532823000021
50,1,66948,0.0221841746022855,0.158169059937947,0.888537647298185
51,1,68621,-0.147237314923314,0.157550191735669,0.350663067779151
52,1,69417,-0.140347289198917,0.157149929703904,0.372423338513755
53,1,69820,-0.327678397180867,0.615379681754526,0.594727443622538
54,1,69821,-0.353035076906915,0.381510115338009,0.355409649225403
55,1,70906,-0.0447210440550077,0.252716830437835,0.859640446674322
56,1,74327,-0.175023304803085,0.157917817825436,0.268478670127853
57,1,74572,-0.126255379420993,0.157628008196611,0.42368751607246
58,1,75211,-0.152883804691808,0.157273214652898,0.331671124809481
59,1,76030,-0.193040399607529,0.157148058788923,0.220115859941254
60,1,80108,-0.0830282330719143,0.157384314025817,0.598142512482402
61,1,81262,-0.0559232066193759,0.157358673320786,0.722512041006373
62,1,81999,-0.076091410689903,0.15771919343241,0.629786296086055
63,1,82431,-0.0620154299441717,0.158483660632666,0.695807977787985
64,1,83284,-0.0199317381279168,0.157360942129956,0.899279603241187
65,1,83613,-0.0035480403790083,0.157347064115878,0.982022657571072
66,1,84112,-0.00428997848587301,0.157364352363434,0.978266618670861
67,1,84701,-0.122821125719285,0.168383225922406,0.466232001254028
68,1,84858,0.0898246881021258,0.157736212855999,0.569405228267042
69,1,85751,0.0535683698955378,0.158431630976254,0.735476292172665
70,1,87445,0.0219010890622009,0.158787972827498,0.890377049657034
71,1,87467,0.00161871939528246,0.15962351288751,0.991914633151781
72,1,89070,0.0163046443972749,0.158622128525864,0.918188630524526
73,1,89616,0.04191428298649,0.157755409343868,0.790631854685507
74,1,89679,0.0049986146100628,0.15779093695872,0.974746170294706
75,1,89880,-0.000909411998590237,0.157831134486991,0.995405925013274
76,1,91472,0.0467079821915202,0.158983252438668,0.769089631543922
77,1,93789,0.0622831433136818,0.15732959773631,0.692435049503118
78,1,94351,0.00137178421422116,0.157778656630318,0.993067904330134
79,1,99148,0.0591453640125617,0.157333027966314,0.707198727070972
80,1,101281,2.14318104883241,1.71726877544181,0.212851926844663
81,1,106011,-0.0455843239749828,0.163985402897092,0.78119203674435
82,1,106800,-0.0691026371435853,0.157533855464905,0.661181611883603
83,1,107970,-0.0137841052291699,0.157108227723042,0.930135963340185
84,1,109000,0.0163987475628037,0.157384401272193,0.917073373069162
85,1,112549,-0.0823922018116333,0.157147483639064,0.600399943602828
86,1,112742,-0.0735564475478764,0.157772577212653,0.641346881058309
87,1,113050,-0.0631262798186369,0.157519814848483,0.688845639168329
88,1,113135,-0.0430871114230966,0.157137607351722,0.78409141440106
89,1,114076,-0.0354031464699008,0.157143043719365,0.821882115664578
90,1,114628,0.0295150876387854,0.157544081713619,0.851497818107047
