SNP,Chr,Pos,Effect,SE,MID2_RSN1_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.197967207606597,0.186269905703458,0.288600268166906
2,1,1035,0.181712482465085,0.188360582992325,0.335352773397461
3,1,1074,0.275997372706115,0.318396764491565,0.386621396040015
4,1,1470,-0.00272678876584376,0.31758761174963,0.99315434387592
5,1,1475,0.045046653521859,0.234400996887201,0.847713487528271
6,1,1491,0.0604699461756997,0.205026413437234,0.768215125166814
7,1,21249,-1.46448763799019,1.17460978198203,0.213302431489529
8,1,27243,-0.0933020949623138,0.160516671708207,0.561435453561934
9,1,27272,-0.0627611848417136,0.158146445677995,0.691714313921162
10,1,27498,-0.7275356596981,1.44396252659523,0.614683448008006
11,1,27561,1.47284132813965,1.08844396373821,0.176869720512687
12,1,27816,0.0131573721413662,0.161407870848805,0.935077562405271
13,1,27822,0.00797098035701405,0.161203686460585,0.960591326853113
14,1,27823,-0.014047139166895,0.164523006106822,0.932006900148595
15,1,27825,0.0167513914938963,0.161201779121601,0.917295281963669
16,1,27843,-0.0396641813432014,0.154424655322582,0.797443166339607
17,1,27848,-0.0396641813432014,0.154424655322582,0.797443166339607
18,1,28495,-0.0328157322207104,0.154431708973556,0.831844708754969
19,1,28975,-0.0231159037783981,0.153404298315568,0.880309363822422
20,1,29283,-0.347468265899929,0.343300011482345,0.312163540034704
21,1,29752,-0.100587370980397,0.358393364432187,0.779134134079707
22,1,29787,2.24264004259449,0.962508013956917,0.0203695382510382
23,1,30057,-0.0869124181146548,0.314436211350233,0.782397124449684
24,1,30479,1.44485159732024,0.918220200213174,0.116490804548001
25,1,30706,-0.0984094422631976,0.158346935024518,0.534685024592571
26,1,31435,-0.0838058014782178,0.152937744694732,0.584056567648321
27,1,35128,0.329877635764849,0.210151518461081,0.11737772476289
28,1,35129,0.0822147229640775,0.211378437144092,0.697550858362246
29,1,36146,-0.16780396046201,0.151951578690794,0.270204264726623
30,1,37255,-0.237558720458019,0.306973219781489,0.439523019378036
31,1,37409,-0.112028281745507,0.152920626455253,0.464294044135212
32,1,37478,-0.120806139048975,0.153033367420154,0.430402054317523
33,1,39144,-0.0360146076749099,0.1524573903053,0.813393251894305
34,1,41499,-0.0799102460542649,0.151987025074987,0.599378017727276
35,1,45359,-0.28526028211123,0.255523945403985,0.265021411497739
36,1,45634,-0.104263843827794,0.235054850646992,0.657623514695211
37,1,51248,-0.171120979852028,0.152421830635704,0.262336320544216
38,1,51462,-0.16995663970687,0.152632938760353,0.266251765520831
39,1,52124,-0.167094214067196,0.152434486143625,0.273751352637173
40,1,52667,-0.245117585853309,0.151889728079721,0.107467273894157
41,1,55470,-0.164054930026895,0.156354138974963,0.294779863093033
42,1,59265,-0.00583735052219639,0.152371768482199,0.969462236314756
43,1,60165,-0.038597536981364,0.152243082780121,0.800009581350408
44,1,62308,-0.109593526474593,0.151977594283314,0.471315247634442
45,1,62869,-0.0830436155526059,0.152006143927775,0.585192833504053
46,1,65431,-0.100748512627883,0.158731821413924,0.526029381047456
47,1,65451,-0.0891644130656532,0.156498461267184,0.56921220462073
48,1,65719,-0.0522887912764316,0.163250191282883,0.748931569856786
49,1,66841,-0.0457909009370242,0.15212253821371,0.763581606841957
50,1,66948,-0.0795451801374474,0.153017214637374,0.603497685187319
51,1,68621,-0.263521537891511,0.152015406782949,0.0838767027263952
52,1,69417,-0.170050828214376,0.15198769000685,0.263966587806591
53,1,69820,-0.824503205749654,0.594167673303891,0.166115662784366
54,1,69821,-0.488378896867637,0.368747117930746,0.186217872976016
55,1,70906,-0.10419026804579,0.24452012042257,0.670293949441917
56,1,74327,-0.0728302455646417,0.153044956967822,0.634457909433031
57,1,74572,-0.0574200517793829,0.152655865724575,0.707038414613867
58,1,75211,-0.0103999100811251,0.152407115731389,0.945635056685357
59,1,76030,0.0467658442238756,0.152387793900739,0.759110276747783
60,1,80108,-0.0836970039804617,0.152306952016706,0.58299031959296
61,1,81262,-0.123613782124193,0.152172316948655,0.417151112287835
62,1,81999,-0.177571251077899,0.152393664429166,0.244719097378717
63,1,82431,-0.218864148476921,0.15296631695496,0.153372275154083
64,1,83284,-0.107105725162027,0.152186164967246,0.482033157164501
65,1,83613,-0.0765059910675002,0.15222166061645,0.615561769695805
66,1,84112,-0.0994410906421694,0.152200898573344,0.513953308786184
67,1,84701,-0.065312966135646,0.163042191935248,0.688964821673808
68,1,84858,-0.00034483016244552,0.152722712875389,0.998199746207136
69,1,85751,-0.0997125048044727,0.153258581418454,0.515717556721033
