SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0559460391527972,0.0673771089529997,0.406906698537398
2,1,1035,0.0591100833525351,0.068108070343029,0.386046016322827
3,1,1074,0.161439493482986,0.114899735119593,0.16088678469834
4,1,1470,-0.199719222647907,0.114312470180565,0.0814837006661241
5,1,1475,0.0967184930363674,0.0845822006575784,0.253612070517621
6,1,1491,-0.0674238394220787,0.0740377869720105,0.363091774592889
7,1,21249,0.456451719155767,0.424852828917519,0.283387983954584
8,1,27243,-0.057826728083711,0.0579717398065007,0.319205832188373
9,1,27272,-0.076114951068299,0.0570378652683359,0.182912132511524
10,1,27498,-0.455941846470292,0.521605525705686,0.382651341792853
11,1,27561,0.0535853420857162,0.394473508827023,0.892025077482452
12,1,27816,0.0274173188735272,0.0583300831173505,0.638618566505802
13,1,27822,0.0287232759995649,0.0582541186821393,0.622270704967796
14,1,27823,0.0275583283074866,0.0594564080663511,0.643288256618494
15,1,27825,0.0331380950384711,0.0582474777985709,0.56977291391627
16,1,27843,0.0586728126526167,0.0557412106366216,0.293247509188879
17,1,27848,0.0586728126526167,0.0557412106366216,0.293247509188879
18,1,28495,0.0781533648256985,0.0556743446346515,0.161269718810585
19,1,28975,0.0476726871862001,0.0553982565386963,0.390072836191885
20,1,29283,0.00647671954860396,0.124279951627578,0.958467372899843
21,1,29752,-0.296385252935783,0.128607208228954,0.0217700933305655
22,1,29787,0.128413192487043,0.350538422992036,0.714337344533505
23,1,30057,0.200602179412899,0.113176215486311,0.0771779157713589
24,1,30479,-0.270773561256022,0.332780155553385,0.416381949214748
25,1,30706,0.0431936874978908,0.0572264256545269,0.450880834687045
26,1,31435,0.0665961126325275,0.0551957094470442,0.228415341106035
27,1,35128,-0.0440498828111906,0.0761968760600992,0.563561056421937
28,1,35129,-0.0695313275684866,0.076338505220994,0.363006992966099
29,1,36146,0.0307955289781053,0.0549997875080325,0.575888540172382
30,1,37255,-0.0180461000944092,0.111058550502409,0.871011585797445
31,1,37409,0.0327568022054964,0.0552942341995712,0.553956009444503
32,1,37478,0.0162538247781072,0.0553625118531122,0.769244510880635
33,1,39144,0.00316836752941171,0.0551163485099057,0.954191318679964
34,1,41499,0.0670211732984217,0.0548478472000991,0.222542940090646
35,1,45359,-0.0830530441225115,0.0924273377956358,0.369490721049044
36,1,45634,-0.0551548148616643,0.0849436049432901,0.516559639706452
37,1,51248,0.0843466964349118,0.0550148113673717,0.126131307196094
38,1,51462,0.0781174400423028,0.0551159227531659,0.157268533722009
39,1,52124,0.040843238539031,0.0551548527730754,0.459477154760864
40,1,52667,0.0250929466175494,0.0550930287278809,0.649054764264827
41,1,55470,0.0030290055754949,0.0566087371424265,0.957357632289678
42,1,59265,0.012639316967623,0.0550773051118617,0.818626273741077
43,1,60165,0.0119806451127173,0.0550360961203321,0.827798733867561
44,1,62308,0.0434658357848587,0.0549305632683781,0.429307927794977
45,1,62869,0.0454056582842198,0.0549192058532017,0.408924833953644
46,1,65431,0.102614602481977,0.0571527767900991,0.0734382015164771
47,1,65451,0.120989604331593,0.0562315428837846,0.0321042054442772
48,1,65719,0.105970518458336,0.0587522333333577,0.0721331564168538
49,1,66841,0.0909159013556937,0.0547849718151181,0.0979022909869549
50,1,66948,0.0877586515813515,0.0551383020935684,0.112367521510005
51,1,68621,0.0545827501068095,0.0551093652159306,0.322635469993275
52,1,69417,0.0540224393142738,0.0549646341159646,0.326350400275663
53,1,69820,-0.321183166498377,0.214692863046942,0.135543936231746
