SNP,Chr,Pos,Effect,SE,PLM2_HNM1_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0775357945686792,0.0733470670936676,0.291185039543972
2,1,1035,0.0726666223643646,0.0741659732821426,0.327863835305201
3,1,1074,0.155187644267547,0.125233488454983,0.216099720161829
4,1,1470,-0.00502904443006802,0.125053331505801,0.967944296370828
5,1,1475,-0.0880186724959291,0.0921838287299021,0.340323719279973
6,1,1491,-0.0391589590476558,0.0807144401355509,0.627867828168064
7,1,21249,-0.103331604623326,0.463500106153669,0.823713010733135
8,1,27243,0.0775926107780536,0.0631004383903513,0.219640270209979
9,1,27272,-0.012819385144933,0.0622820500194198,0.837043977781259
10,1,27498,-0.027246780728043,0.568778641319363,0.961819830008004
11,1,27561,-0.428157097868378,0.429092164449487,0.319049739829359
12,1,27816,-0.0194512024814794,0.0635482849122791,0.759720060075779
13,1,27822,-0.0233754355150964,0.0634637451588184,0.712849912062232
14,1,27823,-0.00736214176626182,0.0647822217280732,0.909584232513176
15,1,27825,-0.0221488235193688,0.0634649914382575,0.727302807319119
16,1,27843,0.00549001062270072,0.0608113813124218,0.928116449978243
17,1,27848,0.00549001062270072,0.0608113813124218,0.928116449978243
18,1,28495,-0.0126144268227444,0.0608093616488323,0.835784158532678
19,1,28975,0.0101689936077992,0.0604041426501939,0.866404925807432
20,1,29283,0.0662588160909063,0.135328207295264,0.62470997599746
21,1,29752,-0.370040224841801,0.139756099222852,0.0084662167487532
22,1,29787,-0.507904661881105,0.380943349229583,0.183299251318699
23,1,30057,0.122015393903359,0.12365568794597,0.324448415053703
24,1,30479,0.227409721861275,0.362623135210154,0.530983262541818
25,1,30706,-0.000897307263834121,0.0623849253473064,0.988532229452934
26,1,31435,0.0109692088809839,0.060243692819303,0.855623972798005
27,1,35128,-0.0857715194477819,0.0829121814046311,0.301617026978759
28,1,35129,-0.0497001985764087,0.08320837319849,0.550691341274421
29,1,36146,-0.0489461790266782,0.0598792216563167,0.414242615593949
30,1,37255,-0.0337208999004721,0.120963248345716,0.780584732012893
31,1,37409,-0.038506087449222,0.0602250681929115,0.522997099992093
32,1,37478,-0.0434011073359661,0.0602674777473917,0.471914481809384
33,1,39144,-0.0345024039006206,0.0600084223198522,0.565685048308547
34,1,41499,-0.0524558061149415,0.0598048519296861,0.381020044316584
35,1,45359,-0.0790049161957658,0.100705060690065,0.433262464494905
36,1,45634,0.0633921018784238,0.0925197143146597,0.493683802774374
37,1,51248,-0.0728796289274474,0.0599995623758917,0.225304121200027
38,1,51462,-0.0750324847221478,0.0600737544778487,0.212490467149181
