SNP,Chr,Pos,Effect,SE,HUG1_PGM2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0543802865618284,0.221745598475961,0.806415221788303
2,1,1035,-0.0332679230251663,0.224183579956103,0.882115071630342
3,1,1074,-0.248991888927949,0.378634432634227,0.51122056201603
4,1,1470,-0.0586333861917874,0.377489034221976,0.876654090012091
5,1,1475,0.266004432747645,0.278276409877492,0.339776899934473
6,1,1491,0.143610639058817,0.243615680019455,0.555905220120821
7,1,21249,-1.80335410779324,1.39597998139237,0.197264803473454
8,1,27243,-0.11623341036313,0.190789852374634,0.542769064533664
9,1,27272,-0.0447747499209824,0.188008286553302,0.811900557017381
10,1,27498,0.329079135401245,1.71690004843318,0.848110497782636
11,1,27561,1.42359510450143,1.29491990180588,0.272356242222202
12,1,27816,0.0554952577328413,0.191837234820544,0.7725346151961
13,1,27822,0.0452792086115966,0.191600970003971,0.813321158615324
14,1,27823,0.0512114437360353,0.195544009122235,0.793557331189407
15,1,27825,0.0597943350018429,0.191589694795636,0.755151999273179
16,1,27843,0.0245925878667004,0.183570022670523,0.893503882829792
17,1,27848,0.0245925878667004,0.183570022670523,0.893503882829792
18,1,28495,0.010135680711348,0.183576868987552,0.956000653951037
19,1,28975,0.0230129501474486,0.182346436302091,0.899641859154719
20,1,29283,-0.533746015826492,0.407668112798702,0.191295819426163
21,1,29752,0.001228971117059,0.426053352935321,0.997700096718875
22,1,29787,2.47765393361006,1.14528628180249,0.0311849453005792
23,1,30057,-0.239753869573853,0.37357853263421,0.521434916008025
24,1,30479,1.5399189969867,1.09219655018384,0.159441267485321
25,1,30706,-0.0731545402427229,0.188282459830479,0.697853544238199
26,1,31435,-0.0332507828834052,0.181858805817201,0.85502973842124
27,1,35128,0.376076106890342,0.249867349070076,0.133191810738383
28,1,35129,0.156832048177117,0.251171062095581,0.532766076672586
29,1,36146,-0.150912922583096,0.18075124920048,0.404327171658912
30,1,37255,-0.21810019998685,0.365009901558802,0.550544298920556
31,1,37409,-0.0694933288710166,0.181870285315089,0.702614295727615
32,1,37478,-0.0796003570552426,0.182014966745283,0.662140459030928
33,1,39144,-0.0741085927124413,0.181190534076223,0.682780955718232
34,1,41499,-0.160498904320391,0.180528761760041,0.374582211148252
35,1,45359,-0.318924493063038,0.303791477087069,0.294521901055334
36,1,45634,-0.541812090847704,0.277985035280377,0.0520789149214709
37,1,51248,-0.215658947969921,0.18113671590653,0.234615922265018
38,1,51462,-0.242037487585469,0.181289018445817,0.182706636558043
39,1,52124,-0.150626758214715,0.181322887764239,0.406698901910492
40,1,52667,-0.219965240903351,0.180830559904596,0.224639103194512
41,1,55470,-0.224837752915037,0.185755543242328,0.226936837073735
42,1,59265,-0.0262842861176333,0.181112338050398,0.88469344686926
43,1,60165,-0.0115554970283123,0.180979831156837,0.949126092241382
44,1,62308,-0.0763196216158042,0.180736194392245,0.67308442592093
45,1,62869,-0.0618486155811382,0.180729153937239,0.732391140654312
46,1,65431,-0.0166026496001526,0.188782832625444,0.929969655757773
47,1,65451,-0.00191575720562934,0.186108059308609,0.991792704245891
48,1,65719,0.0306843809066575,0.194069373014432,0.874460234477281
49,1,66841,0.0249568256492975,0.180839442837531,0.890314810573369
50,1,66948,-0.0150367473182726,0.181952424141028,0.934183765285827
51,1,68621,-0.150806847606164,0.18128365671376,0.406037203683337
52,1,69417,-0.128781424655202,0.180851031320696,0.476882092683718
53,1,69820,-0.879308405612631,0.706635550065136,0.214192989095117
54,1,69821,-0.517752150337028,0.438535554186397,0.23854109468964
55,1,70906,-0.284602157751249,0.290329742232464,0.327623150211532
56,1,74327,-0.0875481205410664,0.181916226872176,0.630633346540246
57,1,74572,-0.0333477517757506,0.181482738440363,0.854313795434027
58,1,75211,0.0245533454058204,0.181155861336951,0.892264464670196
59,1,76030,-0.0126654430641259,0.181159320780296,0.944302268067046
60,1,80108,-0.00101294995844553,0.181117733003504,0.995540797089947
61,1,81262,0.0255292564313156,0.181044170871025,0.887941524862935
62,1,81999,-0.0180039549088825,0.181488887948028,0.921034659355218
63,1,82431,-0.0921202664490648,0.182284620956146,0.613617885537252
64,1,83284,0.0408039950279173,0.181010585035796,0.821780470884775
65,1,83613,0.045805602329852,0.180987245787661,0.80034795127527
66,1,84112,0.0390368475752061,0.181011689083555,0.829377910837696
67,1,84701,0.0486934330329122,0.193827528969099,0.80178987357701
68,1,84858,0.166886790857193,0.181317077031847,0.357984970183467
69,1,85751,0.0657104842253463,0.182247116144258,0.718646248852267
70,1,87445,0.0537786028068728,0.182643572669109,0.768590472166844
71,1,87467,-0.0232658152743805,0.183618089626385,0.899243937820455
72,1,89070,0.0424183343818068,0.182459063285775,0.816298877282222
73,1,89616,0.114513354454136,0.181389047400171,0.528244132586777
74,1,89679,0.0546723136923944,0.181491074026438,0.763409097331935
75,1,89880,0.0710255293736614,0.181521032412938,0.695826432225515
76,1,91472,0.145563250824857,0.182743917689234,0.426252307471355
77,1,93789,0.130746519121136,0.18088980550492,0.470283518322384
78,1,94351,0.0980584372858383,0.181424980411065,0.589199819074796
79,1,99148,0.132314484792687,0.180886575686603,0.464972752034537
80,1,101281,1.3501044928745,1.97850177555267,0.495441612259387
81,1,106011,0.135530299324492,0.188522608153021,0.472673579927365
82,1,106800,0.0502105089077174,0.181248092068232,0.781921972124341
83,1,107970,0.153604713625436,0.180545751420164,0.395468298420725
84,1,109000,0.100050089649805,0.180970939946912,0.580714891316413
85,1,112549,-0.0753574560900389,0.180799837982118,0.677077700539338
86,1,112742,-0.0479096103299761,0.181530981919915,0.791995765403683
87,1,113050,-0.0545794499615178,0.181220191657019,0.763456448842675
88,1,113135,-0.0230828134862061,0.180777662037942,0.898470015141518
89,1,114076,0.103511071116154,0.180697868489765,0.567117333079325
90,1,114628,0.17369090187392,0.181003254607837,0.337912867419947
91,1,116283,0.146111656614481,0.182081219073974,0.422830760240267
92,1,126880,-2.68620071033844,3.41648893758789,0.432250861994257
93,1,127853,0.271905649535832,0.181331300263841,0.134638662139835
94,1,128302,0.280911749095438,0.180591288498756,0.120720462095299
95,1,128704,0.237369084076458,0.180949023917163,0.190439809025086
96,1,128911,0.335705818972919,0.180527528894202,0.063776367424912
97,1,130267,0.238065545800651,0.18088035492857,0.188977947665045
98,1,130271,0.231668445582649,0.181119590428704,0.201705171258776
99,1,130613,0.328449674465975,0.182399474587243,0.0726010791756439
100,1,132012,-0.0717873977454945,0.182806439132465,0.694780882856769
101,1,133231,-0.123593249264855,0.181429674999483,0.496179884450611
102,1,137074,-0.0806559075962602,0.181239857005634,0.656575877890312
103,1,137304,-0.151601616741398,0.18117411074074,0.403286243316
104,1,139686,-0.0576476289322767,0.18156610804457,0.75105032967262
105,1,149562,-0.146163360870241,0.181839969079536,0.422052182272378
106,1,150447,-0.0989463613192075,0.18394979387924,0.590985920078644
107,1,151446,0.0382402046066179,0.369693611364779,0.917674443546785
108,1,154084,-0.102827457163466,0.184512556601202,0.57768081429511
109,1,156633,-0.084835033580308,0.187069975172472,0.650472012051178
110,1,157269,-0.169614161441894,0.181018502479445,0.349399661526103
111,1,160054,-0.192518867151016,0.182678280426189,0.292663973565957
112,1,166222,-0.183350193374092,0.181349796616549,0.312694278857961
113,1,166416,-0.18298625638283,0.180981604815355,0.312672318428685
114,1,167326,-0.219554024008816,0.181898422763608,0.228234769546337
115,1,168836,-0.118815679221987,0.18129935364677,0.512665213844056
116,1,171200,-0.299012633770666,0.180982893677864,0.0993911760366704
117,1,171431,-0.383140900241339,0.181674609551432,0.0356536534596026
118,1,173339,-0.351261411401568,0.180427806304613,0.0523485448969548
119,1,173845,-0.350967951997445,0.180278254704347,0.0523500869155224
120,1,175121,-0.464428013291937,0.179187149862504,0.00994225902752991
121,1,175281,-0.419570925390884,0.179655260257767,0.0200809954165965
122,1,175315,-0.426354494055176,0.179552569674968,0.018104916742277
123,1,175523,-0.404894919546456,0.180725968976319,0.0256878515957139
124,1,175541,-0.424152290722609,0.179852190168073,0.0189015774276744
125,1,175653,-0.458117163942587,0.180194856774747,0.0114378100554325
126,1,175805,-0.346259056216371,0.191235807052396,0.0710467771512693
127,1,175818,-0.437000287021624,0.186261393501332,0.0195202107120073
128,1,175856,-0.468984954649998,0.183145766841626,0.0108608579278841
129,1,175876,-0.433491413235891,0.180537969059021,0.0168621170966605
130,1,175989,-0.419659522048971,0.181153766630669,0.0210978897591917
131,1,176001,-0.410366785554637,0.182171995477451,0.024895937412912
132,1,176451,-0.389115684847379,0.184523537131613,0.0356694066696518
133,1,177692,-0.3922607502731,0.179772604878985,0.029769708031842
134,1,178191,-0.411622452347142,0.1798309585195,0.0226728378313727
135,1,178224,-0.3922607502731,0.179772604878985,0.029769708031842
136,1,178960,-0.396060134651124,0.181204297715273,0.0294933544774371
137,1,179139,-0.428257356861591,0.360844469047191,0.236096801896979
138,1,179139,-0.602031268373787,0.72749375600551,0.408489296886096
139,1,180955,-0.0740022855076755,0.209463251001132,0.724078301722626
140,1,183802,-0.245452296267122,0.180531592827298,0.174821646125477
141,1,183954,-0.222330180622345,0.181936998485557,0.22251641972796
142,1,184450,-0.136827437806715,0.180578297723296,0.449125299859694
143,1,184641,-0.152594784088812,0.185806905426627,0.412055525251149
144,1,184718,-0.204088946684634,0.181427024351329,0.261391767616113
145,1,185296,-0.143386736033936,0.180819895534436,0.428321554854268
146,1,185438,-0.140582305386297,0.180834685980002,0.437438855772104
147,1,185469,-0.148723850643626,0.181077689811478,0.412014832008621
148,1,185503,-0.150716796120685,0.180603772050869,0.404554482395114
149,1,185705,-0.165663392902761,0.182589549771547,0.364867418952285
150,1,185749,-0.146772174179961,0.182635330782902,0.42214852337499
151,1,185806,-0.193216247165354,0.182757304746975,0.291130236074888
152,1,185879,-0.18460700555936,0.183668286411616,0.315531902785477
153,1,185916,-0.0735079878848682,0.183805629431173,0.689455561044675
154,1,185941,-0.0749645800069516,0.184605015858977,0.684929172908172
155,1,185954,-0.0927629010342717,0.185121554327837,0.616618804650161
156,1,186055,-0.112277130296063,0.181393007623358,0.536334266508539
157,1,186896,-0.135813981397657,0.184325221418761,0.461722969676958
158,1,187697,-0.416290578839219,0.375550324341951,0.268408591868928
159,1,189392,-0.428928047676393,0.377486056906859,0.256612209552621
160,1,189416,-0.379932747797887,0.365256807689089,0.298968292613132
161,1,190132,0.134059741890863,0.181581501220311,0.460829000834255
162,1,190148,0.166583071580831,0.181560083998892,0.359502238083925
163,1,190165,0.129502834062037,0.183043526206696,0.47972419953293
164,1,190169,0.153584389717746,0.182762117215338,0.401280247275007
165,1,190933,-0.115926384907337,0.181356335716917,0.523095152875551
166,1,192149,0.0938592540193251,0.182876617494451,0.608105806769117
167,1,192302,0.329074476603346,0.240920496583682,0.172838422673861
168,1,192303,0.25104348200967,0.217688049484239,0.249597968616406
169,1,192305,0.309063398445911,0.226044353964282,0.172411032500622
170,1,192315,0.0673202561852424,0.25708044160207,0.793578598235038
171,1,192795,0.109095425197219,0.181024639025654,0.547125094560613
172,1,194020,-0.0835233668497198,0.190719791466005,0.661699370331665
173,1,194187,-0.0412087764685269,0.181254523061766,0.820280807624479
174,1,194867,-0.173015878950418,0.180934957908007,0.33960920693789
175,1,197325,-0.259758793244722,0.185074259841708,0.161335465365616
176,1,197392,-0.314772460114713,0.18722741456349,0.0936026165275274
177,1,198857,-0.953960566507278,0.867220921916283,0.272072894894002
178,1,206666,-0.20967371278028,0.203447044645596,0.30343130008457
179,1,206675,-0.112198752050651,0.265201198545851,0.672501588169561
180,1,223051,-0.326202530801496,0.209231024681681,0.119879576881616
181,1,223059,-0.287391860970593,0.217473277850333,0.187189128782751
