SNP,Chr,Pos,Effect,SE,ADE17_GIS2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.221677249129045,0.127136073087825,0.0820955999869646
2,1,1035,0.0993019919642962,0.128970962400803,0.441840817381234
3,1,1074,0.0300251684023234,0.21812893232118,0.890596528636246
4,1,1470,0.0360261950889331,0.217340793295644,0.86844149596652
5,1,1475,-0.0073594064332001,0.160426248488143,0.963436554451198
6,1,1491,0.136266986685733,0.140144826370843,0.33155230515545
7,1,21249,0.781884763852271,0.804566823563196,0.331811317213327
8,1,27243,0.144707961622993,0.10963605697671,0.187725740239373
9,1,27272,-0.0149448238691039,0.108252796038766,0.890275781638148
10,1,27498,1.52668950387104,0.985222843598833,0.122136475100876
11,1,27561,0.126368868493646,0.746803710520463,0.865726056424537
12,1,27816,0.0463365275955237,0.110437122311355,0.675052031213048
13,1,27822,0.0180022124590041,0.110320099235797,0.870468816956441
14,1,27823,0.0094644314002495,0.11259557536958,0.933058865938889
15,1,27825,0.0225193521912657,0.11031774908888,0.838368200424269
16,1,27843,0.0172973082730939,0.105690339805166,0.870092265268352
17,1,27848,0.0172973082730939,0.105690339805166,0.870092265268352
18,1,28495,0.0877203046059433,0.10559289197094,0.406681691935627
19,1,28975,0.0794683075700011,0.104904309071489,0.449236936738978
20,1,29283,-0.469439703076081,0.233956423164773,0.0455624138126174
21,1,29752,-0.398534622902631,0.244384220069439,0.103830566384983
22,1,29787,-1.35571097404751,0.659829279992956,0.0406495677327108
23,1,30057,0.268574291552619,0.214740514850107,0.211875141797544
24,1,30479,-0.311781688410286,0.630389205175262,0.621200034799497
25,1,30706,0.068685602958595,0.108366410406473,0.526603929799494
26,1,31435,0.0286473685156471,0.104700274216656,0.784541972291528
27,1,35128,-0.0556285393222069,0.144293288834757,0.700081373559691
28,1,35129,-0.0361510876253823,0.14468045598227,0.802834393700689
29,1,36146,-0.0746976026686693,0.104095544201766,0.473486605158365
30,1,37255,0.0250519857714302,0.210258903768302,0.905225660982633
31,1,37409,-0.00081959144774571,0.10473467128216,0.993760712658758
32,1,37478,0.00828563445917035,0.104823786842114,0.93704284599968
33,1,39144,0.0282746336097828,0.10433552001512,0.786551580614808
34,1,41499,0.080918349658064,0.103967771923127,0.436912220283644
35,1,45359,0.120136599754875,0.175066063271571,0.49301490980848
36,1,45634,-0.336023826947225,0.159913635420567,0.0363246122612117
37,1,51248,0.167777574532368,0.104117608030381,0.1079811385751
38,1,51462,0.14271205331881,0.104365507590314,0.172361999849408
39,1,52124,0.0421380151967659,0.104475783506691,0.686951087348643
40,1,52667,0.0655934619168938,0.104273950789784,0.52972359825075
41,1,55470,0.0111848563460831,0.10717004512557,0.916938564306045
42,1,59265,-0.0527092380544551,0.10424200123809,0.613422875151943
43,1,60165,-0.0249048095671503,0.104192512813077,0.811223464317262
44,1,62308,-0.0963157455223642,0.103960029655394,0.354835267389458
45,1,62869,-0.105220769919177,0.103922482733806,0.311995950164656
46,1,65431,-0.172110185386112,0.108307462332504,0.112935528708561
47,1,65451,-0.0981036271704498,0.107025672929433,0.359958999992323
48,1,65719,-0.0938884788909949,0.111628894076782,0.400874254690342
49,1,66841,-0.0796466891384047,0.104035990870214,0.444444590185248
50,1,66948,-0.0610898568483328,0.104710862512174,0.559986716871898
51,1,68621,-0.0461778078186868,0.104448618683017,0.658680143480596
52,1,69417,0.0665051462702555,0.10414080491231,0.523492111562001
53,1,69820,-0.686723378304118,0.406099935904335,0.0917155060878576
54,1,69821,0.0843551467321086,0.252947939952629,0.738963814564381
55,1,70906,-0.347464878956448,0.166361873869805,0.0374589535640869
56,1,74327,-0.12460558930856,0.104563720231211,0.234190697434502
57,1,74572,-0.0993961526479052,0.104360887969682,0.341532036382983
58,1,75211,-0.138124448970462,0.104045004653489,0.185186265821548
59,1,76030,-0.0386629250241812,0.104284105816816,0.711049034030045
60,1,80108,-0.0927759522658108,0.104162765672751,0.373706174248563
61,1,81262,-0.0482039233085098,0.104208744042534,0.643957034071925
62,1,81999,-0.0466124492118051,0.104465436601052,0.655726553552568
63,1,82431,-0.042382559765656,0.10496530648124,0.686621318591363
64,1,83284,0.0126029054072159,0.104223391859222,0.90382158230215
65,1,83613,0.0271586835476209,0.104204039905605,0.794529936468906
66,1,84112,0.0100475142076512,0.104224178473607,0.923255286788239
67,1,84701,-0.0518785332874898,0.111573303795075,0.642237737275252
68,1,84858,0.0258848242461013,0.104510626537528,0.804528730665225
69,1,85751,0.00160056376642558,0.104949275676105,0.987840684124647
70,1,87445,0.0503224135790913,0.105137054968372,0.632493692454541
71,1,87467,0.0748481588053448,0.105646657620455,0.479117067731558
72,1,89070,0.0498112059548763,0.105026605796509,0.635599003331178
73,1,89616,0.0445182445888,0.104468024224646,0.670263882481142
74,1,89679,0.0261466050774769,0.104498858401711,0.802570908197911
75,1,89880,0.0526760417514548,0.104496999940297,0.614511601532205
76,1,91472,0.0411568529159237,0.105287756731022,0.696107888771993
77,1,93789,0.0243302387336104,0.104217505348486,0.815542378592729
78,1,94351,0.0446553573858747,0.104472821304917,0.669323014877511
79,1,99148,0.0716491778098443,0.104155761116344,0.491964921801139
80,1,101281,0.193734176955537,1.13984001519681,0.865134152239733
81,1,106011,0.0346461108008123,0.108606923128634,0.749911685634051
82,1,106800,-0.00416270904051487,0.104365903461751,0.968206785341633
83,1,107970,-0.0169238732392225,0.104053040164963,0.870889759100287
84,1,109000,0.04976298747006,0.104206667987883,0.633272266017114
85,1,112549,0.216959033943479,0.10348000619232,0.0367378192699408
86,1,112742,0.195397309994577,0.104009327402297,0.0611159432926751
87,1,113050,0.117659630045253,0.104164057489498,0.259428337482043
88,1,113135,0.170080823607646,0.103691947035669,0.101843722998044
89,1,114076,0.26951085419021,0.103093159055113,0.00932551548048278
90,1,114628,0.267067757050284,0.103376972675523,0.0101836465382901
91,1,116283,0.153532305664199,0.10461136823599,0.143091205561571
92,1,126880,-3.35546642010862,1.96067083393776,0.0878881167552354
93,1,127853,-0.00569611902811926,0.104734241569533,0.956658075669782
94,1,128302,-0.00169492658159259,0.104332339506262,0.987047748277353
95,1,128704,0.0125066063689338,0.104434112248691,0.904744603780685
96,1,128911,0.0276166743205208,0.104437448961859,0.791600855656242
97,1,130267,-0.102518333401568,0.104255589605678,0.326115301512598
98,1,130271,-0.106636517693272,0.104367977066165,0.307605574513467
99,1,130613,-0.115404978067085,0.105319980127285,0.273932672391785
100,1,132012,-0.0466379492454194,0.105245742778701,0.65794038119716
101,1,133231,-0.0225374219961443,0.104521099422316,0.829404153666689
102,1,137074,0.0496994713195621,0.104345798345085,0.634158282060699
103,1,137304,0.00926423135306978,0.104414438562719,0.929350319571186
104,1,139686,-0.0355209226718608,0.104535726293755,0.734211519619368
105,1,149562,-0.022046428351022,0.104784771536046,0.83347902513465
106,1,150447,0.00844530417403611,0.105952760593175,0.936514502295903
107,1,151446,0.0951957292797774,0.212796471655812,0.654892582191768
108,1,154084,0.0122314495681821,0.106279062014399,0.908440771150427
109,1,156633,0.0267424448054411,0.107728751261112,0.804094072718756
110,1,157269,0.00110222486974226,0.104352120066559,0.991578425040322
111,1,160054,0.018705601905097,0.105338861762372,0.859158211753161
112,1,166222,0.0278601102241004,0.104553903701601,0.7900355564788
113,1,166416,0.0314850444306346,0.104338680104017,0.763014149688774
114,1,167326,0.00667880873804005,0.104944519928503,0.949291844330935
115,1,168836,-0.00393415279095344,0.104447582396361,0.969975046394058
