SNP,Chr,Pos,Effect,SE,ADE17_PGM2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.310038843291723,0.151625696968723,0.0416193502677331
2,1,1035,0.103149905747006,0.154091803952277,0.503674411057934
3,1,1074,0.277798645292141,0.260149691407012,0.286321715739753
4,1,1470,-0.221261430606408,0.259363958572065,0.394186517300919
5,1,1475,0.0694775830047161,0.191599579002096,0.717106778865513
6,1,1491,-0.0271399371846424,0.167625638109456,0.871470909884464
7,1,21249,0.610905664363032,0.961818162165923,0.525737425217324
8,1,27243,0.0863430529764292,0.131206364816761,0.510921682280046
9,1,27272,-0.00560135863601674,0.129314847649737,0.965474394752328
10,1,27498,0.0924505159316311,1.18086842185034,0.937641510426173
11,1,27561,0.40735802786323,0.891855476980117,0.648129224960167
12,1,27816,0.00830037951379153,0.131953104619293,0.949878543892398
13,1,27822,-0.013154081287391,0.131784276049427,0.920547657394461
14,1,27823,-0.00749901725004415,0.134500054067008,0.955568724150261
15,1,27825,-0.0112758855522939,0.13178476921712,0.931862408739787
16,1,27843,0.0969801273166711,0.126149989576376,0.442544830753297
17,1,27848,0.0969801273166711,0.126149989576376,0.442544830753297
18,1,28495,0.134319851971056,0.126055025987032,0.287348501891829
19,1,28975,0.0551575989470452,0.125379266988749,0.660259930534303
20,1,29283,0.0793503436157432,0.281026512858666,0.7778337879532
21,1,29752,-0.145985659711906,0.292919930564843,0.618526066244455
22,1,29787,0.251295714129604,0.792775009021914,0.751444353057255
23,1,30057,0.241723549483766,0.256760536861197,0.347125403529523
24,1,30479,-0.63159409749791,0.752532057262497,0.401873518072938
25,1,30706,0.0522418082226508,0.129491205843511,0.686869530471576
26,1,31435,0.0514552563931187,0.125051366353212,0.680975470399911
27,1,35128,-0.00896952537367879,0.17239893432818,0.95853602596792
28,1,35129,-0.0484186092673899,0.172821867201614,0.779515154461089
29,1,36146,-0.03756362129676,0.124420317519469,0.762899177806109
30,1,37255,0.376836295333697,0.250364458342237,0.133179506526311
31,1,37409,0.126720130042506,0.124927256174741,0.311109870851552
32,1,37478,0.05672936267666,0.125180329504719,0.650696754126233
