SNP,Chr,Pos,Effect,SE,MID2_WSC2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.107897497825224,0.108700801614409,0.321579976998542
2,1,1035,0.00393612699055773,0.110043032630598,0.971486785761884
3,1,1074,-0.210000487393263,0.185629116422242,0.258700737680544
4,1,1470,0.147599924657382,0.185129019153767,0.425823561067512
5,1,1475,0.201314636071302,0.136347395016539,0.140705722953613
6,1,1491,0.193711557879864,0.119191736231975,0.105010342363901
7,1,21249,0.22869759266099,0.686722230606762,0.739311002021971
8,1,27243,0.0294307178031825,0.0936847187698201,0.753595417769307
9,1,27272,-0.0279383116285506,0.0922787047260303,0.762251007493686
10,1,27498,0.928694411462697,0.841328020265856,0.270412949139943
11,1,27561,-0.696490069902963,0.63561441019356,0.273924488817736
12,1,27816,0.0115012039926677,0.0941718699930703,0.902865614174864
13,1,27822,0.0131706809846275,0.0940515556990337,0.888710764042207
14,1,27823,0.0131159766957148,0.0959889428957261,0.89139286081128
15,1,27825,0.0125210325069064,0.0940518070613841,0.894167139169783
16,1,27843,0.01129754936179,0.0901050480875566,0.900292528014883
17,1,27848,0.01129754936179,0.0901050480875566,0.900292528014883
18,1,28495,-0.0145500867926264,0.0901051855643363,0.871808604532161
19,1,28975,-0.0264740296519207,0.0894950976328528,0.76754498508527
20,1,29283,-0.138639967290365,0.200452091326545,0.48962031191148
21,1,29752,-0.362662530637907,0.208234213625623,0.0824480253140702
22,1,29787,-0.187060120729091,0.565786841578678,0.741128118126388
23,1,30057,0.155822083904168,0.183289244597656,0.395821780798304
24,1,30479,1.2071527818864,0.533755485747301,0.0243286644263737
25,1,30706,0.0234196053629876,0.0924292030898235,0.800122969779981
26,1,31435,-0.0138253420124429,0.0892660123405869,0.87700600936066
27,1,35128,0.00385257248674797,0.123039331151207,0.97503864347765
28,1,35129,-0.000528828630203204,0.123354581272726,0.996581852261699
29,1,36146,0.0317103226182706,0.088792697313696,0.721209685810593
30,1,37255,0.17624110164473,0.179008929864535,0.325525352879628
31,1,37409,0.0675567011434248,0.0892164840137264,0.449421894040737
32,1,37478,0.0747495879868133,0.0892770641991967,0.403003652483625
33,1,39144,-0.0329178696807492,0.0889406156985056,0.711522001312445
34,1,41499,0.102016655381302,0.0885447928660021,0.25004016906903
35,1,45359,0.0890951777720659,0.149272376714828,0.550981371535928
36,1,45634,0.0781276533471091,0.137117274212361,0.569184535196876
37,1,51248,0.0858371492355764,0.0889714951307254,0.335319809431475
38,1,51462,0.0871720780921645,0.0890887872008185,0.32850440563624
39,1,52124,0.067399963469714,0.0890164620637963,0.449457356338066
40,1,52667,0.105167990263449,0.0887696344765277,0.236921497396077
41,1,55470,-0.0826992544034792,0.0912604438249091,0.365453690168447
42,1,59265,-0.0510459636041975,0.088859543935319,0.566024659247939
43,1,60165,-0.0601587123960601,0.0887761657699312,0.49844079087986
44,1,62308,-0.0619660320602193,0.0886748787348633,0.485136973589328
45,1,62869,-0.0679923003439768,0.0886512138975521,0.443615486116528
46,1,65431,-0.0682612717902394,0.0925932181648225,0.461480261811808
47,1,65451,-0.0538259408765355,0.0913056309356483,0.555893680412275
48,1,65719,-0.067683443938445,0.0951935704701048,0.477548453625147
49,1,66841,-0.0550975429891326,0.0887184082088849,0.534975118949694
50,1,66948,-0.0375198092997528,0.0892893060598285,0.674591392518532
51,1,68621,-0.133238819897006,0.0887869281879515,0.13433790446549
52,1,69417,-0.0959359579492671,0.088687017688528,0.280108173884336
53,1,69820,-0.323101791326428,0.347184068433406,0.352678184333525
54,1,69821,-0.187727993520839,0.215446791094611,0.38415925873792
55,1,70906,-0.344430606487426,0.141518842342048,0.0154360859784873
56,1,74327,-0.132870943896921,0.0890418918437857,0.136532121115884
57,1,74572,-0.108701412000226,0.0888964160410901,0.222225768868965
58,1,75211,-0.150513105965418,0.0885605026822287,0.0900963211165887
59,1,76030,-0.0486900730762287,0.0888843231145429,0.584181305178615
60,1,80108,-0.0413322483197723,0.0888738464101091,0.642170589408478
61,1,81262,0.000223023796347505,0.0888674595488656,0.997999030496243
62,1,81999,-0.000335628055964543,0.0890844854346695,0.996996085002356
63,1,82431,0.0298171253439023,0.0894921191695927,0.739195026162784
64,1,83284,-0.0209127095726264,0.0888478949282635,0.81405298582237
65,1,83613,-0.0157230013568829,0.0888411342632552,0.859626505245078
66,1,84112,-0.00640872413950708,0.0888542121127142,0.942542256788653
67,1,84701,-0.0304370139126531,0.0951343407108206,0.749205220267226
68,1,84858,-0.0298294473851403,0.0890914971875322,0.73796115292675
69,1,85751,0.025247864685636,0.0894617979109971,0.777940592320519
70,1,87445,0.00641097296671714,0.089660378075692,0.943038045678853
71,1,87467,0.00320023920313245,0.0901302459969622,0.971695670797194
72,1,89070,0.00246559476152383,0.0895662127876532,0.978054020376146
73,1,89616,-0.0173189509952177,0.0890797179985862,0.845958235609677
74,1,89679,-0.00897265030982247,0.0890944882856656,0.91983834253453
75,1,89880,-0.0127281008259315,0.0891157681206844,0.886508629463467
76,1,91472,-0.00340790926425336,0.0897796658573363,0.969742158152143
77,1,93789,0.00191435747614048,0.0888548084177477,0.982823253772915
78,1,94351,-0.0247274111455511,0.0890789951362548,0.781489842183726
79,1,99148,-0.0510070163390997,0.0888133833453364,0.566119242592538
80,1,101281,-1.08907386547908,0.970051319038808,0.26232914665824
81,1,106011,-0.00726927858222839,0.0926026325885561,0.937475049694884
82,1,106800,0.0915649065683098,0.0888411505492573,0.303406528643566
83,1,107970,0.0675281856041202,0.0886382820921657,0.446664217069746
84,1,109000,0.118801538170261,0.0886422193759631,0.181030448599211
85,1,112549,0.165178346789399,0.0883304269242863,0.0623106092393425
86,1,112742,0.179893145143735,0.0885968234911119,0.0430580858980051
87,1,113050,0.126924764565833,0.0887059183678123,0.153358161387801
88,1,113135,0.114326246936039,0.0885273111660991,0.197401856803909
89,1,114076,0.178428999104777,0.0882265389100058,0.0438891447559495
90,1,114628,0.128317483981521,0.0886981296845168,0.148874962013481
91,1,116283,0.151491158843853,0.0890913460766502,0.0899359815872347
92,1,126880,3.08976581543296,1.6703646865484,0.0651844683746907
93,1,127853,0.0768957240420623,0.0891950635622579,0.389213690773818
94,1,128302,0.0451115423147176,0.0889135270895511,0.612216107972199
95,1,128704,-0.00840724406996635,0.0890333550564719,0.924822728782659
96,1,128911,0.0334029481862813,0.0890265833877723,0.707735611085246
97,1,130267,0.0816822842172641,0.0888958797311262,0.358799656745786
98,1,130271,0.0807706374537545,0.0890039966098194,0.364764438961014
99,1,130613,0.0926436850975672,0.089805197159,0.302962448872282
100,1,132012,-0.00369391824189996,0.0897493433971871,0.96719307406493
101,1,133231,0.0516780960415262,0.0890702384755511,0.562153364852833
102,1,137074,0.0464618393027351,0.0889515933926076,0.601770140150778
103,1,137304,0.0156360536667252,0.0890130008839284,0.860661518566163
104,1,139686,0.00887540970761294,0.0891326213837661,0.92073800863833
105,1,149562,0.0176518465178533,0.0893322773956511,0.843473619684504
106,1,150447,0.0386618193538459,0.0903047272927433,0.668820334621325
107,1,151446,-0.298385731714452,0.180769396419979,0.0997008787969136
108,1,154084,0.0018668893921456,0.0906071817427715,0.983573023391473
109,1,156633,-0.052208468504051,0.0918074047467121,0.569939111556312
110,1,157269,0.0165591730448527,0.0889584187368765,0.852437903712226
111,1,160054,0.0227787269466872,0.0897998194357545,0.799905012738003
112,1,166222,0.00169851347022371,0.0891437143866637,0.984809068490712
113,1,166416,0.00798589510029246,0.0889617692482759,0.928522711487019
114,1,167326,0.0491004584772235,0.0894301434830731,0.583327168239632
115,1,168836,0.0716054190602015,0.0889627354738112,0.421423621510866
116,1,171200,0.0379818701906578,0.0891547672139162,0.670351639614264
117,1,171431,0.052778011989965,0.0896904457250046,0.55660906948143
118,1,173339,0.0323465397926196,0.0890199443176602,0.716551358545978
119,1,173845,0.014754029872231,0.0889593187420401,0.868368820859936
120,1,175121,0.0411384612958162,0.0887593930672912,0.643303905365913
121,1,175281,0.0330187614427166,0.0888444828014641,0.710378868793462
122,1,175315,0.0213545213200935,0.0888266182229072,0.810154476254112
123,1,175523,0.0244633390347513,0.0893277287821656,0.784351980480548
124,1,175541,0.0272611935201914,0.0889607828828092,0.75944988350936
