SNP,Chr,Pos,Effect,SE,SSH1_ORM2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0915506438433101,0.177601230322452,0.606537320694345
2,1,1035,0.161169060675068,0.1794067759478,0.369614332255256
3,1,1074,0.250020864764785,0.303239346367819,0.410212235738412
4,1,1470,0.146422681926442,0.302337706378534,0.628472068004338
5,1,1475,0.312326466733734,0.222611503292033,0.161492390633837
6,1,1491,0.3061197468415,0.194589407895437,0.11657821835763
7,1,21249,-1.06505719196482,1.11960477249729,0.342113321676876
8,1,27243,0.0467242354158901,0.152912646603999,0.760118556143564
9,1,27272,0.0233400250902185,0.150631040726522,0.876950625740011
10,1,27498,-0.730737651416885,1.37502728335232,0.595451602917405
11,1,27561,1.29852871728159,1.036907204092,0.211286170676328
12,1,27816,-0.0204573464300524,0.153706010016739,0.894194884741391
13,1,27822,-0.0368588867161647,0.153501971386026,0.810376642605567
14,1,27823,-0.0367990445588363,0.156664332401908,0.81442951380124
15,1,27825,-0.0289861281810705,0.153506754650636,0.850337391379874
16,1,27843,-0.0554085303124281,0.147042487077277,0.706533886394465
17,1,27848,-0.0554085303124281,0.147042487077277,0.706533886394465
18,1,28495,-0.0516939336481554,0.14704870114803,0.725390800113538
19,1,28975,-0.0460558393703367,0.14607076373989,0.752721609909359
20,1,29283,-0.22592341523854,0.327177110615536,0.490318942567852
21,1,29752,0.370457457775238,0.3407654506025,0.277719662186682
22,1,29787,2.81223006112901,0.911406852249833,0.00219188524960932
23,1,30057,-0.281467216905336,0.29909448314924,0.347315315583574
24,1,30479,1.74437881307355,0.872555123237171,0.0463570652661775
25,1,30706,-0.103301715320297,0.150775754152211,0.49370850410261
26,1,31435,-0.051367125839632,0.145678612787355,0.724594414551915
27,1,35128,0.389385236033097,0.199751893518375,0.0520459368487406
28,1,35129,0.0585930748568577,0.201314272823069,0.77118190347883
29,1,36146,-0.0807858050513132,0.144889165606554,0.57749166290174
30,1,37255,-0.00142746149188078,0.292577896174999,0.996109963748255
31,1,37409,-0.0576996135411058,0.145704332149944,0.692340739331116
32,1,37478,-0.0713312602126654,0.145812555975555,0.625005105345551
33,1,39144,-0.0641188037848775,0.145156257176683,0.658960398812467
34,1,41499,-0.0106572179856362,0.144792515282481,0.941367673228579
35,1,45359,-0.232244416294782,0.243450548293355,0.340751830730182
36,1,45634,-0.0279802401808418,0.223899725524781,0.900620234128934
37,1,51248,-0.168643757731708,0.145132631254723,0.246021511867105
38,1,51462,-0.167543857570625,0.145333788406446,0.249763865691787
39,1,52124,-0.0956332066337224,0.145320820018574,0.510913532180703
40,1,52667,-0.149579625420021,0.144958437395425,0.30283506509685
41,1,55470,-0.153286809679234,0.14890442357707,0.303982077044926
42,1,59265,0.00393121474555846,0.145103506898431,0.978401277207283
43,1,60165,-0.00490862686538942,0.14499377224465,0.973012666670191
44,1,62308,-0.176437328301234,0.144529783527234,0.222988680011801
45,1,62869,-0.148561329986149,0.144600325490181,0.304939023544264
46,1,65431,-0.192817762803327,0.150897670290464,0.202157932904519
47,1,65451,-0.167846391614223,0.148833834323414,0.260194185997985
48,1,65719,-0.0889025202502478,0.155413430515516,0.567659749839662
49,1,66841,-0.121457444018192,0.144740315222219,0.401958438682822
50,1,66948,-0.148042230029078,0.145560669280829,0.309827011225346
51,1,68621,-0.335503611817883,0.1442780056463,0.0206169543741011
52,1,69417,-0.279630253720242,0.144228125233443,0.0533217859576075
53,1,69820,-0.214234505261161,0.567251373418027,0.705901843687974
54,1,69821,-0.525912108650562,0.350913967074647,0.134847158210481
55,1,70906,0.122463640677197,0.232824717703487,0.599224939810352
56,1,74327,-0.155082931415989,0.145557322135617,0.287404010291669
57,1,74572,-0.167708398132498,0.145128784679097,0.248633203885997
58,1,75211,-0.118094823995571,0.145001805004445,0.415943774989822
59,1,76030,-0.110263870639037,0.145019272390624,0.447559255366014
60,1,80108,-0.0320867531992936,0.145093607353077,0.825107246980174
