SNP,Chr,Pos,Effect,SE,SSH1_ORM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0227961398821673,0.0837167518663293,0.785549932580641
2,1,1035,-0.0258122004312672,0.0846303439138252,0.760546392248387
3,1,1074,0.138427898791798,0.142848287143778,0.33318104995545
4,1,1470,-0.127660252523498,0.142361008798276,0.370470902904635
5,1,1475,-0.026638011142861,0.105187536204793,0.800227829237927
6,1,1491,-0.0395610257706167,0.091996467326136,0.667437914774596
7,1,21249,0.398502079699797,0.527860293799938,0.450789234121863
8,1,27243,-0.0380208758026153,0.0720407400252102,0.597991189772729
9,1,27272,-0.121867759425388,0.0706898771993,0.0855874083137508
10,1,27498,-0.571869041611604,0.647521676948439,0.377747713371177
11,1,27561,-0.334286846101095,0.48940034582271,0.495020785900839
12,1,27816,-0.0721724143441501,0.0723333872850266,0.319072142820335
13,1,27822,-0.07930234563428,0.0722200161020033,0.272924073458321
14,1,27823,-0.0569452322800472,0.0737711319531538,0.440679707043994
15,1,27825,-0.0833792640365972,0.0722070070001113,0.248983987799212
16,1,27843,-0.0344458529382022,0.0692830146027385,0.61937444952757
17,1,27848,-0.0344458529382022,0.0692830146027385,0.61937444952757
18,1,28495,-0.0448861611147526,0.0692672025539004,0.517396741985932
19,1,28975,-0.0328440949576764,0.068822905306833,0.633496364600449
20,1,29283,0.0377328280437563,0.15427226058656,0.806919148762713
21,1,29752,-0.356407007498243,0.159730824972513,0.0262888938530849
22,1,29787,-0.0983100251919193,0.435219828165237,0.821420887536782
23,1,30057,0.0599164881481808,0.141088037596066,0.671332714638099
24,1,30479,-0.410800673818843,0.412931709868154,0.320495893025489
25,1,30706,-0.0292341647194199,0.0710828218432333,0.681124830464918
26,1,31435,-0.0183127354254812,0.068655781221173,0.789830793852188
27,1,35128,-0.134239240012425,0.0943676902773956,0.155760507248005
28,1,35129,-0.081979573741112,0.0947797485845688,0.38765462271747
29,1,36146,0.0127417646528267,0.0683052791976369,0.852127347590717
30,1,37255,0.17052463801042,0.137577408988974,0.215990678678515
31,1,37409,0.082321674692895,0.0685380709928019,0.230514316282905
32,1,37478,0.0722400777410885,0.068629397321145,0.293239176741029
33,1,39144,-0.00957693709519159,0.0684214561478988,0.888763684608694
34,1,41499,0.0431288383641975,0.0681949397715224,0.527512362368725
35,1,45359,-0.263312785362784,0.114015017135905,0.0214948736217746
36,1,45634,-0.0490617207567849,0.105482093027465,0.642133061505458
37,1,51248,0.0402404325808374,0.0684905174616104,0.557221486052914
38,1,51462,0.0431243231627309,0.0685785165338706,0.529866144899292
39,1,52124,0.00724115264137107,0.068522913494137,0.915900311937577
40,1,52667,-0.0416020760885277,0.0683783363504908,0.543306734809058
41,1,55470,0.0547107807190643,0.0702156580948029,0.436394520848291
42,1,59265,0.0610650018713371,0.0683023794142205,0.371910078671764
43,1,60165,0.0864405074803289,0.0681729239460352,0.205648073448172
44,1,62308,0.0623368325405202,0.068172156622823,0.361129222696942
45,1,62869,0.0419054396391096,0.0682078170815851,0.539360784226514
46,1,65431,0.153518239249604,0.0708044330702281,0.0308109681311278
47,1,65451,0.162983410352124,0.0697261877366773,0.0199726430392632
48,1,65719,0.158571636575662,0.0727843490252524,0.0300186761249411
