SNP,Chr,Pos,Effect,SE,RET2_EMP70_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0207105871000054,0.12243061024599,0.865766238106947
2,1,1035,-0.0423159775400435,0.123754514532803,0.73260342111547
3,1,1074,-0.00292223327111785,0.20917099184817,0.988861370815743
4,1,1470,-0.144640805931397,0.20827556498344,0.487845293314789
5,1,1475,0.277280655473022,0.153124815929894,0.0710195547303158
6,1,1491,0.155396317141806,0.134311322712162,0.248060411257837
7,1,21249,-0.365753642388931,0.772291073759453,0.636081081909863
8,1,27243,-0.0708192646093226,0.105322493817732,0.50176642729245
9,1,27272,-0.00351964370330871,0.10380703493653,0.972971561028874
10,1,27498,-0.392344801423599,0.947715149639967,0.679132692069524
11,1,27561,0.477214287835825,0.715694043558856,0.505344847755357
12,1,27816,-0.00800997995093677,0.105924513058853,0.939764499719504
13,1,27822,-0.0054172486910794,0.105790350903581,0.959189219689451
14,1,27823,-0.00871427552262177,0.107968809029584,0.93571749117702
15,1,27825,0.00369044386015116,0.105790561475483,0.972191610180251
16,1,27843,-0.0113734977538486,0.101349280660121,0.910712119938471
17,1,27848,-0.0113734977538486,0.101349280660121,0.910712119938471
18,1,28495,-0.00705220111976151,0.101352034515976,0.944566361475094
19,1,28975,-0.0344538741746825,0.100658541946711,0.732340386570482
20,1,29283,0.000684985595277965,0.225618274645674,0.99757931107194
21,1,29752,-0.0820183412510893,0.235182393270103,0.727489762327098
22,1,29787,2.25424108296011,0.625076415068719,0.00035527919696762
23,1,30057,0.173672104347624,0.206164866423242,0.400137665610073
24,1,30479,0.348060615156721,0.604410409390792,0.565071343503768
25,1,30706,-0.0113707011655929,0.103970699266544,0.912975550852316
26,1,31435,-0.0161337184313004,0.10040483604183,0.872432107635081
27,1,35128,0.285788129884103,0.137554551604949,0.0384654391708634
28,1,35129,0.114365905622775,0.138613831278179,0.409889900677671
29,1,36146,-0.0557695649949559,0.0998466471117583,0.576821484873725
30,1,37255,0.0609181419814853,0.201596790060109,0.762694232054376
31,1,37409,-0.0142296494675195,0.100427998967045,0.88740565249505
