SNP,Chr,Pos,Effect,SE,PLM2_HNM1_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0358617134124319,0.119654042337615,0.764573491436138
2,1,1035,-0.0491837331284449,0.120950111584131,0.684515324839945
3,1,1074,-0.00790736454935814,0.204444609561397,0.969169539622082
4,1,1470,-0.0630696868284977,0.203681146557983,0.757010507941574
5,1,1475,-0.0168025829859997,0.150355976688885,0.911083553595405
6,1,1491,0.0212826450534449,0.13152048970437,0.871540187067038
7,1,21249,-0.9617638630525,0.75334456154747,0.202561982145763
8,1,27243,-0.0400169711794136,0.102986721516129,0.697832672402683
9,1,27272,-0.101071825524064,0.101319074513038,0.319176222351858
10,1,27498,0.573665641522973,0.926024094550379,0.535991120596
11,1,27561,-0.489656627966241,0.699478702638325,0.484369156745486
12,1,27816,0.109966964918367,0.103366521068494,0.288121691819991
13,1,27822,0.106039049869121,0.103246365142892,0.305100754714012
14,1,27823,0.104003888256259,0.105385053965146,0.324370508573359
15,1,27825,0.105372411835877,0.103248298602385,0.308155771660082
16,1,27843,0.0949112805817518,0.0989322765224731,0.338036016482528
17,1,27848,0.0949112805817518,0.0989322765224731,0.338036016482528
18,1,28495,0.0816152739316584,0.0989674801582581,0.410117225425732
19,1,28975,0.125976603580042,0.0981718813724152,0.200255097981618
20,1,29283,0.160693403702852,0.220354739708182,0.46633313134104
21,1,29752,-0.452527873469004,0.228643173577966,0.0485714633156409
22,1,29787,0.336120881249881,0.62184917063953,0.589180489436641
23,1,30057,0.207905802803382,0.201405462267881,0.302650066726448
24,1,30479,0.261339199581937,0.590868094990916,0.658545150133484
25,1,30706,0.144847449243568,0.101330455615585,0.153757526726024
26,1,31435,0.106858077501453,0.0979749386467719,0.276163145808081
27,1,35128,0.00937814197972031,0.135265250385637,0.944765014211679
28,1,35129,0.0361951957933329,0.135598879966619,0.789680136445982
29,1,36146,0.0713496416833559,0.0975599467396015,0.465055750977
30,1,37255,0.15048669914847,0.19690456073527,0.445221605096538
31,1,37409,0.0916477165948573,0.0980404486297026,0.350532992855282
32,1,37478,0.0902618276191452,0.0981285757501017,0.358288565028585
33,1,39144,0.106318844158341,0.0976339319484329,0.276917108853511
34,1,41499,0.162033224170873,0.0971444536416069,0.0962101057691177
35,1,45359,-0.127825753264607,0.164047624873664,0.43638452445853
36,1,45634,0.140788704457672,0.15062590388542,0.350586408345221
37,1,51248,0.145696045983175,0.0976341602413949,0.136522823790483
38,1,51462,0.113146716936318,0.097889373148445,0.24851885666374
39,1,52124,0.0799569151132018,0.0978491316220481,0.41439679927642
40,1,52667,0.12207803776204,0.0975685552366388,0.211689114765975
41,1,55470,0.0344036327441833,0.100429105146048,0.732128601311951
42,1,59265,-0.0166475224167603,0.0977313210108842,0.864840588747714
43,1,60165,-0.00714685236098669,0.0976607413150814,0.941704008926078
44,1,62308,-0.0975071205076214,0.0974159323818245,0.317543341217732
45,1,62869,-0.090082908229635,0.0974239130109264,0.355780245012555
46,1,65431,0.00729666710107807,0.101871974676119,0.942940227915837
47,1,65451,0.0325830389056498,0.100413269620118,0.745759765732385
48,1,65719,0.0233338687728675,0.104720682844096,0.823804428484824
49,1,66841,0.0384181359936337,0.0975663689059136,0.693992930241152
50,1,66948,0.00803845312522172,0.098185769577869,0.934796619288135
51,1,68621,-0.00924261934466791,0.0979194759860916,0.924852913339598
52,1,69417,0.00346929547642763,0.0976613075551849,0.97168219086847
53,1,69820,0.0917127497470926,0.3821211752889,0.810462127470036
54,1,69821,0.113465722252613,0.237033807886231,0.632455513098426
55,1,70906,-0.353829482496659,0.155747318442217,0.0236987589398386
56,1,74327,0.014611903503938,0.0981953379207363,0.881792907559276
57,1,74572,0.0519857291158472,0.0978978887459516,0.59573891615465
58,1,75211,0.0015630665153088,0.0977584163551031,0.987252141530181
59,1,76030,0.0238253421452171,0.0977502267234496,0.807576142713167
60,1,80108,0.0714060618488225,0.0976614147979621,0.465166840331572
61,1,81262,-0.0721097572023226,0.0976229728755851,0.460606967843317
62,1,81999,-0.100081012551591,0.097792013701429,0.306816358159411
63,1,82431,-0.0019760855094894,0.0984005337061755,0.98398925670116
64,1,83284,0.0152323553824668,0.0976811795261378,0.876169837986817
65,1,83613,0.0130311277942734,0.0976713171710435,0.89393870704568
66,1,84112,0.0353935202332617,0.0976663780343418,0.71727593184776
67,1,84701,0.0133574703113608,0.10460076770373,0.898459465930568
68,1,84858,0.0230607770916221,0.0979525500394503,0.814013042679039
69,1,85751,-0.0304518202435613,0.0983495276499044,0.757026146297382
70,1,87445,-0.0369837453328936,0.0985511574246824,0.707681644176498
71,1,87467,-0.0004066446711328,0.0990868345439304,0.996727871155245
72,1,89070,0.0116034546162992,0.0984647465938849,0.906258490459524
73,1,89616,-0.072313887861111,0.0978613232964872,0.460432978264697
74,1,89679,-0.0363710200762249,0.097930252738502,0.710564534004609
75,1,89880,-0.0412194591037042,0.097949635813031,0.674140422467432
76,1,91472,-0.028341900722508,0.0986899154158501,0.774141986635324
77,1,93789,-0.101608495898161,0.0975347264147769,0.298232493594953
78,1,94351,-0.15003127434318,0.0976155591552825,0.125198767561798
79,1,99148,-0.117238014412746,0.097485040660795,0.229927236187725
80,1,101281,-0.645579668757147,1.06779673030997,0.545839579775616
81,1,106011,-0.105138336368547,0.101651708302039,0.301704100708688
82,1,106800,-0.098278236765903,0.0976763472810193,0.315026799330647
83,1,107970,-0.137067840639704,0.097253269031648,0.159600052592013
84,1,109000,-0.0702110668611066,0.0976268935175375,0.472507365805638
85,1,112549,0.0221540624746068,0.0975806698925331,0.82052926320906
86,1,112742,-0.0577653170748886,0.0979197398567553,0.555618247054648
87,1,113050,-0.0614205917964468,0.0977485355742616,0.530179005878437
88,1,113135,-0.0658618554000047,0.0974910732433493,0.499757228955534
89,1,114076,-0.107552802069515,0.0973859757983054,0.270173082225909
90,1,114628,-0.0923589853288582,0.0976772513645235,0.345023561959332
91,1,116283,-0.04882259928465,0.0983104919329931,0.619768723390999
92,1,126880,0.43706943032613,1.84508368659859,0.81288476618
93,1,127853,-0.0469439639454908,0.0981299177224115,0.632671747202246
94,1,128302,-0.0687141784554417,0.097716249873835,0.482393925914038
95,1,128704,-0.094624528801724,0.0977523505830626,0.333705815755377
96,1,128911,-0.0636740181628657,0.0978341571002156,0.515575590112286
97,1,130267,-0.0128905001961198,0.0978440300930358,0.895260736610227
98,1,130271,-0.0160845537259566,0.0979588256542033,0.869669970087695
99,1,130613,0.000706794525767607,0.0988780142682404,0.99430069078604
100,1,132012,-0.0928640765651692,0.0985442672750728,0.346653343464541
101,1,133231,-0.120067586803823,0.097759342620341,0.220191839227739
102,1,137074,-0.136936728505722,0.09755678798357,0.161298691066272
103,1,137304,-0.1766345400107,0.0974100476996068,0.0706332720462904
104,1,139686,-0.221012441205279,0.0972826539421707,0.0236962439011482
105,1,149562,-0.192923844665449,0.097676579822165,0.0490322368529947
106,1,150447,-0.192328228099185,0.0987752314557993,0.052311846202974
107,1,151446,-0.613033618059306,0.196811952859651,0.00199118378207389
108,1,154084,-0.225088887436329,0.0988879885217206,0.0234323810746095
109,1,156633,-0.237560139809615,0.100181946900883,0.0182624058237892
110,1,157269,-0.192663643113087,0.0972641217458178,0.0483861935566603
111,1,160054,-0.201813324556438,0.0981463569470874,0.0404933101758335
112,1,166222,-0.180353521255488,0.0975308919310264,0.0652656842555067
113,1,166416,-0.197365111150219,0.0972374142984323,0.0431342608412844
114,1,167326,-0.177035888084344,0.0979065759828919,0.071424344821467
115,1,168836,-0.178993549713153,0.0974281613758568,0.0670230577775097
116,1,171200,-0.170848054905459,0.0976168181754268,0.0809542057360997
117,1,171431,-0.137926305382004,0.0983779860730213,0.161792837045752
118,1,173339,-0.217218731407118,0.0971991546087048,0.0260570203406578
119,1,173845,-0.197839095427544,0.0972346856131125,0.0426324642663923
120,1,175121,-0.166105890553434,0.0972080627167837,0.0883731759036565
121,1,175281,-0.17345316761894,0.0972550424739901,0.0753659903502924
122,1,175315,-0.179205035369663,0.0971945951465882,0.066053781045935
123,1,175523,-0.168415970319408,0.0978049136381155,0.0859530824086745
124,1,175541,-0.176825487986365,0.0973601633353769,0.0701878804827862
