SNP,Chr,Pos,Effect,SE,DHH1_LSM3_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0277313331395878,0.115070031514322,0.809698697017615
2,1,1035,-0.0422713980567381,0.116316700179249,0.716511379315133
3,1,1074,-0.169059176141801,0.196397783958105,0.389932591428157
4,1,1470,0.0182802325270162,0.195893388808656,0.925704467915083
5,1,1475,-0.145257935234215,0.144384971391005,0.315082512526585
6,1,1491,-0.132769424072936,0.126283310213739,0.293811726400639
7,1,21249,1.04313709026082,0.723995765755426,0.150526029007358
8,1,27243,-0.0268621399170434,0.0990476509468681,0.786392497458393
9,1,27272,-0.0513749734115163,0.0975320197707236,0.598698172786212
10,1,27498,0.39499569163404,0.890743444846215,0.657715582769678
11,1,27561,0.499233541966947,0.672593123232202,0.458428308864893
12,1,27816,-0.0308785838761931,0.0995476824572641,0.756600377725633
13,1,27822,-0.0296122585024893,0.0994222178849378,0.76599785158596
14,1,27823,-0.0360184111787403,0.101464741746001,0.722813193477685
15,1,27825,-0.0334910910375543,0.099418730716619,0.736415823406407
16,1,27843,-0.03036723877766,0.0952480816619696,0.750049621125119
17,1,27848,-0.03036723877766,0.0952480816619696,0.750049621125119
18,1,28495,0.00759108585191379,0.0952624798822633,0.936532150077827
19,1,28975,-0.0109529523518038,0.0946247600421624,0.907915354324441
20,1,29283,0.0201736891837747,0.21206014403707,0.924264021457207
21,1,29752,-0.511941736955191,0.219404946341074,0.0201924176151068
22,1,29787,0.188944256752382,0.598161792221775,0.752284191840025
23,1,30057,0.278462590858466,0.193405859222541,0.150814842168189
24,1,30479,0.195889155504238,0.568267859068807,0.730515642656081
25,1,30706,0.0017583057480472,0.0977256264014644,0.985655185938213
26,1,31435,-0.0361817735509488,0.0943561952585565,0.701609974544199
27,1,35128,-0.147544704116442,0.129840937679948,0.256581107357071
28,1,35129,-0.0901332827871291,0.130323043543325,0.489634180374342
29,1,36146,-0.0209221496267788,0.0938825995073606,0.823777727595986
30,1,37255,0.0210803683863672,0.189505798745469,0.911490327739556
31,1,37409,0.0129792853439245,0.0943943213829034,0.890713432811504
32,1,37478,-0.0139256069721423,0.0944750891456338,0.882900633956637
33,1,39144,-0.0150566067557176,0.0940434549685208,0.872891784438739
34,1,41499,0.0133124712294316,0.0937833276493781,0.887201085987908
35,1,45359,-0.0731828890323016,0.157843335675138,0.643189604503711
36,1,45634,0.0517915840018404,0.145001765869913,0.721171248927659
37,1,51248,0.153739168476204,0.0938290751250754,0.102207881425757
38,1,51462,0.141562762706775,0.094011465839606,0.133011985685426
39,1,52124,0.0843761904310931,0.0940780738547567,0.370397327336076
40,1,52667,0.0824317647769758,0.0939318482710816,0.380774030129444
41,1,55470,0.0612530300540637,0.0965382881163102,0.526169022128709
42,1,59265,-0.0357790452866176,0.0939675240150115,0.703610606221555
43,1,60165,-0.014226416187932,0.0939127430888554,0.87967930509685
44,1,62308,-0.113852343747558,0.0936165916390457,0.224738248987821
45,1,62869,-0.12485850156624,0.0935650197765998,0.182914248501477
46,1,65431,-0.0428883602916784,0.0979389130580388,0.661719867095663
47,1,65451,-0.0244922624930626,0.0965676435440626,0.799930584092853
48,1,65719,-0.122254956514862,0.10050090282841,0.224623893040617
49,1,66841,-0.0482984590420056,0.0938097181627867,0.606976147594913
50,1,66948,-0.0578813796908161,0.0943705996796494,0.540045724741587
51,1,68621,-0.0473756109872387,0.0941313156830741,0.615072342853995
52,1,69417,-0.0393607456832533,0.093892426733332,0.675316856523042
53,1,69820,-0.495752246859887,0.36654687506992,0.177083246283176
54,1,69821,-0.113509820388702,0.227936585163161,0.618802174469888
55,1,70906,-0.160629055296238,0.15062231651924,0.286955438487145
56,1,74327,-0.0231420715192657,0.0944241042179114,0.806531883817799
57,1,74572,-0.0455187288329337,0.0941495628435784,0.629059997642215
58,1,75211,0.00976723166862273,0.0940076086851011,0.917309051719271
59,1,76030,0.0526040971715987,0.0939673436582633,0.575962359196119
60,1,80108,0.039803169400406,0.0939629392287872,0.672111907141894
61,1,81262,-0.0129863784523397,0.0939487442662896,0.890138778752899
62,1,81999,-0.0339442491711877,0.0941633988707461,0.718702011778771
63,1,82431,-0.0056874276382735,0.0946260716149357,0.952106629485747
64,1,83284,-0.0211995504875832,0.0939311961318695,0.821571334612615
65,1,83613,-0.00581252001257406,0.0939271120485004,0.950690786559329
66,1,84112,0.00815754147545635,0.0939369695048354,0.930847464284756
67,1,84701,0.0539704458807758,0.100550232964444,0.591777688771948
68,1,84858,0.0528016215685327,0.0941611650793127,0.575318305115321
69,1,85751,-0.0040129937430731,0.0945900529005525,0.966183794922402
70,1,87445,0.0348915698705967,0.0947720579157836,0.712972330967659
71,1,87467,0.0280544995270134,0.0952747823678721,0.768580410719065
72,1,89070,0.043602480933181,0.0946616711596983,0.64535926957704
73,1,89616,0.0152970558859213,0.0941772098461604,0.871061425393528
74,1,89679,0.0155664204093728,0.0941890116002861,0.868827725061656
75,1,89880,0.0158954681815471,0.0942127231375749,0.866114373955352
76,1,91472,0.0269857699988407,0.0949050024328746,0.776312669834263
77,1,93789,0.0210496864900884,0.0939312916092553,0.822811754754642
78,1,94351,0.0203886403209195,0.094178949216734,0.828732199736126
