SNP,Chr,Pos,Effect,SE,FMP45_MEP1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0149246100540689,0.0705953514927611,0.832688836183223
2,1,1035,-0.0038652989232994,0.071371880218947,0.956840582059389
3,1,1074,0.0643531911828719,0.120565310821565,0.593842090708117
4,1,1470,-0.341055525133453,0.118800768267071,0.0043410327794028
5,1,1475,-0.0095716419440679,0.0887037923398976,0.914131825785803
6,1,1491,-0.0157217144687964,0.0775899088583398,0.839544286641894
7,1,21249,-0.320230320763905,0.44514018694808,0.472375361832709
8,1,27243,-0.0507657829672472,0.0607107174767496,0.40361287038715
9,1,27272,-0.0755664658923674,0.0597228992333863,0.206603874339201
10,1,27498,0.464560222873987,0.546052528033302,0.395478809676626
11,1,27561,-0.121823082305624,0.412898366820584,0.76813390901538
12,1,27816,0.0691986328048859,0.0609684255337446,0.257149039306408
13,1,27822,0.0610528912226502,0.0609153297242166,0.316905413544554
14,1,27823,0.0563137625779114,0.0621862590366135,0.365783267504384
15,1,27825,0.057396800845012,0.0609253986622186,0.346794263077004
16,1,27843,0.0986518530917368,0.0582055569014423,0.0909787075872458
17,1,27848,0.0986518530917368,0.0582055569014423,0.0909787075872458
18,1,28495,0.130425507860519,0.0580291144692807,0.0252194649243417
19,1,28975,0.113186976555968,0.0577387666487193,0.0507435532952987
20,1,29283,-0.0771495997149341,0.130033073331199,0.553355312989225
21,1,29752,-0.226383273923615,0.135099941546266,0.0946878058581111
22,1,29787,-0.186857527042974,0.366881800034446,0.610851344663264
23,1,30057,0.290626998713956,0.117990294885268,0.0142490386457235
24,1,30479,-0.281226308519631,0.348362416154709,0.420048299960602
25,1,30706,0.115080060032034,0.059639763887255,0.0544592624829
26,1,31435,0.110607983516848,0.0575983167606957,0.0556212177027156
27,1,35128,-0.0553759153074962,0.0797468901826734,0.48789069970138
28,1,35129,-0.0535239970253314,0.0799549593050398,0.50366082753407
29,1,36146,0.0703147228586528,0.0574781326439839,0.222021082585264
30,1,37255,0.129284046162727,0.116057643387485,0.266052500360182
31,1,37409,0.101499722486308,0.057658748539974,0.079214027787918
32,1,37478,0.0849879764251077,0.0577842780622418,0.142241356324309
33,1,39144,0.0319216060110251,0.0576715472243051,0.580266679728797
34,1,41499,0.0447118131701341,0.0574872950879148,0.437226394540484
35,1,45359,-0.0114647787072704,0.0968624540735655,0.905848606647064
36,1,45634,-0.0693201057972406,0.0888962963152522,0.436039231561582
37,1,51248,0.0572812529664694,0.0577009445457683,0.321523274731381
38,1,51462,0.0439700342354286,0.0578124363849732,0.447425481709091
39,1,52124,0.037676069610162,0.0577466259941842,0.51454354818085
40,1,52667,0.0131284664448184,0.0576845986371607,0.820096368788081
41,1,55470,0.000509986644988469,0.0592587786013645,0.993138276412894
42,1,59265,-0.0127541959824507,0.0576557317818394,0.825054508883853
43,1,60165,-0.00331126137225768,0.0576158868129794,0.954202264925048
44,1,62308,0.00692673686100516,0.0575516103141755,0.904268857705174
45,1,62869,-0.0119178855311566,0.0575420665303154,0.836038650307976
