SNP,Chr,Pos,Effect,SE,SSH1_PIS1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0596685556964139,0.117391070288889,0.611568373469615
2,1,1035,-0.0864138410657084,0.118629613402432,0.466830917563315
3,1,1074,-0.211826430914943,0.200309275035899,0.291008015631351
4,1,1470,-0.359598453188022,0.198985478020795,0.071588709929295
5,1,1475,-0.0569550038841937,0.14751901682179,0.69966568419593
6,1,1491,0.00573841162183264,0.129068307707125,0.964562660934947
7,1,21249,0.0856865444801223,0.740963873767643,0.90800203007669
8,1,27243,-0.00516145418825165,0.10108431974074,0.959305890016735
9,1,27272,-0.0741724446215326,0.0994883346849991,0.456442006748002
10,1,27498,-0.266853278072715,0.909110233962707,0.769287760677918
11,1,27561,-1.07426724277805,0.684505865838438,0.117449401035626
12,1,27816,0.0211376568138915,0.101592039958624,0.835298905144052
13,1,27822,0.0198421152587248,0.101463645587406,0.845067977570532
14,1,27823,0.0315308017869456,0.103545588405367,0.760917824753401
15,1,27825,0.0292269733259998,0.101457216722557,0.773460762202845
16,1,27843,0.0401279367150957,0.0971873829893771,0.679936086726884
17,1,27848,0.0401279367150957,0.0971873829893771,0.679936086726884
18,1,28495,0.061901016560244,0.0971565761126749,0.52445551428463
19,1,28975,0.0457621811718641,0.0965318895746106,0.635748187480228
20,1,29283,0.188097696495682,0.216169959257348,0.384816297166898
21,1,29752,-0.525467479024914,0.22387373680402,0.019469069711739
22,1,29787,-0.544447244154073,0.609798290289557,0.37255555073622
23,1,30057,0.346054180181092,0.19708279775283,0.0799757560259337
24,1,30479,-0.763793309571381,0.578565741318353,0.187640467976734
25,1,30706,0.0335845451021562,0.0997091146303003,0.736448815067499
26,1,31435,0.0260322548004677,0.0962968052567812,0.787061657162017
27,1,35128,-0.129052015000333,0.132561765785957,0.330959733413471
28,1,35129,-0.134953601585619,0.132885537057211,0.310533204713285
29,1,36146,0.00384864087923659,0.0958099554636703,0.967980678530267
30,1,37255,0.103198332043711,0.193308453057932,0.593779123872437
31,1,37409,0.112004914391838,0.0961435637298263,0.244815475687971
32,1,37478,0.0893493342653071,0.0962936553180328,0.354101787103149
33,1,39144,0.0937488640467542,0.0958412642982359,0.328661086132342
34,1,41499,0.113222388484885,0.0955149496835823,0.236660962729641
35,1,45359,-0.415501562033526,0.159596925881421,0.00961871574057668
36,1,45634,-0.164072019652093,0.147737368054177,0.267511328088628
37,1,51248,0.195740744847206,0.0955459098435341,0.0412347950358405
38,1,51462,0.184227505366283,0.0957417521602634,0.0551315563199145
39,1,52124,0.0779691747677013,0.0960225956113471,0.417345849449559
40,1,52667,0.0654279939978842,0.0958949855631183,0.495504339796568
41,1,55470,0.15690494069171,0.0982152079499508,0.111035086541084
42,1,59265,0.0845130912147632,0.0958042459487859,0.378299508948072
43,1,60165,0.0697333296172816,0.0957654146335757,0.466993371387994
44,1,62308,0.0249923382169239,0.0957226682815145,0.794174498358577
45,1,62869,0.0223137597842547,0.0957125187400339,0.815793147601895
46,1,65431,0.113332403700515,0.0997877334203276,0.256838061762596
47,1,65451,0.12960862655042,0.0983106645938506,0.188238681007023
48,1,65719,0.0767820518676595,0.102690597153355,0.455137211540935
49,1,66841,0.143518866769489,0.0954598588590507,0.133617836739094
50,1,66948,0.115931568690887,0.09615494063635,0.22875051981707
51,1,68621,0.274748013827174,0.0949724789326569,0.00405359606599167
52,1,69417,0.173703054645781,0.0953903290907196,0.06945763546923
53,1,69820,-0.327467568643574,0.374609067626025,0.382626453534862
54,1,69821,0.137622712987129,0.232566527959452,0.554392558837537
55,1,70906,0.0131458428770381,0.153949856266806,0.93199941869454
56,1,74327,0.120953142385217,0.0961489391716785,0.209231601936593
57,1,74572,0.175097374489977,0.0956547451187998,0.0680160244659176
58,1,75211,0.0996133851303489,0.0957858476618988,0.299070567010056
59,1,76030,0.180870057124554,0.095448229134851,0.0589153025648023
60,1,80108,0.0601400709360758,0.0958563569870635,0.530804091271958
61,1,81262,-0.0549917697467897,0.0958288397604741,0.566431998630108
62,1,81999,-0.0475516698999725,0.0960743340101727,0.620945699363568
63,1,82431,-0.081580403025278,0.0964649392321931,0.39829297831542
64,1,83284,-0.0788637621325919,0.0957679980673512,0.410786738811589
65,1,83613,-0.0715442260431629,0.0957737079865428,0.455552847161314
66,1,84112,-0.0573473107492616,0.0958113351518261,0.549860798093554
67,1,84701,-0.0822336671438857,0.102555996876289,0.423184018070032
68,1,84858,-0.0282082956070051,0.0961187628304402,0.76933282421306
69,1,85751,-0.0773983927545974,0.0964376635900311,0.422760815601626
70,1,87445,-0.138380911211471,0.0964488436022829,0.152240935159763
71,1,87467,-0.101750304589222,0.0970851114844506,0.295331410997061
72,1,89070,-0.0762397665612217,0.0965422307234793,0.430230898986348
73,1,89616,-0.0435697750940499,0.0960796831776595,0.650485073231881
74,1,89679,-0.056409487634875,0.0960729328989521,0.557476459956213
75,1,89880,-0.0868570233130804,0.0960329822678781,0.366373716283377
76,1,91472,-0.05486190313342,0.0968138218164212,0.571295615937486
77,1,93789,-0.117983284594618,0.0956540371816384,0.21823321755911
78,1,94351,-0.0839231981219787,0.0960083758948439,0.382645177456928
79,1,99148,-0.101579376984828,0.09570735554102,0.289254687575602
80,1,101281,0.336888019602252,1.0482409078963,0.748109493738085
81,1,106011,-0.180316755576202,0.0994419920543527,0.0706368889020583
82,1,106800,-0.149563747298444,0.0956585914155401,0.118827261499668
83,1,107970,-0.0851907266912529,0.0955973930617155,0.373460686266146
84,1,109000,-0.120893132322561,0.0956573608306582,0.207130661955282
85,1,112549,-0.0987024947767982,0.0956207965298318,0.30267184669839
86,1,112742,-0.107009166635354,0.0959692405681418,0.265593492784167
87,1,113050,-0.13038128979994,0.0957251612615343,0.174054457838766
88,1,113135,-0.107940263645943,0.0955593675451763,0.25942766095555
89,1,114076,-0.105166924188255,0.095568127528707,0.271890603477156
90,1,114628,-0.096661597700306,0.0958361008965143,0.313850823046977
91,1,116283,-0.0707297645901983,0.0964344416607905,0.463771309397763
92,1,126880,1.5512738766293,1.80888079351346,0.391702045845931
93,1,127853,-0.0289738084643671,0.0963158618353915,0.763728295903529
94,1,128302,-0.000478155001839564,0.0959581918557931,0.996027011272951
95,1,128704,-0.0157054341207261,0.0960500771300037,0.870208129579298
