SNP,Chr,Pos,Effect,SE,GTR1_SLM4_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.15469832757269,0.108020766780115,0.152995334551892
2,1,1035,0.0703840288876301,0.109455194698507,0.520615852673589
3,1,1074,0.271343234872143,0.184515544310125,0.142297914648684
4,1,1470,-0.322320781315872,0.183613688861524,0.0800533282752103
5,1,1475,-0.157917867677676,0.135856817649893,0.245864539445381
6,1,1491,-0.055007411916669,0.119031200965075,0.644275658846378
7,1,21249,0.0224906397274944,0.683558848798358,0.973771115996005
8,1,27243,-0.0509838607947322,0.0932121993158477,0.584748003507969
9,1,27272,-0.0222046693148659,0.0918436577634342,0.809101907051457
10,1,27498,-1.31136315494469,0.835857006583358,0.11757075852616
11,1,27561,0.297335293673099,0.633465362703388,0.639088590835555
12,1,27816,0.169595481838158,0.0932897802964111,0.0699203811967005
13,1,27822,0.184451362623758,0.0930901064146217,0.0483187620447552
14,1,27823,0.160553649030257,0.095151482721953,0.0924198394794573
15,1,27825,0.187918531065793,0.0930704598280962,0.0442323521682916
16,1,27843,0.180524231698139,0.0891618110325224,0.0436525566250149
17,1,27848,0.180524231698139,0.0891618110325224,0.0436525566250149
18,1,28495,0.218634661392489,0.0889212863582464,0.0144217800612746
19,1,28975,0.193305196606275,0.0884838708362491,0.0295726632856606
20,1,29283,-0.127843627647226,0.199516808372594,0.522090339527126
21,1,29752,0.141694486317233,0.207994543922165,0.496165432173125
22,1,29787,0.196964405891324,0.563082556821887,0.726699894093857
23,1,30057,0.0679035789853319,0.182567427014945,0.710162933698743
24,1,30479,0.802164197262353,0.533342724774797,0.133467428962031
25,1,30706,0.147515236727683,0.0916618350894934,0.108435478781165
26,1,31435,0.173503838836026,0.0883627669009169,0.0503680404575244
27,1,35128,0.0445513419969386,0.122430713275752,0.716157820370713
28,1,35129,-0.0317041157769893,0.122755658769646,0.796348977325726
29,1,36146,0.0810188777817779,0.0882806361864651,0.359380378734997
30,1,37255,0.158285238555539,0.178202019043385,0.375019278919742
31,1,37409,0.131506922816252,0.0885876963556334,0.138573230933032
32,1,37478,0.13050032805801,0.0886685382115971,0.141971999160118
33,1,39144,0.0623938028735948,0.0884720111308304,0.481127371332129
34,1,41499,0.0211460287947034,0.0882815670414995,0.810834138134527
35,1,45359,0.00680186133204153,0.148636150114051,0.963525963641736
