SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.120749611281373,0.0628526122701855,0.0555172310400122
2,1,1035,0.133839224699507,0.0634730425836082,0.0356832879076231
3,1,1074,0.18759581907227,0.107475580223354,0.0817724909637978
4,1,1470,-0.171883129475441,0.10715988458655,0.109611073012557
5,1,1475,-0.0151381808668969,0.0793789477623282,0.848864193892362
6,1,1491,-0.113612966966216,0.0691760671962754,0.101403016597331
7,1,21249,0.00531407854067112,0.398651291093345,0.989371930549249
8,1,27243,-0.0275665189558594,0.0543644892393754,0.612423379025301
9,1,27272,-0.055076039078684,0.0534872877441968,0.303854291707236
10,1,27498,-0.641988341983454,0.487972591488161,0.189154165744325
11,1,27561,-0.205259612917555,0.369390064338292,0.578787287426604
12,1,27816,-0.00850868178622088,0.0546587162134625,0.876382709486421
13,1,27822,-0.0138183991052294,0.0545861661372638,0.800300920013185
14,1,27823,-0.0109590739499109,0.0557125268619571,0.844169613220054
15,1,27825,-0.0126370884751105,0.0545869770784549,0.817057626517649
16,1,27843,0.00224086845226861,0.0522999926223131,0.965848169838521
17,1,27848,0.00224086845226861,0.0522999926223131,0.965848169838521
18,1,28495,0.0138199489643058,0.0522958027245091,0.79172996553426
19,1,28975,0.0116389915984415,0.0519476798152101,0.822846309111727
20,1,29283,0.101208615828832,0.116300950979855,0.384765914320208
21,1,29752,-0.297316661956444,0.120345958721979,0.0139636460291652
22,1,29787,-0.156920241668314,0.328339837218395,0.633002814911187
23,1,30057,0.185773858155978,0.106033964661945,0.0806382985276684
24,1,30479,-0.239200520174145,0.311780103155072,0.44347005321443
25,1,30706,-0.0133634852153335,0.0536481186116894,0.803432064906332
26,1,31435,0.00716380171995087,0.0518123265524026,0.89011027479345
27,1,35128,-0.0555753367287526,0.0713535645847704,0.436576565938685
28,1,35129,-0.0723646827905919,0.0714940582906517,0.312146424420489
29,1,36146,0.00109198131309679,0.0515465233313799,0.983110540905444
30,1,37255,0.0176056318533444,0.104039079401758,0.865719476682557
31,1,37409,0.0120311113006155,0.0518213048250708,0.816544125978642
32,1,37478,0.00107257257345628,0.0518697807135901,0.983514059545296
33,1,39144,-0.0480174205109477,0.0515698275869394,0.352430621786315
34,1,41499,0.0257610236369211,0.0514716391921455,0.617042215580589
35,1,45359,-0.148770450070448,0.0863222931806569,0.0856863889389217
