SNP,Chr,Pos,Effect,SE,HNM1_TPO4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0560252646325708,0.0781030001380962,0.473647736443808
2,1,1035,-0.0156275739078925,0.0790105882625968,0.843322528316849
3,1,1074,0.0775264223223715,0.133465960187988,0.561698479772428
4,1,1470,-0.26182671811949,0.132317044661259,0.0486172956169414
5,1,1475,0.00525454006463999,0.0982037350679202,0.957358603842053
6,1,1491,-0.0372382355050538,0.0858806432526392,0.664840506698419
7,1,21249,-0.354674642632554,0.492807088790815,0.472184220709462
8,1,27243,-0.00471060451639627,0.0672779055452605,0.944219688546492
9,1,27272,-0.104574414467113,0.0660338455277663,0.114169137128857
10,1,27498,-0.272017255343517,0.604972026382717,0.653248824282678
11,1,27561,-0.383966639676568,0.45671236299728,0.401074624131962
12,1,27816,0.0431673039478895,0.0675811467443444,0.523401269760603
13,1,27822,0.0371523435179874,0.0675052921208285,0.582419237526254
14,1,27823,0.0439846103136635,0.0688855391457871,0.523551015318539
15,1,27825,0.0358403203945977,0.0675073015454384,0.595814814890767
16,1,27843,0.069831493014685,0.0645932351638074,0.280392395384389
17,1,27848,0.069831493014685,0.0645932351638074,0.280392395384389
18,1,28495,0.0856340139493798,0.0645403902101225,0.185423134978257
19,1,28975,0.0621378293950559,0.0641834849470042,0.333643273188517
20,1,29283,0.0126316518540213,0.144027673487706,0.930162505250518
21,1,29752,-0.215108577240582,0.149723497220329,0.151687367498942
22,1,29787,-0.164096134311171,0.406224150755056,0.686490678615265
23,1,30057,0.146214114594404,0.131512824768915,0.266986800148476
24,1,30479,-0.50082201773425,0.385100715515814,0.194279341438536
25,1,30706,0.0631374113939333,0.0662883759402375,0.341512514329344
26,1,31435,0.0493287403892408,0.0640445654466271,0.441681446944568
27,1,35128,-0.0594359074380186,0.0882900963189292,0.501267642753271
28,1,35129,-0.0764425971920915,0.0884794959968204,0.388197446725818
29,1,36146,0.0454093328054687,0.0637220225322016,0.476554171018553
30,1,37255,0.175365063676551,0.128372277465173,0.172787741651711
31,1,37409,0.0976623458917855,0.0639015570803183,0.127327410519397
32,1,37478,0.0943497457265082,0.0639709377814627,0.141134902096803
33,1,39144,-0.0214402447668225,0.0638647303664622,0.737286451543548
34,1,41499,-0.028191551872879,0.0636800744440473,0.658249541388656
35,1,45359,-0.0556066479343915,0.107196112677078,0.604268805200727
36,1,45634,-0.0750083904877563,0.0984194204601407,0.446491349125683
37,1,51248,0.0329317960221023,0.0639448589218819,0.60687323072055
38,1,51462,0.0281944656362657,0.0640380390895102,0.660006077529449
39,1,52124,0.00506407286246369,0.0639683091950973,0.93694597154514
40,1,52667,-0.000914384739645585,0.0638663397523855,0.988585035860676
41,1,55470,0.0168458821296436,0.0655983014903619,0.797479975317583
42,1,59265,-0.00130375401068525,0.0638341014526896,0.983716599029977
43,1,60165,-0.00323477302958973,0.0637856694187662,0.959582771105535
44,1,62308,0.00594599916948935,0.0637149652332019,0.925700807760128
45,1,62869,0.00979101073061199,0.0637056173114603,0.877940824422653
46,1,65431,0.0708289671345245,0.0664295128453765,0.287049551195342
47,1,65451,0.0896276236378565,0.0654192654502531,0.171542226328732
48,1,65719,0.0656607457339397,0.0683119699998802,0.337114836466522
49,1,66841,0.0692231159041672,0.0636311964636467,0.27739022153019
50,1,66948,0.0639499586331987,0.0640385482773282,0.318664481817781
51,1,68621,0.0260711195676681,0.0639401577555175,0.683709910199289
52,1,69417,0.0135285960282511,0.0637818374396531,0.832145709378014
53,1,69820,-0.301046041303613,0.249081336436356,0.227615749804605
54,1,69821,-0.0912404130833044,0.154788597056754,0.555935314626692
55,1,70906,-0.119557545075621,0.102266815754983,0.243162374582032
56,1,74327,-0.0457264338381708,0.0640903984313679,0.476027766791188
57,1,74572,-0.0520790650664937,0.0639057532512905,0.415658711290674
58,1,75211,-0.023971700671667,0.0638364866787358,0.70750137910136
59,1,76030,-0.00525841897229246,0.0638486223999458,0.934409034391585
60,1,80108,-0.0478556609068481,0.0637833019370139,0.453582804406165
61,1,81262,-0.0180413844870424,0.0638027812504287,0.777520425851648
62,1,81999,-0.0642432634079452,0.0638743836841999,0.31521270322498
63,1,82431,-0.0620570379166276,0.0641837063790423,0.334273007430365
64,1,83284,-0.0440004999693162,0.0637579680567596,0.490573658843363
65,1,83613,-0.0526698872603009,0.0637323096616889,0.409122049074745
66,1,84112,-0.0458387407869947,0.0637542991059682,0.472622392366045
67,1,84701,-0.0665358993115612,0.0682279092082334,0.330128556060279
68,1,84858,-0.0336294382413238,0.0639559881837347,0.599342346417483
69,1,85751,-0.0171567318832053,0.0642375187448395,0.789561427672505
70,1,87445,0.00124735581587723,0.0643797820035524,0.984552930712509
71,1,87467,-0.00604496813683253,0.0647160477394274,0.925632776462277
72,1,89070,-0.0210188841944189,0.0643020740286926,0.743954474826434
73,1,89616,0.0110580084641919,0.0639631320837393,0.862844070376378
74,1,89679,-0.0177557923795738,0.0639669593375958,0.781499152848499
75,1,89880,-0.0214233546863066,0.0639799895675226,0.737941184146684
76,1,91472,-0.0351053906435803,0.0644380506871775,0.586239984586772
77,1,93789,-0.0318068219327304,0.0637785003175241,0.618296009699879
78,1,94351,-0.0249851785256449,0.0639550528889425,0.696278476621022
79,1,99148,0.00196062762671105,0.0638008788727779,0.975501900156917
80,1,101281,0.682981035309131,0.696826359390055,0.327692764801922
81,1,106011,-0.0488679515080376,0.0664416835916407,0.462522579293405
82,1,106800,-0.0292364288872235,0.0638680705542966,0.647404473152688
83,1,107970,-0.034464278037306,0.0636713318690784,0.588653227448757
84,1,109000,-0.0686671605796116,0.063705255044946,0.281819548572262
85,1,112549,-0.0185816671828297,0.063730100068635,0.77078809241846
86,1,112742,-0.0299068369282409,0.0639662935798448,0.640401668253486
87,1,113050,-0.026538593965914,0.0638628341741229,0.677987302141123
88,1,113135,-0.03112557596836,0.0636942106482055,0.625377390197361
89,1,114076,-0.0698771375139192,0.0636071113558551,0.27270251371621
90,1,114628,-0.0318757053682347,0.0638544063575089,0.617954022823068
91,1,116283,-0.0141738645280485,0.0642277875303366,0.825468260569872
92,1,126880,-1.20476834261226,1.20347306281422,0.317475649598733
93,1,127853,-0.00503952752029097,0.0641120635606592,0.937391364080161
94,1,128302,0.017879153741066,0.0638592683788124,0.779658812318926
95,1,128704,0.0539352950042743,0.0638654478932104,0.398953959415391
96,1,128911,0.045678771518913,0.0638907668813698,0.475111845029262
97,1,130267,-0.0619845044524087,0.0638214880981099,0.332105310530876
98,1,130271,-0.0641615697688459,0.0638913500809641,0.315955945535277
99,1,130613,-0.0459163411760495,0.0645342055842444,0.477241920311434
100,1,132012,-0.0488263391405426,0.0643909643242193,0.448789710104358
101,1,133231,-0.0309706593601664,0.0639648594941069,0.628556677369167
102,1,137074,-0.0521091831383732,0.0638348717548641,0.414872126389861
103,1,137304,-0.0477170177078439,0.063866826332408,0.455480601915617
104,1,139686,-0.0517349526018537,0.0639420387974879,0.419007577674817
105,1,149562,-0.0821234543459848,0.063998216692849,0.200258659332552
106,1,150447,-0.077927120992532,0.06472609374905,0.229414754427663
107,1,151446,-0.157627165871328,0.130028461591769,0.226226945659512
108,1,154084,-0.0678423571323007,0.0649589459265519,0.297020477698497
109,1,156633,-0.0789738248725155,0.0658170953994409,0.230983501745702
110,1,157269,-0.0577645799259834,0.0638044216650033,0.365903741818887
111,1,160054,-0.0916558763861274,0.0643005605843138,0.154916876315777
112,1,166222,-0.101187058792979,0.0637814244804557,0.113528978378358
113,1,166416,-0.0822917279466332,0.0637281164857356,0.19744671481925
114,1,167326,-0.108362616618631,0.0639820171089404,0.0912155092036626
115,1,168836,-0.0670674561104057,0.0638372827299229,0.294160984306703
116,1,171200,-0.0761819679651032,0.0639042492394378,0.234012321610051
117,1,171431,-0.0866845251188983,0.0642671200704458,0.178260677190262
118,1,173339,-0.0621713232787206,0.0638457541774309,0.330835660352684
119,1,173845,-0.0589945919230125,0.0638012333910347,0.355773278303613
120,1,175121,-0.0633790113478928,0.0636624901271081,0.320152146996374
121,1,175281,-0.0728509521962717,0.0636880624085872,0.253452062010658
122,1,175315,-0.0659154502745103,0.0636893469774359,0.301399561355887
123,1,175523,-0.066096751845116,0.0640507700816755,0.30280525185201
124,1,175541,-0.069577070694876,0.0637780901797646,0.276050246778706
125,1,175653,-0.0835044921691288,0.0639333669238703,0.192363026403117
126,1,175805,-0.111376724490031,0.0674524796795542,0.0995894961690434
127,1,175818,-0.0814884894562078,0.0660145244227608,0.217874090790503
128,1,175856,-0.0926848854525224,0.0649586281959724,0.154512933292149
129,1,175876,-0.0827184231353289,0.0639960460092361,0.197010346160832
130,1,175989,-0.0851046953815827,0.0641706612208423,0.185622821246921
131,1,176001,-0.0839844830896821,0.0645108547040618,0.19381111369875
132,1,176451,-0.0792100837404192,0.0653069065793683,0.225982975705639
133,1,177692,-0.0614633410108297,0.0637019579460848,0.335276482460016
134,1,178191,-0.0694931114609752,0.0637420128197944,0.276357853526155
135,1,178224,-0.0614633410108297,0.0637019579460848,0.335276482460016
136,1,178960,-0.0544210020857959,0.0642300715063122,0.397411871472306
137,1,179139,-0.115336573688991,0.127283555865367,0.365480453821258
138,1,179139,-0.0616748291348999,0.256629523734442,0.810216797119638
139,1,180955,-0.0691621237875715,0.0737456207357075,0.348964159323701
140,1,183802,-0.0530164300716028,0.0637314956803622,0.406043724951834
141,1,183954,-0.0726851227512288,0.0641418116477551,0.257901804284802
142,1,184450,-0.085397330982202,0.0635333725816338,0.179768435483084
143,1,184641,-0.0844985653816479,0.0653948778585999,0.197158000716809
144,1,184718,-0.0517088498326381,0.0639985026609641,0.419652170279799
145,1,185296,-0.0551282491028817,0.063718379213275,0.387524298415734
146,1,185438,-0.0975610139502552,0.0635772118956033,0.125795557495911
147,1,185469,-0.0939367874528676,0.0636850161981006,0.141098006677361
148,1,185503,-0.114873014868741,0.0634217238293105,0.0709509919124932
149,1,185705,-0.105482969062214,0.0641827800637104,0.101174465611757
150,1,185749,-0.0988002403471497,0.064212900508759,0.124789203954124
151,1,185806,-0.0953969641669068,0.0643137743369021,0.138885564843962
152,1,185879,-0.0892122972268161,0.0646514976198495,0.168492236478377
153,1,185916,-0.0951371525253605,0.0645979897136559,0.141707577238736
154,1,185941,-0.0952644496459389,0.0648805839988505,0.142912038954185
155,1,185954,-0.0813937716344743,0.0651245353524335,0.212194262693978
156,1,186055,-0.103409867914855,0.0637286056674844,0.105554777922289
157,1,186896,-0.109612594519611,0.0647522480031068,0.0913758742564155
158,1,187697,-0.187939342111543,0.132213333933153,0.156058498871924
159,1,189392,-0.0218453956971807,0.133281289150306,0.869900171368222
160,1,189416,0.0642955923848367,0.128884845564211,0.618188197311578
161,1,190132,0.0124676246456449,0.064043542287057,0.845760009910262
162,1,190148,0.0140183308027549,0.0640619514312619,0.826913145501316
163,1,190165,0.012684801624654,0.0645550664897282,0.844335168673803
164,1,190169,0.0156050783131993,0.0644727413394331,0.808888567566509
165,1,190933,-0.0256610151824395,0.0639406277312674,0.68842320043347
166,1,192149,-0.0539273554649113,0.0644141740393605,0.403048251893811
167,1,192302,0.123336635117616,0.0848819829983178,0.147101924520981
168,1,192303,0.0764565073167436,0.0767597809960644,0.319908584508389
169,1,192305,0.0961761838453112,0.0797148101509947,0.22843141540419
170,1,192315,0.0999918015057437,0.0904592326619171,0.269747895174494
171,1,192795,-0.0535038427878541,0.0637705872772935,0.40203429377495
172,1,194020,0.00342135624950246,0.0672363501822777,0.959445529567843
173,1,194187,0.0155429028826898,0.063881668026317,0.80790835193814
174,1,194867,0.0367862673615257,0.0638222307614932,0.564721342572343
175,1,197325,0.0393911408554106,0.0653767385620549,0.547211360857933
176,1,197392,0.0286197934578255,0.0662336122318902,0.665929820100809
177,1,198857,-0.214475856264873,0.305958675935076,0.483767235264202
178,1,206666,0.0445148683187722,0.0717727016709404,0.535513103488595
179,1,206675,0.0529330225852709,0.0934502130553793,0.571461311485987
180,1,223051,-0.00465613629080974,0.0739955742581613,0.949862220690127
181,1,223059,0.0137415782384869,0.0768333673585787,0.858158797871362
182,2,7366,0.215817765662833,0.0918940949762456,0.0193977598759925
183,2,8180,-0.139994907299771,0.127285693723831,0.272147870744126
184,2,8187,-0.0649080420445109,0.132546183345706,0.624649440149149
185,2,8250,-0.136581719135114,0.130427087909404,0.295729227093138
186,2,8253,-0.133726922184211,0.130435467999798,0.305954659706669
187,2,8285,-0.0423026914537284,0.070785597624135,0.550478547785953
188,2,8302,-0.066151624663776,0.066199780043491,0.318347152609039
189,2,8306,-0.066151624663776,0.066199780043491,0.318347152609039
190,2,8314,-0.0598460726077694,0.0648552025172576,0.356760264874422
191,2,8317,-0.0657492233611394,0.0663219925954465,0.322187010017683
192,2,8328,-0.0746415831824281,0.0659976629969865,0.258834188803461
193,2,8331,-0.0722017991282522,0.0658808419488511,0.273849839956777
194,2,8498,-0.0738205841242506,0.0647191223637992,0.25479711826057
195,2,8651,-0.0779454190078075,0.0647662529979623,0.229593928379005
196,2,9418,0.144890477147116,0.164874816368175,0.380112482779784
197,2,9812,-0.0579076781168021,0.0652118090359939,0.375148767237939
198,2,9932,-0.0661750388666335,0.0649318407592892,0.308831526642399
199,2,10135,-0.0662070121377606,0.0646823493901046,0.306738618393713
200,2,11616,-0.0622802279577753,0.0646245502845951,0.335844053398368
201,2,12133,-0.069910977841406,0.064860111429456,0.281826345650362
202,2,12194,-0.0886140458262727,0.0650472127270723,0.173970705113385
203,2,12359,-0.0801146646611149,0.0648873416512466,0.217773367738749
204,2,13061,-0.0850755557615159,0.0648646533112588,0.190512335593054
205,2,14298,-0.0702640662104675,0.0651203406477515,0.281329783053739
206,2,15222,-0.0733338390310354,0.0657479461021009,0.265447038035279
207,2,17986,-0.0602833488346997,0.0646299143361714,0.351588219821101
208,2,19770,-0.0661259786063945,0.0650617815839116,0.31015563897856
209,2,19836,-0.0598165476698395,0.0648998553684367,0.357327815423739
