SNP,Chr,Pos,Effect,SE,TPO1_TPO2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.102257910123572,0.0763988120872478,0.18160302621229
2,1,1035,0.108840718668445,0.0772133399558885,0.159535176531563
3,1,1074,0.118022318191826,0.130700970465751,0.367144333175075
4,1,1470,-0.302396787258757,0.129383378934657,0.01998645933849
5,1,1475,-0.18551556438816,0.0957267901510904,0.0534241251679725
6,1,1491,-0.105584627280802,0.0839929568126941,0.209561104488051
7,1,21249,-0.291932026511408,0.483028341077324,0.545980157421494
8,1,27243,-0.0840309862066655,0.0657772489357226,0.202262368761833
9,1,27272,-0.104961536105524,0.0646982778037797,0.105626834246751
10,1,27498,0.362833426572008,0.592694730264163,0.540815498463706
11,1,27561,-0.150980515750228,0.447928916747622,0.736269300052163
12,1,27816,0.106178791671357,0.0660226645480693,0.108681571492575
13,1,27822,0.101414596071216,0.0659593788331567,0.125059145485359
14,1,27823,0.0949758832982487,0.0673536034992997,0.159388169135318
15,1,27825,0.103239264246591,0.0659513593019322,0.118388661024901
16,1,27843,0.122649681334593,0.0630655824898737,0.0525934016005323
17,1,27848,0.122649681334593,0.0630655824898737,0.0525934016005323
18,1,28495,0.17173278484133,0.0627412566199758,0.00651092023725665
19,1,28975,0.129151176863521,0.0626034895511235,0.0398432594611031
20,1,29283,-0.331129411931544,0.140036093166354,0.0185900477272783
21,1,29752,-0.276275117529171,0.14641262194818,0.059985729102536
22,1,29787,0.0489822090073444,0.398160926335015,0.902160372898857
23,1,30057,0.351707085337175,0.127736456653543,0.00620340411052254
24,1,30479,-0.226033280432691,0.378089262256073,0.550336389303011
25,1,30706,0.118712118357913,0.064734780329264,0.0675220158701644
26,1,31435,0.151704127011036,0.0622917575747369,0.0153705631314704
27,1,35128,0.0291291764958546,0.0865611043686384,0.736681922553841
28,1,35129,0.0018723826157081,0.0867966337781856,0.982801505652125
29,1,36146,0.154188796807401,0.0619477681179547,0.0132698805524037
30,1,37255,0.359767136628253,0.124667901876057,0.00414421354645976
31,1,37409,0.187043651700742,0.0620331099984915,0.0027538375092799
32,1,37478,0.171800769146722,0.0622124687831738,0.00605416871255743
33,1,39144,0.0657115973161455,0.0624961466043273,0.293771028114089
34,1,41499,0.0831023082052742,0.0622634063532087,0.182838239820562
35,1,45359,-0.049810627700686,0.105052914002192,0.635687528003521
36,1,45634,0.0181266799439026,0.0965201461117412,0.851139744907184
37,1,51248,0.0349128011749772,0.0626584549929389,0.577749247711233
38,1,51462,0.0322440600699096,0.0627475408882479,0.607664601413175
39,1,52124,0.02728367687966,0.0626691805271378,0.66356694896213
40,1,52667,-0.0311628501113216,0.0625635579552853,0.618724389683625
41,1,55470,0.0199541724713079,0.0642799811013237,0.756420283892908
42,1,59265,-0.0417816956401339,0.0625144260114967,0.504345157408217
43,1,60165,-0.00536601120031472,0.0625060447151567,0.931636017865249
44,1,62308,0.0343789606416045,0.0624111355281098,0.582087294545126
45,1,62869,0.0433396860701019,0.0623874809172281,0.487709311301589
46,1,65431,0.0481962947364776,0.0651515494130177,0.45993931448372
47,1,65451,0.0644758576588636,0.0641858470644744,0.315816927683111
48,1,65719,0.0576798970339106,0.0669592004298746,0.389592316188981
49,1,66841,0.0485377972287999,0.0624060848327535,0.437223527581474
50,1,66948,0.0441334047463432,0.062798939439561,0.48266035838053
51,1,68621,-0.00963933009943035,0.062670513022366,0.877847711463803
52,1,69417,-0.0469902450773025,0.062456640979806,0.4523324569033
53,1,69820,-0.509867514770882,0.243080483663919,0.0366578110789838
54,1,69821,-0.119271925222095,0.151626163062003,0.432033060149099
55,1,70906,-0.156627111497714,0.100063048602126,0.118412264040276
56,1,74327,-0.0554314674728006,0.0627810692624641,0.37787343923613
57,1,74572,-0.0583520379919429,0.0626060384721355,0.351947052266098
58,1,75211,-0.0499965764729021,0.0625121482747103,0.424370481062686
59,1,76030,-0.0420408442596116,0.0625287371846769,0.501804326034626
60,1,80108,-0.0788745069118112,0.0624129397827348,0.207152803285416
61,1,81262,-0.0452047267773854,0.0624840132431226,0.469876016947382
62,1,81999,-0.106179336663305,0.0624277503217204,0.0898545464549355
63,1,82431,-0.091690520335067,0.0627903878821952,0.145107041880068
64,1,83284,-0.123494573382103,0.0621749865020235,0.0477794465066
65,1,83613,-0.11843196686635,0.0621959576109546,0.0577002383219544
66,1,84112,-0.082438779254147,0.0623672999281686,0.187081726766903
67,1,84701,-0.0444925730077702,0.0669077296576718,0.506494900179597
68,1,84858,-0.0323569350883447,0.0626742553781831,0.605988005913652
69,1,85751,-0.0687408698067962,0.0628492131088134,0.274813617312621
70,1,87445,-0.0506751280944151,0.0630310200125387,0.421954650485101
71,1,87467,-0.0725630783742377,0.0633012638597463,0.252442001162521
