SNP,Chr,Pos,Effect,SE,TPO1_TPO2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.10390097723977,0.0736168985793965,0.159015130300138
2,1,1035,0.104483417388965,0.0744244714364219,0.161232157343766
3,1,1074,0.0768020990427392,0.126056476982843,0.542739147166843
4,1,1470,-0.126640006138192,0.125487658939894,0.313578142635827
5,1,1475,-0.148671967131241,0.0924185347826618,0.108579991267653
6,1,1491,-0.0860456300831938,0.0810090281164306,0.288883119614071
7,1,21249,-0.580783220608535,0.464785281790685,0.212283372334654
8,1,27243,-0.0333391272881463,0.0635216122172375,0.600019013231816
9,1,27272,-0.0944976915990896,0.0623896644200232,0.130759227957612
10,1,27498,0.110879177070379,0.571546925531472,0.846288739113239
11,1,27561,0.0556087019631195,0.431799705325051,0.897602258662707
12,1,27816,0.0233421400897741,0.0638571647002845,0.714929719189178
13,1,27822,0.0209594506717398,0.0637783182160244,0.74263044758977
14,1,27823,0.0128001087961802,0.0650984057641671,0.844232538975181
15,1,27825,0.0138224336476124,0.0637838310295893,0.828561499092731
16,1,27843,0.0382741317259708,0.061077155659251,0.531292308124409
17,1,27848,0.0382741317259708,0.061077155659251,0.531292308124409
18,1,28495,0.0707401513689073,0.0609960134089878,0.24693426560843
19,1,28975,0.0414761795035814,0.0606634553668259,0.494607181108475
20,1,29283,-0.197988205891122,0.13563108200826,0.145246646204849
21,1,29752,-0.318896835890308,0.140811818652804,0.0241368124083721
22,1,29787,-0.17588913029735,0.38366507454526,0.646915260496917
23,1,30057,0.239833679261821,0.123778524734484,0.0534689500392443
24,1,30479,-0.217152567573374,0.364425991914499,0.551640180156597
25,1,30706,0.0486403319423075,0.0626382367488933,0.437957414547523
26,1,31435,0.043222833605511,0.0604990524018949,0.475428428542803
27,1,35128,-0.0949709182491842,0.0832928535473856,0.254973979996413
28,1,35129,-0.100466369280721,0.0834887171409093,0.229646274984789
29,1,36146,0.0514232808618855,0.0601683731231991,0.393321085421495
30,1,37255,0.257208370890577,0.120798203543239,0.0339260453644888
31,1,37409,0.109015658387833,0.0602776289925264,0.0713702987044378
32,1,37478,0.0958775430214025,0.0603930937942741,0.113281586277363
33,1,39144,-0.0101619580894626,0.0603293113030913,0.866332451763996
34,1,41499,0.0175085629526837,0.0601571714839032,0.771186322523652
35,1,45359,-0.0340526447536575,0.101272232151014,0.736883204367754
36,1,45634,-0.0155462877507087,0.0930327922134081,0.867382751443388
37,1,51248,0.0161579940557149,0.0604143556825843,0.789276674368628
38,1,51462,0.0150713230494216,0.0604970891832591,0.803409163105337
39,1,52124,0.015320706825199,0.0604149736195821,0.799959013011131
40,1,52667,-0.0210722862968918,0.0603132173061786,0.72701169626662
41,1,55470,0.0339035850311303,0.0619390227020972,0.584470208105325
42,1,59265,0.0051128181269661,0.0602925985046295,0.932468389934639
43,1,60165,0.0405052876755432,0.060209066061858,0.501550314095563
44,1,62308,0.0101104838994012,0.0601789857683671,0.866674076329176
45,1,62869,0.0168072974525488,0.0601671833540175,0.780145000364297
46,1,65431,0.00654372017360683,0.0628446076086015,0.917128964510091
47,1,65451,0.0148711667590789,0.0619494182631785,0.810428219393974
48,1,65719,0.00232486883545413,0.0646069168027435,0.971314796053953
49,1,66841,0.0207617193545057,0.0601920499682355,0.730356469734666
50,1,66948,0.0149580638776415,0.0605664281607682,0.805075352402065
51,1,68621,-0.00799267517321406,0.0604060725262816,0.894809932226146
52,1,69417,-0.0256288054885112,0.0602322067160334,0.670731489389956
53,1,69820,-0.271993858607421,0.235305984377057,0.248497418486783
54,1,69821,0.0255637423620376,0.146267966557955,0.861357928009916
55,1,70906,-0.112649946678772,0.0965949122271353,0.244316878239155
56,1,74327,-0.0528041272362541,0.0605136586334465,0.383475113377086
57,1,74572,-0.0517906901683973,0.0603546917249865,0.391416489788398
58,1,75211,-0.0434425265537274,0.0602631299690117,0.471460053384208
59,1,76030,-0.0023219686047361,0.0603073452100361,0.96930900094108
60,1,80108,-0.0823958746612815,0.0601335095126236,0.171490382266363
61,1,81262,-0.0854706191713993,0.0600984916607747,0.155858208604523
62,1,81999,-0.11423752429792,0.060110879953388,0.0581889806309392
63,1,82431,-0.10951016180038,0.0604231337689552,0.0707757230785148
64,1,83284,-0.103362134391039,0.0600102358108657,0.0858714428736541
65,1,83613,-0.0950333049133504,0.0600425610346421,0.114370373790878
66,1,84112,-0.0860356775955517,0.0600876418195344,0.153075438118944
67,1,84701,-0.0579169243452113,0.0644563364971809,0.369507497685585
68,1,84858,-0.0579293948624698,0.0603532491351884,0.337793277162814
69,1,85751,-0.0833506888489769,0.0605179611019696,0.169295756495785
70,1,87445,-0.0701455001988162,0.0606939004460336,0.24857500964226
71,1,87467,-0.0849747220744786,0.0609594091096875,0.16420779242916
72,1,89070,-0.107238564794046,0.0604756292125336,0.0770490499220816
73,1,89616,-0.0973462204519262,0.0601950357009399,0.10673260705693
74,1,89679,-0.0871466772479827,0.0602469716099874,0.148926983571126
75,1,89880,-0.0889645328919745,0.0602548019955112,0.140708700484335
76,1,91472,-0.0757766625864663,0.0607554840772895,0.213136399396586
77,1,93789,-0.0754476513914963,0.0601279327465184,0.210386798702872
78,1,94351,-0.0871753499936718,0.0602420578295367,0.14876067829108
79,1,99148,-0.0787212327518119,0.0601160427479491,0.191220771493302
80,1,101281,0.148764725620921,0.65902029512986,0.821537251731184
81,1,106011,-0.031140834812298,0.0627823074603949,0.620193987234842
82,1,106800,-0.0289964424272914,0.060323425085194,0.631039615026585
83,1,107970,-0.031421245873946,0.0601411408695586,0.601678906070268
84,1,109000,-0.0324209331052244,0.0602457112585579,0.590816030005843
85,1,112549,-0.0245189521230313,0.0601880463609836,0.683981380546179
86,1,112742,-0.0117442246220617,0.0604335076577606,0.846026937897301
87,1,113050,-0.0213980308605992,0.060324318296825,0.723013809619945
88,1,113135,-0.029778590360849,0.0601605171847904,0.620918225688825
89,1,114076,-0.0519326561431979,0.0601178815312796,0.388258482106328
90,1,114628,-0.0264102486253812,0.0603172628403607,0.66175878748883
91,1,116283,-0.0317560101218639,0.0606456610804121,0.600863077397652
92,1,126880,-2.07874472519798,1.13293829381825,0.0673728074554209
93,1,127853,0.0407836117599562,0.0605173325992352,0.500805621160977
94,1,128302,0.0168967104884496,0.0603169404944887,0.779540253938732
95,1,128704,0.0100862832625854,0.0603813058358622,0.867431747200023
96,1,128911,0.00854763876102238,0.0603886616329004,0.887521128408349
97,1,130267,0.0252451310333967,0.0603467923576798,0.675957123527474
98,1,130271,0.0305775127345458,0.0604114727489471,0.613064448043456
99,1,130613,0.0658784587132379,0.06089727625765,0.280081424363069
100,1,132012,-0.0253704175323686,0.0608536831181788,0.67699874874219
101,1,133231,-0.0431621726639408,0.0603930627712209,0.475274463633326
102,1,137074,-0.0180709314753013,0.0603431219730931,0.764757998571561
103,1,137304,-0.0218731528610355,0.0603605377739821,0.717288632870231
