SNP,Chr,Pos,Effect,SE,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.224814107919906,0.175903281730003,0.20206971627409
2,1,1035,0.161237272434424,0.178031885207505,0.365730853597426
3,1,1074,0.0584869842153104,0.301194604432305,0.84614399957515
4,1,1470,-0.229956345456223,0.299876319607992,0.44369080031565
5,1,1475,-0.0531890534635551,0.221506619605112,0.81037351784441
6,1,1491,-0.0454342335234523,0.193762398685354,0.814744993269225
7,1,21249,-1.29145006231971,1.11034299016522,0.245570869898896
8,1,27243,-0.0622340254012377,0.151727541109385,0.681930359999501
9,1,27272,-0.048612019170077,0.149462153658078,0.745187321537433
10,1,27498,-0.450177725648262,1.3648506142835,0.741719050987896
11,1,27561,1.00530582558503,1.0298741903314,0.329661420658607
12,1,27816,0.030338774907431,0.152526204462823,0.842448750849375
13,1,27822,0.0287255101640768,0.152333213624164,0.85053802298301
14,1,27823,0.00873658494549928,0.155478084639462,0.955220848183357
15,1,27825,0.0432202770713844,0.152323516764227,0.776775970470331
16,1,27843,0.00594824851021754,0.145947345914889,0.967513357291958
17,1,27848,0.00594824851021754,0.145947345914889,0.967513357291958
18,1,28495,0.0201737849467382,0.145946102689494,0.890139329384358
19,1,28975,-0.00541907652964604,0.144974172982718,0.970203467975324
20,1,29283,-0.173623664037638,0.324763594033277,0.593252297321572
21,1,29752,0.137244950468682,0.338647131688208,0.685521461013754
22,1,29787,2.18695795925215,0.90913365262727,0.0166623373652674
23,1,30057,-0.192306043971094,0.297003665956837,0.51773759422363
24,1,30479,0.748492719646865,0.869860589878045,0.390111660065828
25,1,30706,-0.0808065629693911,0.149660733947123,0.589584632188794
26,1,31435,-0.0397431502480401,0.144574879654453,0.783556460078861
27,1,35128,0.2268558101324,0.198922737571259,0.254883797012773
28,1,35129,0.0221562076057329,0.199795710714995,0.911763179906837
29,1,36146,-0.107188268314867,0.143731605756826,0.456312964728452
30,1,37255,0.0609271906289059,0.290323032545206,0.833898013158428
31,1,37409,-0.0219209841661671,0.144617827037998,0.879605812643167
32,1,37478,-0.0240641610363375,0.144741189959465,0.868050296140181
33,1,39144,-0.0420579513710265,0.144068950161986,0.770512148597599
34,1,41499,-0.0707995719395666,0.143637255107144,0.622385927575117
35,1,45359,-0.411550711814693,0.240906782919259,0.0884523358007753
36,1,45634,-0.248876120423735,0.221797722024725,0.262588531525339
37,1,51248,-0.178201226449102,0.143986222796632,0.216676993158369
38,1,51462,-0.176271337451529,0.144189036200099,0.222333578973879
39,1,52124,-0.103715975780404,0.144192644342104,0.472439657341178
40,1,52667,-0.211543458459903,0.143626365371712,0.141676232228408
41,1,55470,-0.137923406679884,0.147805496602434,0.351384855473387
42,1,59265,0.0738258810502908,0.143940715078926,0.608348451118943
43,1,60165,0.040820502782106,0.14386912146837,0.776780888863991
44,1,62308,-0.0783175596886692,0.143666823473814,0.586006140650394
45,1,62869,-0.0655356325509536,0.14366689355438,0.648552726591971
46,1,65431,-0.0563587728509378,0.150059993917082,0.707458508752488
47,1,65451,-0.0500487421851007,0.147937839923662,0.735331262717628
48,1,65719,-0.0042568028341321,0.154296592024258,0.978005988689767
49,1,66841,-0.0276640072938867,0.143769420701609,0.847524445768302
50,1,66948,-0.0606869338498607,0.144623270934654,0.675017746683394
51,1,68621,-0.244393456503108,0.143679837987885,0.0898314089412843
52,1,69417,-0.144704710574918,0.143679246874516,0.314558712248971
53,1,69820,-0.617883680334704,0.562067163886413,0.272383873889642
54,1,69821,-0.255473009474549,0.349072603787199,0.464738328497757
55,1,70906,-0.149866670502979,0.230997613063775,0.516902318602034
56,1,74327,-0.0552984555152507,0.144646656583142,0.702468716853606
57,1,74572,-0.0308243289061856,0.144282095180233,0.830951671782586
58,1,75211,0.0162005236202167,0.14402581093798,0.910504008958298
59,1,76030,0.0448318700429401,0.144008624611517,0.755745854732884
60,1,80108,-0.0566437387536882,0.143962773025284,0.694216546878392
61,1,81262,-0.0623032272958134,0.143901698333028,0.665310523501071
62,1,81999,-0.115518764004914,0.144160366418277,0.423484737939703
63,1,82431,-0.144606935761341,0.144770009299934,0.318540154040505
64,1,83284,-0.0371383683543932,0.143905927984659,0.796500244131144
65,1,83613,-0.0264502851171984,0.143896757585011,0.8542646602188
66,1,84112,-0.0600171963199669,0.143884047794444,0.676842757432843
67,1,84701,-0.037530292962236,0.154099850178645,0.807724474806654
