SNP,Chr,Pos,Effect,SE,MID2_TPO2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.102472370410722,0.0703639769409018,0.146193402531559
2,1,1035,0.0824778908059066,0.0712119450120839,0.247564175053102
3,1,1074,0.0286006815119677,0.120562005206704,0.812617542981109
4,1,1470,-0.137291380796624,0.119914983090111,0.253023768370932
5,1,1475,0.089816248632939,0.0885451661239769,0.311108039245649
6,1,1491,0.0639837154832352,0.0774923890755854,0.409544769147427
7,1,21249,-0.112713027680099,0.445269588488298,0.800311747048044
8,1,27243,-0.0160124562807455,0.060743504166978,0.79223602490346
9,1,27272,-0.0574150724991342,0.0597590796861394,0.337322581176118
10,1,27498,-0.981888316292749,0.543915285040273,0.0718917351798561
11,1,27561,-0.251634654533627,0.412586993261726,0.542323901130068
12,1,27816,-0.0287262781906306,0.0610389836067519,0.638201475054799
13,1,27822,-0.0301870096944375,0.0609593570922348,0.62076779157571
14,1,27823,-0.015982686385248,0.0622307806054691,0.797460193833838
15,1,27825,-0.0337944895030879,0.0609539937890569,0.579638296628479
16,1,27843,-0.00732351091787276,0.0584200942492485,0.900310350370245
17,1,27848,-0.00732351091787276,0.0584200942492485,0.900310350370245
18,1,28495,-0.00167139732265348,0.0584222728405652,0.977192675898678
19,1,28975,-0.00423142566442769,0.0580313836404649,0.941914131613213
20,1,29283,0.104545204136057,0.129933131090005,0.4215876293216
21,1,29752,-0.342882180951801,0.134354786078548,0.0111292555590987
22,1,29787,-0.100042719515752,0.366849099468708,0.785237068074407
23,1,30057,0.145112444656583,0.11870716555482,0.222356675689039
24,1,30479,-0.041460948893282,0.348554453722824,0.905381729557792
25,1,30706,-0.0142364070378387,0.0599276313054603,0.812360209381468
26,1,31435,0.00205412354361639,0.0578779635471131,0.971708603573432
27,1,35128,-0.110273570806804,0.0795571177423429,0.166593405579104
28,1,35129,-0.0813987367970217,0.0798601794204385,0.30877491607607
29,1,36146,-0.0261174909348329,0.057562840775298,0.650308193305484
30,1,37255,0.068959619432797,0.116162673320041,0.553128453516553
31,1,37409,0.0139626563689983,0.0578861778023548,0.809533322717068
32,1,37478,-0.00244207099559499,0.057940567611941,0.966404655715336
33,1,39144,-0.079492020608392,0.0575209225863833,0.167855696230685
34,1,41499,-0.0432855417457736,0.0574701740668538,0.451842146021783
35,1,45359,-0.15054178416357,0.0964982933824847,0.119645036235536
