SNP,Chr,Pos,Effect,SE,ADE17_PGM2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.2475110571623,0.164910801698304,0.134280918301172
2,1,1035,0.0112534057454781,0.167244931499475,0.946391339104532
3,1,1074,0.600804431278046,0.280819152646801,0.0330829219868596
4,1,1470,-0.5058291999827,0.280326312004105,0.072016119865406
5,1,1475,-0.0546030457252451,0.207842187862157,0.792924308900927
6,1,1491,-0.16822709472454,0.181605958635908,0.35490724555459
7,1,21249,0.0373962014576543,1.04385684534384,0.971442125413798
8,1,27243,-0.00916623560069763,0.14240305963718,0.948713446166402
9,1,27272,-0.122541987595517,0.140113589513368,0.382391504938792
10,1,27498,-0.458740171179745,1.28064009862216,0.720399060133434
11,1,27561,0.769875003523777,0.966793643932914,0.42638253761794
12,1,27816,0.0186219883614188,0.143123968159288,0.896552796286733
13,1,27822,0.00376911702888455,0.142945349686714,0.978979085058766
14,1,27823,0.0133263176780921,0.14588813540541,0.927269371583366
15,1,27825,0.027812203732461,0.142937825540804,0.845837189559812
16,1,27843,0.139143414643852,0.13674618945519,0.309598022635372
17,1,27848,0.139143414643852,0.13674618945519,0.309598022635372
18,1,28495,0.154936247395803,0.136700295791287,0.257815080721932
19,1,28975,0.100042653347224,0.135929125156906,0.462224764331267
20,1,29283,-0.0875143206855933,0.304822042906452,0.774204423762609
21,1,29752,-0.0946773261659182,0.31779554556531,0.765940263322778
22,1,29787,0.973105408649699,0.858466814891834,0.257757324777224
23,1,30057,0.341114118684513,0.278260178640524,0.221060304273538
24,1,30479,-0.666456555981015,0.816298452572692,0.414800645029804
25,1,30706,0.0792493416254087,0.140425273457426,0.572872721651964
26,1,31435,0.0786940325472861,0.135608292721814,0.56207987913439
27,1,35128,0.208689050907131,0.18666783400174,0.26434003536579
28,1,35129,-0.0216810821166251,0.187473324154192,0.907996572306262
29,1,36146,0.0628060756700488,0.13493197215606,0.641885710968578
30,1,37255,0.539356008668762,0.270918107197239,0.0472685014059312
31,1,37409,0.242123435574471,0.135089871983956,0.073938936460121
32,1,37478,0.165436648408104,0.135534083702833,0.223041761009307
33,1,39144,0.128967310012138,0.135025666798164,0.340164658920021
34,1,41499,0.0938715719804726,0.13473240973765,0.486432828126772
35,1,45359,-0.208326519566901,0.22671073597324,0.358770666514797
