SNP,Chr,Pos,Effect,SE,SSH1_ORM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.195449461498322,0.146594279308265,0.183303625686786
2,1,1035,-0.0864258457791552,0.148499452267843,0.560941967120284
3,1,1074,-0.116139093725431,0.250997886224598,0.643857740953828
4,1,1470,0.349355799556468,0.24947785226852,0.162287481080542
5,1,1475,0.055997046995488,0.184627734876505,0.761842165299303
6,1,1491,0.0257388747996425,0.161517300220494,0.873478935550577
7,1,21249,-1.5483328543097,0.923628370190782,0.0945532206321431
8,1,27243,0.0109003142467428,0.126501205769454,0.931381983526464
9,1,27272,-0.109016908624,0.12446758175729,0.381698545042299
10,1,27498,-0.232989212181581,1.13777813739035,0.83786546440308
11,1,27561,0.873018123647564,0.858352073311829,0.309808962811753
12,1,27816,-0.116997811536022,0.126992666737006,0.357525210098113
13,1,27822,-0.128258069355479,0.126800030039115,0.312470599199988
14,1,27823,-0.0591866912032879,0.129560952692821,0.648077761583675
15,1,27825,-0.134321274742437,0.126782244409624,0.290112724564028
16,1,27843,-0.0635447436429598,0.121607586500621,0.601622668036595
17,1,27848,-0.0635447436429598,0.121607586500621,0.601622668036595
18,1,28495,-0.0618074527008003,0.121612093532907,0.611606397792596
19,1,28975,-0.0745538219651603,0.120778207423688,0.53744883210126
20,1,29283,0.338817930524211,0.270214984733162,0.21071432786069
21,1,29752,-0.090941785546347,0.282303285010667,0.747535703863219
22,1,29787,0.693039254164724,0.763102833884202,0.36439958990543
23,1,30057,-0.0294552680297553,0.247709235413471,0.905413777358836
24,1,30479,-0.0154959694402796,0.725831327100527,0.982979102873388
25,1,30706,-0.116795107652093,0.124646201599485,0.34939250126219
26,1,31435,-0.10951133927183,0.120382177897475,0.363602884604112
27,1,35128,0.0995222655036239,0.166032624174572,0.549281416554976
28,1,35129,0.0646598634792745,0.166506934495745,0.69800492908893
29,1,36146,-0.0631513873793492,0.119854613086691,0.598594026543698
30,1,37255,-0.0818389620995674,0.241974484299236,0.735403596622764
31,1,37409,0.0399804103532035,0.120531243934731,0.740311413785174
32,1,37478,0.0177395301665242,0.120649961778472,0.883189882658675
33,1,39144,-0.0863384640758807,0.120015138314124,0.472372669493218
34,1,41499,0.0083463764986197,0.119769119723558,0.944482076948716
35,1,45359,-0.000429078540845396,0.201636083818568,0.998303317031781
36,1,45634,-0.109908006303674,0.185116372405959,0.553077079667335
37,1,51248,-0.164298249019623,0.119961434843379,0.171684838347821
38,1,51462,-0.154598268376914,0.120161435728523,0.199081026358461
39,1,52124,-0.019723947325402,0.120275158628883,0.869832712288957
40,1,52667,-0.017309928044114,0.120083441305022,0.885464938849896
41,1,55470,-0.0921650600050313,0.12325746804112,0.455112279640929
