SNP,Chr,Pos,Effect,SE,ERV25_PIS1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0803747394892028,0.0947800275015212,0.397005101720202
2,1,1035,0.122746743021474,0.0956917027384109,0.200427839975186
3,1,1074,-0.0669964177648978,0.162049460659516,0.679541242016353
4,1,1470,-0.255762447779775,0.160930264187931,0.112893511563715
5,1,1475,-0.266477553878547,0.118360999327455,0.0249749159005878
6,1,1491,-0.214144008108294,0.103651532548805,0.0395577104394226
7,1,21249,-0.56316505346723,0.597895113018536,0.346881440229937
8,1,27243,0.0251629333973897,0.0816566968384698,0.758146016943515
9,1,27272,-0.000274723853243231,0.0804412146561199,0.997276989031608
10,1,27498,-0.925349472858346,0.732919026128865,0.207583108561255
11,1,27561,0.434747947725117,0.554464828188186,0.433515631963931
12,1,27816,-0.0618620312967073,0.0820165399306326,0.45119424301949
13,1,27822,-0.0586941684097365,0.0819187355469829,0.474160978359565
14,1,27823,-0.0808496111319813,0.0835561212918452,0.333902405774137
15,1,27825,-0.072457571041268,0.0818875182938439,0.376843788909426
16,1,27843,-0.0381867609269711,0.0785116445885116,0.626997172175222
17,1,27848,-0.0381867609269711,0.0785116445885116,0.626997172175222
18,1,28495,0.0214345958926489,0.0785309334679609,0.785055390070718
19,1,28975,0.013581077855019,0.0780108811906772,0.861892880307387
20,1,29283,-0.0236070211132668,0.174829291365995,0.892665920209309
21,1,29752,-0.549727721469956,0.179912866394329,0.00241767800843046
22,1,29787,0.429999559056036,0.492688892137741,0.383386733896399
23,1,30057,-0.0100091150340198,0.159918780315802,0.950129419376375
24,1,30479,-0.0500228227818793,0.468575913247768,0.915043989786988
25,1,30706,-0.0290822534573014,0.0805544046275557,0.718295797589458
26,1,31435,0.0327686070526794,0.0777879834357026,0.673824983004998
27,1,35128,-0.154024026973478,0.106928310481499,0.150628726284424
28,1,35129,-0.0338560869560411,0.10750162963587,0.752996651470129
