SNP,Chr,Pos,Effect,SE,ERV25_RBD2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.00454677273832688,0.0869478068360231,0.958324708657137
2,1,1035,-0.00439026379443538,0.0878990385479543,0.960193139378198
3,1,1074,-0.199268488899639,0.148164595713235,0.179516773462302
4,1,1470,-0.0474810108767749,0.147987208709486,0.748517434296413
5,1,1475,-0.0796141749221992,0.109163919823859,0.46629659300921
6,1,1491,-0.0593812043857912,0.0955101576699114,0.534522981935044
7,1,21249,-0.152589647030221,0.548559891161368,0.781049279266338
8,1,27243,-0.0326524272053875,0.0748229213161436,0.662816189305656
9,1,27272,-0.0884362761839859,0.0735687035349555,0.230134045106814
10,1,27498,-0.0250386522236155,0.67318599612281,0.970351143105382
11,1,27561,0.341987355729948,0.508247308684416,0.501466499833562
12,1,27816,0.126650365350217,0.0749207110690223,0.0918229961901906
13,1,27822,0.112684950357075,0.0748879634734506,0.133291874039428
14,1,27823,0.110849277893803,0.0764478907160239,0.147947004870068
15,1,27825,0.108924439882784,0.0749037240660339,0.146781450667974
16,1,27843,0.0879332596033705,0.0718225792108483,0.221650932383765
17,1,27848,0.0879332596033705,0.0718225792108483,0.221650932383765
18,1,28495,0.104820559683812,0.0717595249654401,0.144981825098177
19,1,28975,0.105949069275308,0.0712722175629413,0.138028690463952
20,1,29283,-0.198056819475449,0.159876630153872,0.216238851435401
21,1,29752,0.0567887520275243,0.167017200203862,0.734045664221493
22,1,29787,0.437266624655685,0.451404560946401,0.333368032533289
23,1,30057,0.325958430819029,0.145525450999671,0.0257211549441668
24,1,30479,0.40872746826412,0.428874814166391,0.341230640440506
25,1,30706,0.0967766727090637,0.0736566010120528,0.189736427652052
26,1,31435,0.130975424778707,0.0709639493007697,0.0657786025517552
27,1,35128,0.0368829214697541,0.0982607859743171,0.707620057928668
28,1,35129,0.00790782164878134,0.0985311732918063,0.93607829459955
29,1,36146,0.102076023991205,0.0707294939776014,0.149854045110582
30,1,37255,0.0922886086117751,0.143099054403958,0.519392657130897
31,1,37409,0.114021649798808,0.0710627340951869,0.109493512929079
32,1,37478,0.0992368977957134,0.0711870311946679,0.164185231681796
33,1,39144,0.0638406255501632,0.0709756838259219,0.369014576704365
34,1,41499,0.102492453393411,0.0706495840775097,0.147747071347083
35,1,45359,-0.117901215062855,0.119129442178924,0.323003563852563
36,1,45634,0.0797417949137953,0.109493437315762,0.466925508789491
37,1,51248,0.0620900452993495,0.0710847124630086,0.383003192327961
38,1,51462,0.0660520204967427,0.0711712087903838,0.354004254763892
39,1,52124,0.0649457583147081,0.0710774834023033,0.361481445434928
40,1,52667,0.0203637235570056,0.0710391754019498,0.774544790113303
41,1,55470,0.0747929234291185,0.0728722908395243,0.305426524784391
42,1,59265,-0.0065678135320851,0.0710107408966322,0.926360866466898
43,1,60165,0.0123546507174146,0.0709548932041166,0.861871137061258
44,1,62308,0.0598387113417112,0.070808311281405,0.398638396010505
45,1,62869,0.0602430638904686,0.0707984285888145,0.395396381624538
46,1,65431,0.0973183827616699,0.0738362366495756,0.188348220835235
47,1,65451,0.100867721507358,0.0727704199524805,0.166588603203857
48,1,65719,0.0716772706994915,0.0759966015338272,0.346241991971364
49,1,66841,0.0453166674938128,0.0708633645694918,0.52291665964644
50,1,66948,0.0363286756341683,0.0713133405635604,0.610773867775602
