SNP,Chr,Pos,Effect,SE,PLM2_SNA3_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.12090499134477,0.0758841026913975,0.111991283412873
2,1,1035,0.0923700172004814,0.0768324816119101,0.230081764997172
3,1,1074,0.137577987191308,0.129900806893877,0.290278249293196
4,1,1470,-0.187049631624861,0.129255656125017,0.148748182321931
5,1,1475,-0.18139773902991,0.0951985826526034,0.0575316382507925
6,1,1491,-0.0611032431484024,0.0836383835565117,0.465529723254506
7,1,21249,-0.108388147482986,0.480492741661882,0.821660913039077
8,1,27243,0.00751286910748372,0.0655526401208159,0.908820851647945
9,1,27272,-0.041048283284721,0.0645324166195441,0.525131385261439
10,1,27498,-0.183808170119171,0.589552691275473,0.755395095847804
11,1,27561,-0.695356664972096,0.443910828122515,0.118143197703472
12,1,27816,0.0168803568722594,0.0658807900366604,0.797925756438952
13,1,27822,0.0110231814363039,0.0658005606716936,0.867053595075723
14,1,27823,0.00785143016631112,0.067157279792202,0.906997003573994
15,1,27825,0.00383349775040231,0.0658028599399635,0.953576633391528
16,1,27843,0.00202797970587864,0.0630415622828155,0.974355513090314
17,1,27848,0.00202797970587864,0.0630415622828155,0.974355513090314
18,1,28495,0.0277480866395567,0.0630253738453536,0.660012114990959
19,1,28975,0.00716913750342421,0.0626201086994341,0.908917484857726
20,1,29283,-0.0432130620499298,0.140318564145693,0.758291382208262
21,1,29752,-0.164807860979727,0.146048425613917,0.259897659660791
22,1,29787,-0.230914629147426,0.39571226810075,0.559901310431014
23,1,30057,0.0842230421957373,0.128287681275056,0.511919279213618
24,1,30479,-0.565499056197969,0.374921240398366,0.132368566462643
25,1,30706,-0.0177290171406849,0.0646652967508813,0.784117522518486
26,1,31435,-0.0140377981616126,0.062450888462175,0.82227939536768
27,1,35128,0.0607192054305434,0.0860215176944206,0.480740356881008
28,1,35129,-0.0117773739287934,0.0863003683208024,0.891527876680833
29,1,36146,-0.0167309797589132,0.0621269299408394,0.787853726964949
30,1,37255,0.0338785249535221,0.12539899831397,0.787190553186916
31,1,37409,0.0572228471866161,0.0623949684002087,0.359712839037316
32,1,37478,0.0433509456143934,0.0624803694276373,0.488243226808543
33,1,39144,-0.0229745820117595,0.062225636815375,0.712189518482814
34,1,41499,-0.0298171991994435,0.0620447238454087,0.631115639327929
35,1,45359,-0.0191365015534362,0.104483246211306,0.854782508374331
36,1,45634,-0.0566798962549122,0.0959281242149357,0.554993703985153
