SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.130528473120447,0.149280541167945,0.382503814525423
2,1,1035,-0.048752293901567,0.151054712825159,0.747078743486635
3,1,1074,0.262483429012565,0.254926968748527,0.30388321378821
4,1,1470,-0.317599626514359,0.253827828122419,0.211675382573039
5,1,1475,-0.0823414515014074,0.187715625147195,0.661183531642002
6,1,1491,-0.0384103504259259,0.164235205080181,0.815218344013875
7,1,21249,-0.866053594163454,0.941813234334872,0.358430772683571
8,1,27243,0.0314927748570304,0.128625653150245,0.806722163491179
9,1,27272,0.0472152629263733,0.126679821339268,0.709585469277788
10,1,27498,-1.00257656568203,1.15580947993187,0.386299154016554
11,1,27561,0.440878736039475,0.873795022215218,0.614185351549125
12,1,27816,-0.0549931242201815,0.129256995897214,0.670763773098111
13,1,27822,-0.0716118995902277,0.129069542996157,0.5793610236973
14,1,27823,-0.072163200133085,0.131729540274548,0.584166291847361
15,1,27825,-0.0751070887759027,0.129063915204558,0.560980460741165
16,1,27843,-0.0478364991197856,0.123680661514507,0.699156368043641
17,1,27848,-0.0478364991197856,0.123680661514507,0.699156368043641
18,1,28495,-0.0334221817608194,0.123696078007263,0.787167388732597
19,1,28975,-0.0150352061415066,0.122879339764267,0.902685540666741
20,1,29283,0.098081504444564,0.275335124815134,0.721884200707063
21,1,29752,-0.344431838168048,0.286521932828621,0.23012539995493
22,1,29787,1.02489298331689,0.774964551354907,0.186856876217207
23,1,30057,-0.132244897613265,0.251794657580116,0.59976741275388
24,1,30479,-0.319193898048191,0.73788068497727,0.665582626574877
25,1,30706,-0.0993953059941936,0.126796139115765,0.433625324845527
26,1,31435,-0.0578926954493773,0.122517631439254,0.63684380260126
27,1,35128,0.0797858984778568,0.168866030011654,0.636875860337821
28,1,35129,-0.0362048104580079,0.169341026428663,0.83082784524456
29,1,36146,-0.11808704058316,0.121762315046881,0.332802237784267
30,1,37255,-0.0363439241338845,0.246088740889369,0.882674699454279
31,1,37409,0.0113099252213376,0.12258217070885,0.926540603183223
32,1,37478,-0.00993642546571155,0.122687886698839,0.935496234148013
33,1,39144,-0.0857641113526866,0.122043828003411,0.482685897718129
34,1,41499,-0.135796053450801,0.121575751910897,0.264768278805497
35,1,45359,-0.365765411497004,0.204111296201079,0.0739908803668357
