SNP,Chr,Pos,Effect,SE,ALO1_UIP4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.103424289199113,0.196131485062952,0.598301808637063
2,1,1035,0.177251058270198,0.198130747411944,0.371601635069717
3,1,1074,0.182883059446869,0.335065010474759,0.58553878370188
4,1,1470,0.232989376538002,0.333768954370295,0.48560181877717
5,1,1475,0.188131746364631,0.24632331356626,0.445520805146205
6,1,1491,0.192340083464918,0.215404756556753,0.372506168834173
7,1,21249,-0.840803571971942,1.23721652522806,0.497207651816165
8,1,27243,-0.0954393088502492,0.168815859648066,0.572197833647917
9,1,27272,-0.0235723595537995,0.166351157734233,0.8873959082512
10,1,27498,-0.468008041529965,1.51892216517531,0.758173885225797
11,1,27561,1.53570918766876,1.14474072778898,0.180609362497237
12,1,27816,-0.105295406296092,0.169657812070677,0.535240955120684
13,1,27822,-0.103068491888324,0.169445826686654,0.543400839446755
14,1,27823,-0.128669571861742,0.172891069066223,0.457236475810872
15,1,27825,-0.0915370974637698,0.16946458429749,0.589430933461785
16,1,27843,-0.100398791862966,0.162331920527291,0.536658872683238
17,1,27848,-0.100398791862966,0.162331920527291,0.536658872683238
18,1,28495,-0.107891268383008,0.162320934357387,0.506689988882918
19,1,28975,-0.0940432947846647,0.161259113393465,0.560143658680826
20,1,29283,-0.6100234298776,0.360103050119976,0.091142663565756
21,1,29752,-0.0629213947864384,0.376940805144495,0.86752349010125
22,1,29787,2.44738771652112,1.0116486586305,0.0160592763440574
23,1,30057,-0.479980609709635,0.329732572380606,0.146373625278568
24,1,30479,1.08413313173586,0.967331263104718,0.263157660266982
25,1,30706,-0.152628586148971,0.166422569421674,0.359708679411004
26,1,31435,-0.162094396394131,0.160677867201375,0.313753899581624
27,1,35128,0.318542434707397,0.22113228005209,0.1506105614691
28,1,35129,0.0233635102517802,0.222345739855404,0.916374079535415
29,1,36146,-0.224599314988586,0.159632629199372,0.160314254952287
30,1,37255,-0.415763324396515,0.322351385905047,0.197970377153645
31,1,37409,-0.166887133355655,0.160699833560287,0.299747115307562
32,1,37478,-0.165512164037454,0.160842424334431,0.304168725306998
33,1,39144,-0.103793860454931,0.160253229085908,0.517608716519699
34,1,41499,-0.113966064679533,0.159788558922701,0.476174406859211
35,1,45359,-0.289744158277583,0.268760233616214,0.281735647109901
36,1,45634,-0.517026035551746,0.245734355478753,0.03608497990076
37,1,51248,-0.244975470114007,0.160054056147509,0.126768956152688
38,1,51462,-0.230065902097052,0.160335111885793,0.15219909711183
39,1,52124,-0.165748311070911,0.160341771062447,0.301975281736421
40,1,52667,-0.226020459498233,0.159874960127615,0.158321664843406
41,1,55470,-0.215643076010953,0.164289651812413,0.19017774226574
42,1,59265,0.0449910834882715,0.160228142563786,0.779032990540011
43,1,60165,-0.00331271385927467,0.16012484583192,0.983505976046626
44,1,62308,-0.0740566472151112,0.159900265894697,0.643547457237409
45,1,62869,-0.0691796158484965,0.159886359483741,0.665511547062097
46,1,65431,-0.081586680661741,0.166973188284192,0.625413136482383
47,1,65451,-0.0848204371166218,0.16459940331785,0.606655913995082
48,1,65719,-0.0261083532937801,0.171705600139031,0.879231991912155
49,1,66841,-0.049405726333276,0.159982514605522,0.757640983340177
50,1,66948,-0.0854730440757738,0.160921797290978,0.595651319721997
51,1,68621,-0.182085868696138,0.160257198710678,0.256639359166193
52,1,69417,-0.136152773694987,0.159960879455946,0.395255854023599
53,1,69820,-0.626173855702261,0.625686782352433,0.317619441056436
54,1,69821,-0.437303913051925,0.388067379673188,0.260560238973381
55,1,70906,0.0341119081990513,0.257215611437069,0.8945695582041
56,1,74327,-0.0381764960826844,0.160992475602465,0.812691808481436
57,1,74572,-0.00925831213585915,0.16057589434681,0.954054529081633
58,1,75211,0.00894468541600546,0.160283226475624,0.955528326278675
59,1,76030,0.00418406448177439,0.160283778799033,0.979189053938667
60,1,80108,-0.0833746382144265,0.160184580364114,0.603047669921995
61,1,81262,-0.0563045023565761,0.160157420212084,0.7253800799849
62,1,81999,-0.03692807438826,0.160564621084992,0.81823363931807
63,1,82431,-0.0967063078611284,0.161254651553589,0.549083102747364
