SNP,Chr,Pos,Effect,SE,SNA4_GTR2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0627473490870342,0.0599700630760927,0.296133284980719
2,1,1035,0.0447986918617203,0.0606732344687412,0.460786287055669
3,1,1074,0.0624826495093362,0.102558736507367,0.542758787550513
4,1,1470,-0.278342225730901,0.10116412934613,0.00624037368637052
5,1,1475,-0.0858423652922999,0.0753277964115304,0.255232254615183
6,1,1491,-0.0957214946400875,0.0658167669910428,0.146734146649498
7,1,21249,0.00115307703414302,0.378981691546231,0.997574105507959
8,1,27243,-0.00752736606111548,0.0516993796139732,0.884321241737114
9,1,27272,-0.00497582596605928,0.0509238126168799,0.922217091329856
10,1,27498,0.11141799789579,0.464993842763942,0.81077030806746
11,1,27561,-0.00776660880195523,0.351317446418756,0.982375016174738
12,1,27816,-0.0549218381499473,0.0518813196263085,0.290503429770578
13,1,27822,-0.0657426174885987,0.0517794662017774,0.205040065193373
14,1,27823,-0.0609994676701643,0.052866941771076,0.249350436160062
15,1,27825,-0.0689635882172855,0.051767595896317,0.183661510756382
16,1,27843,-0.0377928988022676,0.0496789027156637,0.447318176545739
17,1,27848,-0.0377928988022676,0.0496789027156637,0.447318176545739
18,1,28495,-0.0211590733381304,0.0497076586065335,0.670607518634259
19,1,28975,-0.00743978229335079,0.0493864744970786,0.880342494530771
20,1,29283,0.145357193988066,0.110410402722143,0.188854636512727
21,1,29752,-0.276981566008885,0.114447263457596,0.0160176280302519
22,1,29787,-0.314100366944603,0.311792451136353,0.314431620115096
23,1,30057,0.0705992592737532,0.101169752163929,0.485743081627129
24,1,30479,-0.514135457572777,0.295378840083375,0.0826256445889346
25,1,30706,-0.0207279782793298,0.0509936381287779,0.684635056659892
26,1,31435,-0.0267061255434945,0.0492366961133853,0.587883251002383
27,1,35128,-0.112218753743236,0.0676279570020743,0.0979324994846035
28,1,35129,-0.0787898714962951,0.0679357488138049,0.246926128617304
29,1,36146,-0.0397715052307227,0.0489574763542915,0.417127790697487
30,1,37255,-0.000563544946598604,0.0989097368857133,0.995457241551772
31,1,37409,0.0197921109627371,0.0492569088698817,0.688064149820463
32,1,37478,0.0091266113755121,0.0493081323044975,0.853262052842228
33,1,39144,-0.0620446377371462,0.0489742987837073,0.206032849838625
34,1,41499,-0.0600459975379253,0.0488449130476018,0.219770868035079
35,1,45359,-0.0730920393796994,0.0823157469361531,0.375173751466381
36,1,45634,0.0907069053525933,0.0755397499383401,0.230640215259571
37,1,51248,-0.0610364609209451,0.0490502447934258,0.214190438602849
38,1,51462,-0.0593386237476319,0.0491229423340448,0.227870717422219
39,1,52124,-0.0634017644991752,0.0490417445287182,0.196921534787778
40,1,52667,-0.0724172228300893,0.0489273409061563,0.139739203310768
41,1,55470,-0.0706099931696221,0.0502742945228121,0.161050781702995
42,1,59265,-0.0121331311645633,0.0490499154079735,0.804771162905793
43,1,60165,-0.0346630324978831,0.0489823653006778,0.479621194534009
44,1,62308,-0.0509882185005518,0.0488879235111856,0.297679887805183
45,1,62869,-0.0576578836747429,0.0488607624691134,0.238777035280128
46,1,65431,-0.0600074562613493,0.0510308999916349,0.240425545235025
47,1,65451,-0.0468493447220643,0.0503440436160157,0.35270492723481
48,1,65719,-0.0216204698109432,0.0525512667918863,0.681016666448492
49,1,66841,-0.0426561086938807,0.0489274662207172,0.383897310206771
50,1,66948,-0.0573710443656534,0.0491860159720971,0.24423626299605
51,1,68621,-0.0644777828047986,0.0490272442246144,0.189315866454498
52,1,69417,-0.0671772121832807,0.0488865195443362,0.170268221733756
53,1,69820,-0.17835760397319,0.191570332563491,0.352474661584074
54,1,69821,-0.14079757087667,0.118771637595428,0.23663784818372
55,1,70906,0.0123182186522546,0.0787375129318904,0.875770416959992
56,1,74327,-0.0436423044046006,0.0492318224885849,0.375970331969
57,1,74572,-0.00582364853554163,0.049154396138297,0.905757378599872
58,1,75211,-0.00626813526063985,0.0490646333247053,0.898417495098087
59,1,76030,0.0351241373111803,0.0490301400157795,0.474231337326784
60,1,80108,-0.015964076224008,0.0490468069866591,0.745005697355756
61,1,81262,-0.0733308453911765,0.0488800441119494,0.134451133045389
62,1,81999,-0.0640053831767404,0.049037183691734,0.192660637475441
63,1,82431,-0.0557743738069661,0.0492987652281013,0.258673969851648
64,1,83284,-0.0669135687887397,0.0488991494107878,0.172057363647325
65,1,83613,-0.0571068903972906,0.0489289533910334,0.243942034403781
66,1,84112,-0.03930481415137,0.0489840212799179,0.422861063605781
