SNP,Chr,Pos,Effect,SE,MID2_MAM33_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.102797241608285,0.0606234259776262,0.0908303818488933
2,1,1035,0.0934478927395042,0.0613343998016973,0.128508884554382
3,1,1074,0.181989833235427,0.10353895467921,0.0796662589437932
4,1,1470,-0.118175860654567,0.103425488280924,0.253971465122613
5,1,1475,0.0270858618088532,0.0764663965743647,0.723386147817465
6,1,1491,-0.0905406404108682,0.066726647643439,0.175683574813577
7,1,21249,0.231744561326422,0.383874526091394,0.546431696334863
8,1,27243,-0.0726152109463447,0.052252700617614,0.165497941939646
9,1,27272,-0.0706287071864227,0.0514714887322004,0.170875342015989
10,1,27498,-0.632917744866539,0.470073023814633,0.179029618164617
11,1,27561,-0.171232967157235,0.355920349199324,0.630744117932231
12,1,27816,-0.0419388783803017,0.052614315457323,0.425928678476763
13,1,27822,-0.0427770886713841,0.0525454100681312,0.416137901768649
14,1,27823,-0.0355813365180722,0.0536446337109619,0.507585053543714
15,1,27825,-0.0402960677733146,0.0525509656389681,0.443713091422224
16,1,27843,-0.00413028799752019,0.0503870240596463,0.934716023469253
17,1,27848,-0.00413028799752019,0.0503870240596463,0.934716023469253
18,1,28495,-0.00892873006205702,0.0503860784146377,0.859447987800886
19,1,28975,-0.00662051334397606,0.0500502619887001,0.894840329091983
20,1,29283,0.0407335598778902,0.11214697553651,0.716661047749749
21,1,29752,-0.292348035642379,0.115903130225645,0.0120964776289043
22,1,29787,-0.405656804867751,0.315697261215314,0.199650459071351
23,1,30057,0.159004471645215,0.102249851880675,0.120828269580651
24,1,30479,-0.263802190596807,0.300300513607546,0.380291310174554
25,1,30706,-0.0180805209288848,0.0516817810891685,0.726664987713196
26,1,31435,0.00502429629438253,0.0499181759200583,0.919884937340342
27,1,35128,-0.0498054316371173,0.0687521103262629,0.469287530367746
28,1,35129,-0.0737111321278907,0.0688677301093697,0.285202508530451
29,1,36146,-0.0227362003393395,0.0496467433188267,0.647263270529247
30,1,37255,0.0339561929536671,0.100222123005324,0.734954798758489
31,1,37409,-0.00267313945278008,0.0499297993318308,0.957333574026115
32,1,37478,-0.0193252136530302,0.0499623373047169,0.699140578301318
33,1,39144,-0.0801645000089659,0.0495615637810126,0.106669374563195
34,1,41499,-0.0314988258009767,0.04957856564708,0.525623834294796
35,1,45359,-0.125629954487841,0.0832465116305558,0.132159624311855
36,1,45634,-0.042475973225546,0.0766773602945232,0.579958893727703
37,1,51248,-0.0340824440911923,0.0497850154203301,0.494050374989164
38,1,51462,-0.0346665192928984,0.0498514729732725,0.487264628937649
39,1,52124,-0.059613576687589,0.0497169094726557,0.231308734342731
40,1,52667,-0.0761558705501815,0.0495727754931417,0.125374394729302
41,1,55470,-0.0419416418405126,0.0510430066384857,0.411806706393307
42,1,59265,0.00934917889295958,0.0497106310281137,0.850928258295857
43,1,60165,0.0181955256851022,0.0496661137955071,0.714318220371041
44,1,62308,0.0375920115979874,0.049580567544305,0.448836843834675
45,1,62869,0.0570522136655933,0.0495216787721642,0.250073818975259
46,1,65431,0.0893174694404241,0.0515990720599026,0.0843273789457759
47,1,65451,0.106514498162251,0.0507673103631063,0.0366073937619736
48,1,65719,0.103052790974592,0.0529868347322035,0.0525837832024323
49,1,66841,0.0974536919868005,0.0493663246916675,0.0491504792842615
50,1,66948,0.089225151380155,0.0497164089799851,0.0735597998733384
51,1,68621,0.0842720038656567,0.049605039798886,0.0902267001192324
52,1,69417,0.0821795749826837,0.0494826138838027,0.0976461924600112
53,1,69820,-0.0315224962369669,0.194374717659136,0.871261740263147
54,1,69821,0.142476994148883,0.120367833750127,0.23733624803664
55,1,70906,-0.0431530097145236,0.0797649161877833,0.588847167151647
56,1,74327,0.00666367204669077,0.0499474081620509,0.893942178843914
57,1,74572,0.0116641949991884,0.0498118195022843,0.814992476637373
58,1,75211,0.0201305844998132,0.0497133337961882,0.685771809662727
59,1,76030,0.0444985826566862,0.0496684420028893,0.370909975889161
60,1,80108,0.00329833565995358,0.0497128115356281,0.947138488687887
61,1,81262,-0.00979021934914595,0.0496915955248132,0.843925570623396
