SNP,Chr,Pos,Effect,SE,FMP45_HNM1_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.103072990249033,0.0612143584589626,0.0931035422968505
2,1,1035,0.0612148001492819,0.0620465737817423,0.324517278144047
3,1,1074,0.0350236093759566,0.104982257177029,0.738868512804615
4,1,1470,-0.203687720620939,0.104057470329589,0.0510817357036145
5,1,1475,-0.0997872451102282,0.0770382681883504,0.196065100707311
6,1,1491,-0.0792222050481473,0.067417014211113,0.24074393063725
7,1,21249,0.281862446660117,0.38750428604142,0.467476001906021
8,1,27243,0.0230836562278489,0.0528889220465192,0.662773168232994
9,1,27272,-0.0866977371809206,0.0519039874820253,0.095736847809498
10,1,27498,-0.126652403916513,0.475797798207724,0.790248637148014
11,1,27561,0.0600492259345125,0.359473058468306,0.867427995073554
12,1,27816,0.040223089402948,0.0531288572547305,0.449503647383933
13,1,27822,0.0395322777313988,0.0530626934798493,0.45676093677831
14,1,27823,0.0396035827690499,0.0541572242555341,0.465099052302131
15,1,27825,0.0406000665788973,0.053060409414191,0.444683448069475
16,1,27843,0.049624583771719,0.050807186840878,0.329374823928598
17,1,27848,0.049624583771719,0.050807186840878,0.329374823928598
18,1,28495,0.07367511381662,0.0507252740120993,0.147269225832304
19,1,28975,0.0625783802603039,0.0504266588907888,0.215437904394068
20,1,29283,0.00759523785784122,0.113254194988138,0.946569012036056
21,1,29752,-0.0453904852349494,0.118051489070818,0.700841383979737
22,1,29787,-0.287684135945403,0.319134075199572,0.367962528117516
23,1,30057,0.228229107917592,0.102879075899868,0.0271618811245565
24,1,30479,-0.352919139040998,0.302960122190083,0.24484488362161
25,1,30706,0.0434475837677197,0.0521404043144113,0.405249984782647
26,1,31435,0.0399747759144161,0.0503577145994277,0.427835653220369
27,1,35128,-0.0364095842839807,0.0694429137228848,0.600392305260324
28,1,35129,-0.0525795012750205,0.0695916017018273,0.450426619491918
29,1,36146,0.0121302277218112,0.0501385877340418,0.808971812079589
30,1,37255,0.0991790191611024,0.101072043316038,0.327131386708898
31,1,37409,0.0653261657077157,0.0502938160677706,0.194829260221715
32,1,37478,0.0606729758457158,0.0503537522156919,0.229035739867243
33,1,39144,0.0559199774588483,0.0501386857689379,0.265478006268817
34,1,41499,0.0475108737816173,0.0500237549176687,0.342880826674065
35,1,45359,-0.164856725981211,0.0838661795283719,0.0501154315965744
36,1,45634,0.00074071607906534,0.0774540522876266,0.992375111853847
37,1,51248,0.0680249300338732,0.0501703528598515,0.17600438825396
38,1,51462,0.0553619751452722,0.0502827705318031,0.271641265586585
39,1,52124,0.0443697824853634,0.0502453587149552,0.377803581232826
40,1,52667,0.0100889906705507,0.0502173408734919,0.840887384963458
41,1,55470,0.022970005362044,0.051572424632911,0.656308664619484
42,1,59265,0.0458862948130168,0.0501354258629004,0.360686787273224
43,1,60165,0.0290798846093685,0.0501330596927118,0.562248217160329
44,1,62308,0.0141000510278515,0.0500961635891582,0.778522753075908
45,1,62869,0.00203510372581212,0.0500953747985209,0.967618152345669
46,1,65431,0.0236674918899004,0.0523045826355643,0.651191342209319
47,1,65451,0.0266771291784718,0.0515583512829292,0.605189684027109
48,1,65719,0.0258057175828548,0.0537686499569384,0.631567410616996
49,1,66841,0.00379758760545325,0.0501186938585134,0.939643512905933
50,1,66948,0.00174380162474425,0.0504266028923647,0.972433409320171
51,1,68621,0.0155910837571954,0.0502832343226053,0.756694306074244
52,1,69417,-0.017497759996021,0.050148299197171,0.72735716549779
53,1,69820,-0.193663999519318,0.195994795059464,0.323776615800929
54,1,69821,0.0795326816697042,0.121701639570322,0.513855935258407
55,1,70906,0.034856308182122,0.0805499143987199,0.665475695344728
56,1,74327,-0.0823407453833212,0.0502419244792922,0.102128084249334
57,1,74572,-0.076274074985325,0.0501343392561555,0.12905626412989
58,1,75211,-0.0789061077509228,0.0500307869527243,0.115656473798265
59,1,76030,-0.0379774870536081,0.0501660415353684,0.449533433031632
60,1,80108,-0.0503394951947551,0.0501233180205286,0.315915744919712
61,1,81262,-0.0736828454950694,0.050022404563428,0.141642960548752
62,1,81999,-0.0733763169667503,0.050146589562007,0.144292516567119
63,1,82431,-0.0411613444804463,0.0504890282190523,0.415477066951101
64,1,83284,-0.0698765940387967,0.0500307445548799,0.163389385864064
