SNP,Chr,Pos,Effect,SE,PMC1_GTR2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0724787078383105,0.0622368706560718,0.244982666869177
2,1,1035,0.0828571421454963,0.0628840363220707,0.188486043910332
3,1,1074,0.069129597813931,0.106467041368216,0.516563401689469
4,1,1470,-0.291275237842561,0.10500873973537,0.0058346751761281
5,1,1475,-0.00671434776791013,0.078346870068375,0.931753275518548
6,1,1491,-0.0242389893312425,0.0685220511332835,0.723744932856989
7,1,21249,0.075562477383488,0.393431432818615,0.847805569178594
8,1,27243,0.0153537287390311,0.0536687574389854,0.77498222772067
9,1,27272,-0.0138000627619763,0.0528637998343151,0.794206648176535
10,1,27498,0.292105089210928,0.4825371123416,0.545333723116142
11,1,27561,-0.0790746303579515,0.36470742988099,0.828476514068129
12,1,27816,0.0159038865405194,0.0539410412292565,0.768290704031122
13,1,27822,0.015039467160077,0.0538731705560361,0.780282204270293
14,1,27823,0.0143323813275794,0.0549836193459376,0.794501783271334
15,1,27825,0.018973430514462,0.053869652434105,0.724890951940255
16,1,27843,0.0302796006233163,0.0515928399995408,0.557649108684619
17,1,27848,0.0302796006233163,0.0515928399995408,0.557649108684619
18,1,28495,0.0620995070126393,0.0515129133678628,0.228812625441774
19,1,28975,0.026114103034897,0.0512549564521914,0.610724217520402
20,1,29283,0.0225015364308039,0.114900915428272,0.844852570261852
21,1,29752,-0.172762348072998,0.119445370752321,0.148960419860856
22,1,29787,-0.510255861373976,0.323022640800115,0.115087516502411
23,1,30057,0.31220214148507,0.103783187946915,0.00281649501088595
24,1,30479,-0.384266400273851,0.307290280618318,0.211945337569325
25,1,30706,0.0372972004047062,0.0529158445133867,0.481374631692872
26,1,31435,0.0311948578520954,0.051110989147544,0.542032222041422
27,1,35128,-0.139578211284431,0.0700908191455657,0.0472082468785971
28,1,35129,-0.140977810874396,0.0702644080343796,0.0455770016273231
29,1,36146,-0.0023583561044227,0.050874106274744,0.963052154908864
30,1,37255,0.0757600661758726,0.102607115425707,0.460791772988067
31,1,37409,0.0401045251312108,0.0511047725059049,0.433125853603795
32,1,37478,0.0299903264791587,0.0511684096486144,0.558176031978928
33,1,39144,-0.0398367401272805,0.0509155640215486,0.434499407162491
34,1,41499,-0.0103240504260582,0.050815371262844,0.8391208889068
35,1,45359,-0.0854545929224395,0.0854331300897709,0.317874101308285
36,1,45634,0.00244408797738904,0.078583907634073,0.975206063080807
37,1,51248,-0.0173023438262066,0.0510263391012006,0.734746177873273
38,1,51462,-0.0268452724559775,0.0510838735389,0.599556110008906
39,1,52124,-0.0341896544177102,0.0510021953980521,0.503068856494654
40,1,52667,-0.0622401434669554,0.0508450565218369,0.221725602091579
41,1,55470,-0.0262057566276621,0.052320910772665,0.6167777050794
42,1,59265,-0.0624198715405662,0.0508186729643112,0.220157874599119
43,1,60165,-0.0391531619662281,0.0508459836979398,0.441794426164465
44,1,62308,0.00305250544679143,0.0508324440726938,0.952149524882237
45,1,62869,-0.0121968850494264,0.050822173363673,0.810476216401008
46,1,65431,0.0348682011160979,0.0530505746804812,0.511439873829113
47,1,65451,0.0586584588977226,0.0522371367057457,0.262231909217982
48,1,65719,0.00149909024128914,0.0545708013586624,0.978099947316132
49,1,66841,0.0260585370135026,0.0508313549286544,0.608518959992446
50,1,66948,0.0186049588297266,0.0511527635061296,0.716289574905346
51,1,68621,0.0220632694858006,0.0510102323075938,0.665623022171133
52,1,69417,-0.0100143808108096,0.0508858786733085,0.844096694968968
53,1,69820,-0.303919440966658,0.198470808873263,0.126589557610655
54,1,69821,0.0353987346239242,0.123537410653099,0.774630648453537
55,1,70906,-0.136203770552313,0.0814246281263306,0.0952607418502932
56,1,74327,-0.0428119472238394,0.0511176902811912,0.402868557515456
57,1,74572,-0.0556623364894414,0.0509461578545299,0.27532691547509
58,1,75211,-0.0579688473833143,0.0508456725263701,0.255020094973696
59,1,76030,-0.0523429254355873,0.0508629580704639,0.304138627505007
60,1,80108,-0.0579522701310565,0.0508336597450096,0.255043677523415
61,1,81262,-0.0631341054273321,0.0507968784883888,0.21473928707812
62,1,81999,-0.0736899486976201,0.0508812835419147,0.14842855548086
63,1,82431,-0.0571299186796672,0.0511835564393474,0.265105498647493
64,1,83284,-0.0680456202203722,0.0507716772206595,0.181033230128415
65,1,83613,-0.0357482903018035,0.0508595000640199,0.482591788783122
66,1,84112,-0.031310946992479,0.0508733984747247,0.538642310807517
67,1,84701,-0.0115804467384337,0.0545023118336795,0.831858145293852
68,1,84858,0.00417366771074638,0.0510438610324638,0.934878895282425
69,1,85751,-0.00109235112845611,0.0512541170167267,0.983008448984615
70,1,87445,-0.0327364673340174,0.0513329354198654,0.524063976128677
71,1,87467,-0.0375528749685048,0.0515926809524193,0.467174374347567
72,1,89070,-0.0434162727541879,0.0512561745040253,0.397544083363255
73,1,89616,-0.0392408068238964,0.0509894683863152,0.442059869198324
74,1,89679,-0.0298166713092249,0.0510140093341141,0.559270725307761
75,1,89880,-0.0380576363929751,0.051011418557541,0.456127023346497
76,1,91472,-0.0296852790271182,0.051406289973176,0.56399421282593
77,1,93789,-0.0192431277841237,0.0508903815770283,0.705562066243573
78,1,94351,-0.0123827451132135,0.0510303928018191,0.808414126314947
79,1,99148,-0.0190212585945352,0.0508906178716279,0.708801690094049
80,1,101281,0.0345066261992315,0.556684017090083,0.950609046898735
81,1,106011,-0.05385741538402,0.0529705593110683,0.309972322300401
82,1,106800,-0.0429314174554694,0.0509181007416901,0.399717468532847
83,1,107970,-0.0588617721371065,0.0507216803992554,0.246635436877033
84,1,109000,-0.0300940762129508,0.0508826966512503,0.554604006669671
85,1,112549,-0.0122258726453665,0.0508461095606174,0.81012213429237
86,1,112742,-0.00665013629186201,0.0510471588590067,0.896423564372285
87,1,113050,-0.0149363249575076,0.0509563070064316,0.769602483490789
88,1,113135,-0.0361649011385598,0.05079624658424,0.476959737710106
89,1,114076,-0.0404468757135389,0.0507870982429779,0.426334495880298
90,1,114628,-0.0339281022370191,0.0509292970575915,0.505730884384666
91,1,116283,-0.0200732254503453,0.0512336045277337,0.69544386622508
92,1,126880,-1.80970843598287,0.956661181205351,0.0593503162887677
93,1,127853,0.00506515199263038,0.051148620616257,0.921172149860815
94,1,128302,0.0136789676944782,0.0509476568882386,0.788478535320627
95,1,128704,0.0191397260418724,0.0509934040979206,0.707635062450506
96,1,128911,0.0185530063849261,0.0509996643263779,0.716234976748537
97,1,130267,-0.0344287458965212,0.050952103329345,0.499668441297492
98,1,130271,-0.0296254263582032,0.0510211971704694,0.56184728149234
99,1,130613,0.00913027491645671,0.0515202830071698,0.859439507518374
100,1,132012,0.0274597450133362,0.0513924351800666,0.593460011858906
101,1,133231,-0.0138324551895387,0.0510430766918415,0.78655271865262
102,1,137074,-0.0194473960359173,0.0509652747218614,0.703001534306307
103,1,137304,-0.00652340486166489,0.0509923209700852,0.898277880732437
104,1,139686,-0.0059520504856577,0.0510595336026897,0.907266471523314
105,1,149562,-0.00172400832901942,0.0511769204256921,0.973145607582083
106,1,150447,-0.0128792821408175,0.0517401304195022,0.803565502093847
107,1,151446,-0.124928501050096,0.103740103905186,0.229301731521939
108,1,154084,0.0088272541222667,0.0519024088901492,0.865049311639068
109,1,156633,-0.00878774184542891,0.0526140600768951,0.867447830296675
110,1,157269,-0.012554000821593,0.0509581274219981,0.805547420880712
111,1,160054,-0.04916092259758,0.0513801108183902,0.3393187725104
112,1,166222,-0.0457157141381868,0.0510081786221368,0.370733860302784
113,1,166416,-0.038371431647402,0.050921569170004,0.451627870060216
114,1,167326,-0.0486153585096083,0.051186745231914,0.342881661651658
115,1,168836,-0.0407947239283842,0.0509629904686792,0.423972626935043
116,1,171200,-0.0571725045056634,0.0509949029397382,0.262989724455236
117,1,171431,-0.0573791899206031,0.0513137436013085,0.264240631799277
118,1,173339,-0.0607774636497685,0.0509021030014109,0.233276996997573
119,1,173845,-0.0678249393169857,0.0508344905160617,0.182988317934851
120,1,175121,-0.0298470638814428,0.0508366482979528,0.557500402200295
121,1,175281,-0.0480508103484379,0.0508404090178896,0.345238826325823
122,1,175315,-0.0407744611288997,0.0508423736418804,0.423105275185459
123,1,175523,-0.0434402148517096,0.051124747890663,0.396073055527455
124,1,175541,-0.0445362849926946,0.0509129874397749,0.382303117177932
125,1,175653,-0.0407077870861661,0.0510834913696684,0.426052111407236
126,1,175805,-0.0741731601297672,0.0538768542196056,0.169472402804569
127,1,175818,-0.0661964934073071,0.0526624945999085,0.209586504771973
128,1,175856,-0.0457825131158944,0.051916348919938,0.378457157685256
129,1,175876,-0.0364420633065979,0.0511402336386911,0.47656970975066
130,1,175989,-0.0418185799757397,0.0512747325407106,0.415291087304966
131,1,176001,-0.0553546934273605,0.0515062512508497,0.283235060530767
132,1,176451,-0.0543655313029414,0.0521303424749253,0.29771897251148
133,1,177692,-0.0319280470325584,0.0508602883457076,0.530567150367796
134,1,178191,-0.0249551628355237,0.0509218787189206,0.624390504276565
135,1,178224,-0.0319280470325584,0.0508602883457076,0.530567150367796
136,1,178960,-0.0350599123104994,0.0512611565501249,0.494457384629984
137,1,179139,-0.109723976461925,0.101497533249561,0.280412562387778
138,1,179139,-0.192678548203995,0.204499922050884,0.346737804369623
139,1,180955,-0.00106784142009664,0.0589078022749609,0.985547513303728
140,1,183802,-0.0829871176404643,0.0507030516912842,0.102578430073556
141,1,183954,-0.0965249601006388,0.0510075356960204,0.0592601559326816
142,1,184450,-0.0842939746719003,0.0506183066922413,0.0967428408577139
143,1,184641,-0.0751157346638303,0.052142505019037,0.150588186093125
144,1,184718,-0.0695211807692465,0.0509713421539794,0.173459639112261
145,1,185296,-0.0689599701595266,0.0507561340340774,0.175124132832177
146,1,185438,-0.0867322551447744,0.050681270131284,0.0878990783714635
147,1,185469,-0.0859116970378043,0.0507589730994968,0.0914250173680959
148,1,185503,-0.0962566366149458,0.0505738701707669,0.0578161797861876
149,1,185705,-0.101499084084725,0.0511161517239618,0.047844852801234
150,1,185749,-0.0982126518159405,0.0511343356719523,0.0555774551924358
151,1,185806,-0.0785625653409893,0.0512993281993094,0.126552863353854
152,1,185879,-0.088967363663613,0.0515009371207169,0.0849543267500179
153,1,185916,-0.0886738795068711,0.0514787503549688,0.0858487439588178
154,1,185941,-0.0758376589049892,0.0517626968568155,0.14378301654505
155,1,185954,-0.0810238175310736,0.0518925840070834,0.119331173948345
156,1,186055,-0.0930020538110847,0.050791589296651,0.0679354931987247
157,1,186896,-0.0728452715374695,0.0517237713491381,0.159907013307691
158,1,187697,0.0156770130552255,0.10577854390692,0.882264831907365
159,1,189392,0.0510316317233119,0.106301744157357,0.631479275823439
160,1,189416,0.0741535865448189,0.102785382399654,0.471115802600353
161,1,190132,-0.00749378706339465,0.0510954028147064,0.88348202459218
162,1,190148,-0.0122129132193929,0.0511082365210492,0.811273921486733
163,1,190165,-0.004304871833132,0.0515046200068578,0.933435960315287
164,1,190169,-0.0132619103998145,0.0514360587366467,0.796686083275343
165,1,190933,-0.0482023865755379,0.050959206569883,0.344845877137225
166,1,192149,-0.0506917202378777,0.0513700974710922,0.324419365107483
167,1,192302,0.0404784277462067,0.0678872522926455,0.551383950678169
168,1,192303,0.0215226040310728,0.0613145842439085,0.725783248145722
169,1,192305,0.0410695670663426,0.0636903131225012,0.51945474541768
170,1,192315,0.0819410189069236,0.0721618910520571,0.256929342738231
171,1,192795,-0.0622398680567575,0.0508192983919014,0.221493995905551
172,1,194020,-0.0411245666876088,0.0535969733937265,0.443420395996274
173,1,194187,-0.0202334230985638,0.0509579679664776,0.69156241490083
174,1,194867,0.00260930871643961,0.0509414188672285,0.959177790779657
175,1,197325,-0.0103497556431167,0.0521817526568744,0.842892831180865
176,1,197392,-0.0374322650077668,0.0528178748807758,0.478975630819349
177,1,198857,-0.472762041399034,0.242965502462672,0.052472241145224
178,1,206666,0.0306422791756136,0.0572685460709396,0.592943192546136
179,1,206675,0.0537645591986537,0.0745339480403826,0.471175846013938
180,1,223051,0.0691688651574522,0.0589194184625957,0.241203653874599
181,1,223059,0.0482227097626069,0.0612470166705132,0.431606556749982
182,2,7366,0.174322366035212,0.0732991679616899,0.0179275160590124
183,2,8180,-0.113516298685774,0.101543339117039,0.264365721470998
184,2,8187,-0.0650189364646963,0.105725213485122,0.538963873114565
185,2,8250,-0.171959672357708,0.103814127214856,0.098525589723734
186,2,8253,-0.196523450747163,0.103690558036305,0.0588710167915595
187,2,8285,-0.0280038529735902,0.0564819561356157,0.620342818043214
188,2,8302,-0.038895536270825,0.0528485875179988,0.462231254166711
189,2,8306,-0.038895536270825,0.0528485875179988,0.462231254166711
190,2,8314,-0.0410936538058752,0.0517579373976604,0.427752992007531
191,2,8317,-0.0456267008254839,0.0529298998702339,0.389261004087154
192,2,8328,-0.0450388668241724,0.0526940329883149,0.393283535543089
193,2,8331,-0.0500665681078512,0.052581885181601,0.341665410841625
194,2,8498,-0.0431121383723533,0.05167734217602,0.404700872104563
195,2,8651,-0.0468939547500189,0.0517165013948711,0.365157375713427
196,2,9418,0.258125480560039,0.130963001492348,0.049506981903192
197,2,9812,-0.034942910364528,0.05205112519578,0.502456371018607
198,2,9932,-0.0140865460376347,0.0518736431633407,0.786122961344151
199,2,10135,-0.0128287035275892,0.0516758721578819,0.804082817340289
200,2,11616,-0.0439111015153135,0.051572598737424,0.395100824463451
201,2,12133,-0.0199875203796356,0.0518198445716481,0.699942535623929
202,2,12194,-0.0235902201159318,0.0520160359661294,0.650454292764081
203,2,12359,-0.0121935078298593,0.051875001565912,0.814301899020512
204,2,13061,-0.0337898634261917,0.0518440587286621,0.514980373297807
205,2,14298,-0.0134951756581611,0.0520339360023874,0.795513801368643
206,2,15222,-0.0320667309235767,0.0525186221789262,0.541871700575029
207,2,17986,-0.0291319808397934,0.0516022388059407,0.572739261506358
208,2,19770,-0.0347799520471038,0.0519494928671149,0.503617101211301
209,2,19836,-0.02780392936337,0.0518185232957381,0.591907129806877
210,2,19851,-0.0304827805593302,0.0519661082680808,0.557854267678203
211,2,21595,-0.0471063484867351,0.0517159545821541,0.36298709864087
212,2,22385,-0.0322111536266659,0.0517973222165225,0.534429375179477
213,2,23441,-0.024318517957626,0.052313036293737,0.64231449505602
214,2,24209,-0.0319233671074683,0.0518703419654891,0.538657143448391
215,2,24341,-0.020857589879703,0.0520090719650599,0.688635129461241
216,2,26815,-0.0358986780833581,0.0519234364822984,0.489782983375092
217,2,28209,-0.0453443672383089,0.0519200006570147,0.383065685337998
218,2,28695,-0.0643711517425176,0.0541921217485646,0.23569810086342
219,2,35849,-0.179247386598808,0.556605290338604,0.747615439988321
220,2,35850,-0.258248080784376,0.680699885418058,0.704629282484991
221,2,41245,-0.0560199917778516,0.0516907719356869,0.279214310814208
222,2,43214,-0.034718261567165,0.0525836806708735,0.509525383292957
223,2,47104,-0.0539850594553146,0.0510685619269881,0.291184522328921
224,2,50915,-0.0442256283033471,0.0515982232465838,0.391962655277854
225,2,55834,-0.0621906553436249,0.0513065481569116,0.22626994618534
226,2,56422,-0.0549840846994147,0.0514219207566889,0.285677177371381
227,2,57715,-0.0523086231136459,0.0512597945131789,0.308208703958829
228,2,59046,-0.0249580427684521,0.0515779335309543,0.628764030926066
229,2,59191,-0.0369149243656852,0.0512619821174134,0.471925906910642
230,2,59383,-0.0367200395915895,0.0512771629452504,0.474397478566151
231,2,59477,-0.0336933965536686,0.0520556068978192,0.517885803941891
232,2,59755,-0.0426833247898601,0.117007754636244,0.71548619264378
233,2,60471,-0.033777694351727,0.0513520473761336,0.51111640247963
234,2,60478,-0.0276439557394388,0.0514210968320079,0.591192317547007
235,2,60786,-0.0214104919080276,0.0513449134959757,0.676936676849035
236,2,61035,-0.0359829972489669,0.0513181293048732,0.48365567295976
237,2,61071,-0.0474911936977144,0.0510583623972445,0.352936585490421
238,2,61675,-0.0413138165159317,0.0512208874760166,0.42045074964296
239,2,62776,-0.0350866657559108,0.0534786832874343,0.512195596743842
240,2,62939,-0.0474302918381528,0.0511171482268159,0.354106732653029
241,2,63527,-0.0385907461394616,0.0513304794002829,0.452666543458307
242,2,63857,-0.0624046684225557,0.0512760445178038,0.224404457079154
243,2,65527,-0.0622582173308038,0.0511067906782448,0.2239621118945
244,2,67007,-0.0373548351225727,0.0563512669393158,0.507831979116289
245,2,67023,-0.172029233762098,0.116243526599064,0.139790815259229
246,2,67024,-0.18256860494355,0.116625695309233,0.118379621815761
247,2,67976,-0.0382575799761453,0.0519118410994226,0.461628826603587
248,2,69628,-0.0606366783554909,0.0527137136088061,0.250798255092675
249,2,71825,-0.0729778334107145,0.102051185103281,0.475013695140738
250,2,72389,0.0395847350678771,0.0515883778135816,0.443404871150236
251,2,72392,0.0290656158056286,0.0519594393371852,0.576249993165097
252,2,73646,-0.024950121667955,0.0508994025350183,0.624307544421285
253,2,74564,-0.0301660324847099,0.0507913764374145,0.552945783732379
254,2,74739,-0.0254465712449997,0.0509658433850332,0.617888399968473
255,2,79931,0.0418397709196466,0.0574225186526419,0.466711107914204
256,2,80748,0.018194325238047,0.0530147445741416,0.7316570539252
257,2,80873,-0.0241441624552065,0.0510893149353851,0.636799675755767
258,2,81501,-0.00276120168320304,0.0510967481845215,0.956934903135409
259,2,83526,-0.015906581852488,0.0510106690575543,0.755354936350563
260,2,83845,0.00379157731705743,0.0510657814264581,0.94085440508794
261,2,84412,0.145322096205127,0.128459658963051,0.25871093461832
262,2,84412,-0.0411845927535755,0.0644054095231441,0.522939391882309
263,2,84447,-0.00299581180018182,0.0517179247394103,0.953840359365216
264,2,87391,0.0227146653825109,0.0508263109516418,0.655215830529837
265,2,87562,0.0392503298552085,0.0509265154437261,0.441385585866106
266,2,87849,0.0346136627303731,0.05093120969276,0.497193070164894
267,2,87878,0.041651260868198,0.0511354887801386,0.415891986605002
268,2,88125,0.00935830628020606,0.056914472327928,0.869488700683034
269,2,89785,0.0403651086968535,0.0511441204831976,0.430500115005301
270,2,93441,0.0377432566320668,0.0526790533857689,0.474171460182145
271,2,93588,0.0240214023641445,0.0545534109895188,0.659968959651775
272,2,93721,0.0172073707404698,0.0510264300804643,0.736147964523792
273,2,93952,0.0284399134024091,0.0508661523051339,0.576439318137329
274,2,95085,-0.00679300571659272,0.0509584104095304,0.894028214119787
275,2,103188,0.0198023138542843,0.0521861126564874,0.704577717005547
276,2,107124,0.0463390150097574,0.0509253543727021,0.363475055066066
277,2,111645,0.0434216829905057,0.0509653208500611,0.394800114990929
278,2,111916,0.0412089400736769,0.051090891792431,0.420451023824889
279,2,111931,0.0486079242727241,0.0511507597883423,0.342616379788223
280,2,111999,0.0550432445411599,0.05094806331792,0.280710780380796
281,2,114528,0.0756953177454071,0.0511675266789781,0.139935296111517
282,2,116024,0.079777238077171,0.0512724143326173,0.120616392591847
283,2,119244,0.0610980397674445,0.0559775730493165,0.275808973807375
284,2,119246,0.0652566202585022,0.0565635420829028,0.249409055073887
285,2,119247,0.0460546999052953,0.057026596179319,0.419864528383355
286,2,120090,0.0886857447760839,0.0510268829100194,0.0830793119209122
287,2,120291,0.0586780098413518,0.0517365844723948,0.25749343998678
288,2,120726,0.0926837670046463,0.0512946412549416,0.0716308085563309
289,2,121716,0.0480453601261803,0.051409217763507,0.350650322178179
