SNP,Chr,Pos,Effect,SE,ERG11_MID2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.120814297395805,0.116456817524392,0.300251597278675
2,1,1035,-0.0179860423345769,0.117906292971974,0.878844074495774
3,1,1074,-0.21537469105782,0.198929894414338,0.279695560354954
4,1,1470,-0.470568075253433,0.196956258290027,0.0174094986900498
5,1,1475,-0.227354178285336,0.146044774153525,0.120427578247384
6,1,1491,-0.0827557985627803,0.128113922993358,0.518728343976466
7,1,21249,0.283172290592047,0.735776963845382,0.700571737417222
8,1,27243,0.0473680086631729,0.10036457272219,0.637247334341834
9,1,27272,-0.0210728931880008,0.0988821487106526,0.83136325144821
10,1,27498,0.695221324237589,0.902270280312195,0.441504228189077
11,1,27561,0.270585636670037,0.682059513302914,0.691814771616617
12,1,27816,0.00356575192946318,0.100906133010878,0.971830741420771
13,1,27822,-0.00309896501064161,0.100777928365047,0.975485948135242
14,1,27823,-0.00938510494091904,0.102852661367906,0.927347251328707
15,1,27825,0.00558969813073645,0.100777624199034,0.955798860834269
16,1,27843,-0.0194016657726416,0.0965432495621559,0.840842884730298
17,1,27848,-0.0194016657726416,0.0965432495621559,0.840842884730298
18,1,28495,0.0035131810681073,0.0965501543380829,0.970994259947173
19,1,28975,0.0380981198177603,0.095883512413723,0.691358704105119
20,1,29283,0.252445295349658,0.214507412215301,0.240044136994949
21,1,29752,-0.244350182417863,0.223699606316315,0.27544008424679
22,1,29787,0.990593357573483,0.604031889533761,0.101902463453325
23,1,30057,0.177271172203212,0.196366923335316,0.367271661665695
24,1,30479,-0.242548164999068,0.575897359204235,0.673890469410032
25,1,30706,0.0603511165716173,0.098993835151544,0.542489066317038
26,1,31435,0.0478545536355842,0.0956169359299706,0.617047620854031
27,1,35128,0.036291898279611,0.131821395710393,0.783238287410553
28,1,35129,-0.155130026564501,0.13191500729426,0.240393480243461
29,1,36146,-0.0359576093921565,0.0951383902021513,0.705694472232792
30,1,37255,0.193153500958203,0.191794040445641,0.314582245691689
31,1,37409,0.0584520137458679,0.0956215448920706,0.54140437456099
32,1,37478,0.0633625369844529,0.0956949785193913,0.508319795447254
33,1,39144,0.0246933813861852,0.0953083721267765,0.795717343694155
34,1,41499,0.118849221314948,0.0948423253818675,0.210989884036987
35,1,45359,-0.0475746524448963,0.160004451763181,0.766386952255305
36,1,45634,0.178445374848532,0.146680109082933,0.224583890351522
37,1,51248,0.0073546468607549,0.0954568315876523,0.938629936068179
38,1,51462,-0.0123762354098959,0.0955848057804637,0.897052299422811
39,1,52124,0.029216143460409,0.0954449676321655,0.759705458719701
40,1,52667,0.0499744930967371,0.0952675258196482,0.600211347698016
41,1,55470,0.00258059728698226,0.0978981919545767,0.978985085946601
42,1,59265,-0.0883553429579042,0.0951404183472949,0.353687681431681
43,1,60165,-0.0574828934840849,0.0951354058020381,0.546084264040448
44,1,62308,-0.158542768410879,0.0947047117603633,0.0950016527177453
45,1,62869,-0.151926194484368,0.0947234454494237,0.109632119289126
46,1,65431,-0.088968425126532,0.0991760335949546,0.370289831306334
47,1,65451,-0.0730071991854983,0.0978040194064135,0.455883892755779
48,1,65719,-0.0215461574706257,0.102065489286308,0.832930039224583
49,1,66841,-0.0966226158155961,0.0949736362509732,0.309677781040254
50,1,66948,-0.0887482088961562,0.0955798385342693,0.353770100652507
51,1,68621,-0.231879250570022,0.0946358828614812,0.0147615258188786
52,1,69417,-0.143627808776662,0.094877115616699,0.130963814312718
53,1,69820,-0.63350564131316,0.370930837567955,0.0885376460816769
54,1,69821,-0.0248072860562809,0.231093348519246,0.914574311208916
55,1,70906,-0.203228540802801,0.152519842145398,0.183564370425742
56,1,74327,-0.0392533389724475,0.0956851007288366,0.68188272955887
57,1,74572,-0.0690176231530914,0.0953823910873461,0.469797476371926
58,1,75211,-0.0374652110232425,0.0952582304450812,0.694334190307651
59,1,76030,0.0046443465549153,0.0952787787804341,0.961150227459123
60,1,80108,0.100453780725969,0.0951064041556636,0.291587656995156
61,1,81262,0.00826193097865863,0.0952195445173178,0.930905774767781
62,1,81999,-0.0165200717159494,0.0954490521068233,0.862689803705518
63,1,82431,0.0833038011884396,0.095802406286897,0.385143967583064
64,1,83284,0.0771509717742174,0.0951184707206137,0.417852483946228
65,1,83613,0.0742283204482464,0.0951145585364086,0.435672767865071
66,1,84112,0.0893454322363193,0.0950882317551635,0.348062404210311
67,1,84701,0.0609481162608791,0.101898612834851,0.550140025915924
68,1,84858,0.105099403863016,0.0953117576182617,0.270912635928378
69,1,85751,0.090579383689783,0.0957469018524589,0.344780700260623
70,1,87445,0.0961499358975899,0.0959344600831028,0.316911280526275
71,1,87467,0.0999991894002901,0.09642701668152,0.300424576397834
72,1,89070,0.0877912902474355,0.0958555476989354,0.360359935352404
73,1,89616,0.0456482070145194,0.0954221760005234,0.632674813752864
74,1,89679,0.0462532373808908,0.0954334421068007,0.628214681235907
75,1,89880,0.0510692116777513,0.0954506838315488,0.592964295248517
76,1,91472,0.0759204788511808,0.0961132690209383,0.430112762386058
77,1,93789,0.0818056878061825,0.0951074520926075,0.390295870145576
78,1,94351,0.0492703306129646,0.0954216064240032,0.605937783128514
79,1,99148,0.040976198540156,0.0951820829861218,0.667092306981293
80,1,101281,0.28998311732954,1.041139535605,0.780772659882863
81,1,106011,-0.0239920638908753,0.0992154067970762,0.809061663946505
82,1,106800,0.0129543090961175,0.0953329961006203,0.891989775039008
83,1,107970,-0.0127195466785722,0.0950506334416706,0.893622243686975
84,1,109000,0.0968602013395748,0.0950808992983272,0.309036646829731
85,1,112549,0.0809997797866624,0.0950150128927522,0.394517686203113
86,1,112742,0.0598869919149453,0.0954301117793312,0.530705690883675
87,1,113050,0.0736522794314401,0.095242058054058,0.439852469775964
88,1,113135,0.0194326430468212,0.0950742810751866,0.83816316098212
89,1,114076,0.0785081069612693,0.094988042847072,0.409075888366548
90,1,114628,0.0690806035145827,0.0952495036065697,0.468773372214026
91,1,116283,0.0693143799893058,0.0957795803546417,0.469737571290229
92,1,126880,0.855218800701074,1.79785541550543,0.634590686982217
93,1,127853,-0.106350012665112,0.0955045450604225,0.266225788811996
94,1,128302,-0.114061433501978,0.0951110974111626,0.231237358680563
95,1,128704,-0.109061565300921,0.0952227546975624,0.252847999287384
96,1,128911,-0.101988104970103,0.0952555337498363,0.285045269065326
97,1,130267,-0.226385912513195,0.0946005770154091,0.0172299084265156
98,1,130271,-0.214004842161059,0.094796181542595,0.0245857416519325
99,1,130613,-0.165437802641114,0.0959671576757155,0.0856013865110087
100,1,132012,-0.144640347519224,0.0958570797357986,0.132214568570513
101,1,133231,-0.204855865002588,0.0948587503229192,0.0314774817626389
102,1,137074,-0.229555370037861,0.0945614741251739,0.0156994821757353
103,1,137304,-0.188297296732091,0.0948526821932135,0.0479007641481126
104,1,139686,-0.201475609834545,0.0949020909753869,0.0344506457519827
105,1,149562,-0.144778184354244,0.0954132392386237,0.130065674908331
106,1,150447,-0.161387454091492,0.0964037663433514,0.0950009564694169
107,1,151446,-0.345094860370805,0.193569113105229,0.075478246212935
108,1,154084,-0.132441145153158,0.0968284616981446,0.172247472221917
109,1,156633,-0.128494700644459,0.0981778115129934,0.191454955639049
110,1,157269,-0.16927801130693,0.0948959491290921,0.0753106142127062
111,1,160054,-0.139871357924485,0.0959399379834089,0.145755682780088
112,1,166222,-0.117875357029263,0.0953103444714374,0.217000958968425
113,1,166416,-0.117624390196267,0.0951168906305977,0.217046634754813
114,1,167326,-0.143662730753594,0.0955589392360069,0.133631581573924
115,1,168836,-0.158201321045838,0.0950377979702799,0.0968769439747462
116,1,171200,-0.0248983822908401,0.095543771006395,0.794555558337857
117,1,171431,-0.0403001502957638,0.096125575080859,0.675292217557726
118,1,173339,-0.0305684021823778,0.0953879069992594,0.748806136719903
119,1,173845,0.0122746086746564,0.0953204600824247,0.897611377165678
120,1,175121,0.00106303589047113,0.0951336834808787,0.991090834233254
121,1,175281,0.0062299863951587,0.095213984556387,0.947867545897315
122,1,175315,0.00605287656327438,0.0951840439566756,0.949331657156129
123,1,175523,0.00015378597302651,0.0957238996943623,0.998719060428378
124,1,175541,0.00615866072370269,0.095332668341057,0.948527629646574
125,1,175653,-0.00195488945858455,0.0956348407477747,0.983702979028508
126,1,175805,-0.0738513509910859,0.100967525821876,0.464997733804939
127,1,175818,-0.0511969355145729,0.0986850242979626,0.604231326596871
128,1,175856,-0.016271437417379,0.0972098554473765,0.867163251403059
129,1,175876,-0.00361432441808218,0.0957237067458151,0.969902069348536
130,1,175989,0.00445929294209352,0.0959967226284388,0.962975817708391
131,1,176001,-0.00702481086708195,0.0964965013336227,0.94200761002254
132,1,176451,-0.0376332247040481,0.0976366224005506,0.700142359017494
133,1,177692,-0.0604981698943732,0.0951301091112082,0.525219888019123
134,1,178191,-0.0650355760650197,0.0952162005480153,0.495035547705086
135,1,178224,-0.0604981698943732,0.0951301091112082,0.525219888019123
136,1,178960,-0.042231988974706,0.0959184797220173,0.659996244778599
137,1,179139,-0.282422152758946,0.189564762835252,0.137157863836114
138,1,179139,0.180009223550058,0.382867186753907,0.638530322592689
139,1,180955,-0.198161032592053,0.109678052027371,0.0716523676140717
140,1,183802,-0.0567000906198883,0.0951487283219902,0.551617160172558
141,1,183954,-0.0832162998384329,0.0957872870267185,0.385567909011086
142,1,184450,-0.0504193201961342,0.0950121711170129,0.595986912082934
143,1,184641,-0.0474271750861534,0.0977835131829214,0.627961444562501
144,1,184718,-0.0500565569572735,0.095552974258801,0.600703376816963
145,1,185296,-0.0621374297023244,0.0951271158230125,0.514049868045206
146,1,185438,-0.0403460024666793,0.0951648582309641,0.67185391136961
147,1,185469,-0.0338560489978798,0.0953094272006748,0.722635091795508
148,1,185503,-0.0489506555943406,0.0950442038263231,0.606854114519825
149,1,185705,-0.0408993897669578,0.096117909288337,0.670722270601173
150,1,185749,-0.0852016426647924,0.0960355483008016,0.375581423250293
151,1,185806,-0.0383078192633383,0.0962493398026835,0.690866321486875
152,1,185879,-0.0635368739449745,0.0966769984276124,0.511475600099545
153,1,185916,-0.0664828915164025,0.0966273601166973,0.491883348472209
154,1,185941,-0.0747141221650438,0.0970318818645491,0.441817474469924
155,1,185954,-0.0780503565062554,0.097308314052731,0.42303856607386
156,1,186055,-0.0333124349099827,0.0954366333970311,0.727257699137859
157,1,186896,-0.0700153937735922,0.0969464276414561,0.470645336928276
158,1,187697,-0.0947105980945953,0.197795150018804,0.632354785380862
159,1,189392,-0.145318843791596,0.198746288752425,0.465155712758733
160,1,189416,-0.183001334719987,0.192149640609372,0.341551051587847
161,1,190132,-0.0537085716717443,0.0955314233833159,0.574330835467494
162,1,190148,-0.0624315284461621,0.0955452434156111,0.513908530295435
163,1,190165,-0.0535022874103396,0.0962955485180097,0.578832865088517
164,1,190169,-0.0548123774893036,0.0961732711949991,0.569085277419792
165,1,190933,-0.0206248937995325,0.0954309305619319,0.829016094672751
166,1,192149,-0.00384173808881672,0.0962172922152333,0.96817331523934
167,1,192302,0.140811164922711,0.126822217434639,0.267623961480209
168,1,192303,0.0302355084096271,0.11469443926588,0.792228173600151
169,1,192305,0.0902066285563992,0.119102800517564,0.449324730680602
170,1,192315,0.0433696379751876,0.135201615362416,0.748568817637169
171,1,192795,-0.00981464304616433,0.0952551390979844,0.91799345281668
172,1,194020,-0.0188667979931581,0.10032886772984,0.850945864151427
173,1,194187,-0.0507477259053613,0.0952972191748544,0.59470055906191
174,1,194867,-0.0484041128464292,0.0952487715388926,0.611640169456488
175,1,197325,-0.108345114977796,0.0974381781667875,0.266921948732926
176,1,197392,-0.114596494818415,0.0986749950118912,0.246283093544901
177,1,198857,-0.543272749783072,0.455968952567412,0.23427008197648
178,1,206666,0.222480248551399,0.106504986868205,0.0374308722809203
179,1,206675,0.383184123326287,0.138015800917189,0.00578992248705919
180,1,223051,-0.0157143732227001,0.110417436834818,0.886910133538397
181,1,223059,-0.0625246645076152,0.114611576608392,0.585729933694854
182,2,7366,0.393925959192361,0.136596514543128,0.00416921085789105
183,2,8180,0.0795653599052351,0.190220266777281,0.675996654080533
184,2,8187,0.0915195635201993,0.197799405576423,0.643872551772572
185,2,8250,0.00340029721926616,0.19493197285453,0.986092655784824
186,2,8253,0.0176769955570499,0.19492978631533,0.927795188589967
187,2,8285,0.0335869232709163,0.105668195257723,0.750784600670131
188,2,8302,0.00795832364178811,0.0989254174252893,0.935926768964137
189,2,8306,0.00795832364178811,0.0989254174252893,0.935926768964137
190,2,8314,-0.00967510622961193,0.0968955407726705,0.920519385537719
191,2,8317,0.00612187305940026,0.0991062143475275,0.950780292910211
192,2,8328,-0.00561726122883793,0.0986629091977424,0.954630086233548
193,2,8331,-0.0193394772591874,0.0984724975170841,0.844414254352933
194,2,8498,0.0184431680074232,0.096750020539056,0.848927402995514
195,2,8651,0.014052147808836,0.0968427041897408,0.884712518985691
196,2,9418,0.0874005989235105,0.246259694482949,0.722867227332911
197,2,9812,0.0359719307239552,0.097402213443111,0.712115661081417
198,2,9932,0.0382546054170453,0.0970156999888203,0.693587665294946
199,2,10135,0.0257844857570418,0.0966557041226787,0.789804860776028
200,2,11616,0.0212026628104633,0.0965562500744852,0.826318403613852
201,2,12133,0.0228346137043438,0.0969391065048637,0.813913612865911
202,2,12194,0.0298281578947407,0.0973086581475697,0.759380809084945
203,2,12359,0.0439088250952333,0.0970089170219259,0.651095621351967
204,2,13061,0.0386241251851005,0.0970081424489409,0.690757780082948
205,2,14298,0.0394157477999327,0.0973134106609795,0.68569402739869
206,2,15222,0.0487173824413295,0.0982509779185229,0.620311429310509
207,2,17986,0.030785668008018,0.096548941394757,0.750020695701608
208,2,19770,0.000752106404306563,0.0972304649957586,0.99383255807479
209,2,19836,0.0243258961609657,0.0969547027133155,0.802037711337643
