SNP,Chr,Pos,Effect,SE,ERG11_ERV25_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.130132875315717,0.130035062726124,0.317632121806905
2,1,1035,-0.016552825414981,0.131641036254441,0.900007627840204
3,1,1074,0.109080731573503,0.222393296731306,0.624094984441831
4,1,1470,-0.467014522736001,0.220269866274038,0.034686948118141
5,1,1475,-0.0849634550971041,0.16355185717047,0.603745078166523
6,1,1491,-0.15961969935037,0.142868363418666,0.264647222578537
7,1,21249,-1.10569979405724,0.819539984431145,0.178146700377882
8,1,27243,-0.0187288900164169,0.112085636620479,0.86739139416811
9,1,27272,0.0174830368398313,0.11040280933129,0.874266195512908
10,1,27498,-0.360834948820298,1.0080277187149,0.72058619609775
11,1,27561,-0.376836471420216,0.761409266913952,0.620964681699216
12,1,27816,-0.110668499476007,0.112505470639067,0.325950447302538
13,1,27822,-0.103485152804282,0.112381478757464,0.357763801676759
14,1,27823,-0.100593431973349,0.114709086589748,0.381113522414315
15,1,27825,-0.10795255518962,0.112369572889105,0.337364600340681
16,1,27843,-0.0770142322566378,0.10771650342439,0.47509921758495
17,1,27848,-0.0770142322566378,0.10771650342439,0.47509921758495
18,1,28495,-0.0274298219594581,0.107786326650072,0.799270371802291
19,1,28975,-0.0829472334911115,0.106984604760864,0.438670051747771
20,1,29283,-0.0262281134687816,0.239957863713244,0.91302427788891
21,1,29752,-0.807626424799281,0.246456588503746,0.00115349806458083
22,1,29787,0.775327182204078,0.675692852355447,0.251970675584035
23,1,30057,0.342389473330471,0.218734230701916,0.118403442679046
24,1,30479,0.129365098320828,0.643100731539944,0.840690595616961
25,1,30706,-0.0485761439563722,0.110552265242865,0.660643999818333
26,1,31435,-0.00763969984816593,0.106791189110002,0.94300956083803
27,1,35128,0.0923469870910685,0.147109247425422,0.530577347292834
28,1,35129,0.0204004950160712,0.147564271722588,0.890123090320356
29,1,36146,-0.0619913083667633,0.106190051919201,0.55974318952753
30,1,37255,-0.0409953834990748,0.214429902991714,0.848492020742221
31,1,37409,-0.0257429997551142,0.106806942497014,0.809676712833615
32,1,37478,-0.0326366919708249,0.106893440427649,0.760302492678245
33,1,39144,-0.115896675653857,0.106240778434733,0.276066689170529
34,1,41499,-0.203518187093821,0.105570252391057,0.0546821418382004
35,1,45359,-0.238149586791993,0.17821343253599,0.182306515946823
36,1,45634,0.107893616439765,0.16400738851275,0.511057971447957
37,1,51248,-0.071504674008524,0.106508263994914,0.502434567308382
38,1,51462,-0.0599857328271786,0.106672987878613,0.574246122370462
39,1,52124,-0.129414620571471,0.106353417059057,0.224479710527074
40,1,52667,-0.176270806101318,0.105991016933327,0.0971853563730225
41,1,55470,-0.21148036000833,0.108720050640449,0.0525466516601655
42,1,59265,-0.243398114189331,0.105559792652219,0.021701732200552
43,1,60165,-0.163424483989053,0.105914821417967,0.123731511069331
44,1,62308,-0.145419482934253,0.105871973797465,0.170455944221114
45,1,62869,-0.132344617789099,0.10590718839975,0.212263256446779
