SNP,Chr,Pos,Effect,SE,ERG11_PIS1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.333862256989321,0.161953000393905,0.0399894082717877
2,1,1035,0.248247982284028,0.164176497912952,0.131408241073267
3,1,1074,0.11496705529402,0.278276518322673,0.679755164606184
4,1,1470,-0.123421003415375,0.277263623944076,0.656491749142858
5,1,1475,0.0159672659786905,0.204705533677955,0.937871336452935
6,1,1491,-0.0714019688801764,0.179026220296637,0.690255747563545
7,1,21249,-0.798199563315631,1.02713547258991,0.437612993247935
8,1,27243,-0.0121998784374264,0.140240800364199,0.930726907982959
9,1,27272,-0.00941318902657851,0.138135273832,0.945709016865365
10,1,27498,-1.08873476448023,1.26009838075312,0.388170333614715
11,1,27561,0.939184626001835,0.951661245647226,0.324372692435325
12,1,27816,0.0652356288086056,0.140912054833003,0.64368347510258
13,1,27822,0.0734028002874105,0.140721455549317,0.602263657547612
14,1,27823,0.0419872305728247,0.143657972422773,0.770250221159113
15,1,27825,0.086395220571179,0.140700556396188,0.539586985534098
16,1,27843,0.0350680092868224,0.134854915008358,0.794982598004145
17,1,27848,0.0350680092868224,0.134854915008358,0.794982598004145
18,1,28495,0.0609816039938521,0.13483095408361,0.651343697772587
19,1,28975,-0.00606295480639779,0.133968097320859,0.963928286017953
20,1,29283,-0.169684997396864,0.300094232257848,0.572134376573694
21,1,29752,0.0491660321905822,0.313000035257993,0.875271637459793
22,1,29787,1.81730585812662,0.841431960693971,0.0314627179807074
23,1,30057,-0.0204595291206608,0.274616916665644,0.940653093527795
24,1,30479,0.919545129079532,0.803176463772443,0.253032218628143
25,1,30706,-0.036446639575701,0.138342489558523,0.792355740973
26,1,31435,-0.00207703918563149,0.133613494091305,0.987606062089718
27,1,35128,0.262662973302445,0.183628102185627,0.153484712700119
28,1,35129,0.0368457710605856,0.184620692097371,0.841927485478431
29,1,36146,-0.0538860926123628,0.132893626899386,0.685368233386699
30,1,37255,0.132768148359517,0.268206342407396,0.620892280542834
31,1,37409,0.0360282621564215,0.133629518505573,0.787615492633572
32,1,37478,0.0353701531636326,0.133744913066225,0.791579974705297
33,1,39144,0.0247576137816997,0.133141268501669,0.852590808146859
34,1,41499,0.00380764673569182,0.132778312079384,0.977138627295171
