SNP,Chr,Pos,Effect,SE,SNA4_GTR2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.130784967596249,0.19056120119873,0.492965178742178
2,1,1035,0.0493519488647111,0.192756514626608,0.79807481065196
3,1,1074,0.397970591015083,0.325085836106342,0.221692599409113
4,1,1470,-0.199513627499,0.324428279417922,0.53897081249919
5,1,1475,0.0435026876222055,0.239579421795619,0.856017034581096
6,1,1491,0.288432675553485,0.209017521635456,0.168476955179677
7,1,21249,-0.0303503030076309,1.20319211550455,0.979889894124993
8,1,27243,0.220127301109964,0.163721726970028,0.179643284879331
9,1,27272,0.25724032723375,0.161094612032574,0.11119890706735
10,1,27498,1.5971582687488,1.47393573330013,0.279281304275834
11,1,27561,-0.152436596553273,1.11533584725166,0.89136697300243
12,1,27816,-0.078357767776507,0.164921622455204,0.634994385953262
13,1,27822,-0.102068772554018,0.164675085775259,0.535776731000545
14,1,27823,-0.0847147275579604,0.168098007408928,0.614603628876094
15,1,27825,-0.105622371106532,0.164668737406962,0.521663918974762
16,1,27843,-0.141245571906809,0.157670971693837,0.370956787556462
17,1,27848,-0.141245571906809,0.157670971693837,0.370956787556462
18,1,28495,-0.131629222797712,0.157697101464167,0.404453125402074
19,1,28975,-0.0741108203495268,0.156747870436432,0.636646126950906
20,1,29283,0.104786820246049,0.351346792830727,0.765692960760093
21,1,29752,-0.274209459136435,0.366059033784877,0.454304628512894
22,1,29787,1.22669756597838,0.98914985477678,0.215742359958927
23,1,30057,-0.183411445615343,0.321267481548433,0.568431018238509
24,1,30479,0.245800493957669,0.941695195868831,0.794229938485851
25,1,30706,-0.135107897710341,0.161773022217483,0.404187154103698
26,1,31435,-0.190348111199034,0.156053542911185,0.223369596381257
27,1,35128,0.389769930419325,0.214540687674009,0.0701010813968806
28,1,35129,0.18980003998905,0.215857063898046,0.379844515996005
29,1,36146,-0.235741164109987,0.155068896183389,0.129347094716078
30,1,37255,-0.119830682309679,0.313954420867204,0.702927063971054
31,1,37409,-0.086677077331053,0.156348819143496,0.579668023608261
32,1,37478,-0.0619550936111106,0.156516596370111,0.692464253213614
33,1,39144,0.0465577086241632,0.15581724252856,0.76527083859092
34,1,41499,-0.0106469998868499,0.155403655394759,0.945416937543214
35,1,45359,-0.122327199819057,0.261547159594618,0.640283390905737
36,1,45634,-0.0271398129969862,0.240308976696803,0.910144574480752
37,1,51248,-0.0385048942798408,0.156052706426707,0.805250647018506
38,1,51462,-0.0483299709425518,0.156256618128732,0.757276792368821
39,1,52124,-0.0236118360051898,0.156061103052258,0.879826550674763
40,1,52667,0.000160686432807144,0.155816045795842,0.999177758407532
41,1,55470,-0.224387370552584,0.159610256793445,0.16064955962544
42,1,59265,-0.0863055574022781,0.155669680239829,0.579646145478201
43,1,60165,-0.0608780700039017,0.155586018186153,0.695824580744479
44,1,62308,-0.166899111675087,0.155194584738743,0.282921928305011
45,1,62869,-0.173556273137552,0.155154339382374,0.264069721538943
46,1,65431,-0.123982690478936,0.162196006498683,0.445139340752127
47,1,65451,-0.0824249790154387,0.159968337198337,0.606695196294721
48,1,65719,-0.0982051010409901,0.166798171846102,0.55639477018286
49,1,66841,-0.126053114820107,0.155357535544308,0.417697481545244
50,1,66948,-0.155327451060717,0.156238096255065,0.320820397961723
51,1,68621,-0.310936830131151,0.155152689876781,0.0458261731830962
52,1,69417,-0.189838428482818,0.155291389330907,0.222347079643472
53,1,69820,-1.13155339126817,0.605959224749419,0.0626777507159514
54,1,69821,-0.197763360335426,0.377680029830973,0.600866752405983
55,1,70906,-0.206909248106554,0.249742270284827,0.407952239025091
56,1,74327,-0.126150017273414,0.156331220466823,0.420244022150022
57,1,74572,-0.0354683439422333,0.15604733478774,0.820328107649965
58,1,75211,-0.117962811797102,0.155647691612752,0.449026393579032
59,1,76030,0.0225763000380472,0.155769637368876,0.884845781036798
60,1,80108,0.0638640817790408,0.155700340938426,0.681927843586466
61,1,81262,0.0150764878005155,0.155676496054356,0.922904459336917
62,1,81999,-0.0275345779187953,0.156051871829197,0.860045511007361
63,1,82431,-0.0377473953778142,0.156784621965153,0.809881249651701
64,1,83284,-0.0542481373792507,0.15562972125799,0.727618575422999
65,1,83613,-0.0289818066651392,0.155631706106155,0.852378852988421
66,1,84112,-0.0677164628135476,0.155614770230828,0.663716235529256
67,1,84701,-0.172587409870735,0.166427771939058,0.300440619470289
68,1,84858,-0.070163054489426,0.156051136341455,0.653263450742515
69,1,85751,-0.0647447129260026,0.156699521365462,0.679727456429245
70,1,87445,-0.0340463207993202,0.157058286283139,0.828508868145171
71,1,87467,-0.0587279478984909,0.157860058233596,0.710097181587653
72,1,89070,-0.00602677678325686,0.156902483503368,0.969381726954988
73,1,89616,-0.047348241324705,0.156038404173017,0.76173358042536
74,1,89679,-0.0491490036237936,0.156056591655458,0.752990662080401
75,1,89880,-0.0444358045902327,0.156100146306828,0.776069906843194
76,1,91472,-0.000200924805950464,0.157276892001424,0.998981406246244
77,1,93789,-0.0109495039910226,0.15565541178317,0.943959288367462
78,1,94351,-0.059209359642226,0.156034342248891,0.704571768738468
79,1,99148,0.0162234006736328,0.155654107714892,0.917048196109316
80,1,101281,-0.0593986088316445,1.70237013420178,0.972185810648769
81,1,106011,0.0266779574386967,0.162217063455064,0.869464427454674
82,1,106800,-0.0906775501233237,0.15579172653917,0.560908964395268
83,1,107970,-0.107146806276107,0.155300015298545,0.490688831125177
84,1,109000,0.00836386592264299,0.15567792767094,0.957184301738762
85,1,112549,0.0725003217692278,0.15545444966815,0.641233611003105
86,1,112742,-0.0242710532135705,0.156102827403407,0.876530851682673
87,1,113050,0.0356997751449976,0.155833970133744,0.818932776277811
88,1,113135,0.0303803896568143,0.155440196629671,0.84515512592926
89,1,114076,0.100986829054208,0.155355652900893,0.51609150895088
90,1,114628,0.205893454993796,0.15545608942938,0.186211251802006
91,1,116283,0.200466344095562,0.156344986012887,0.200612100642496
92,1,126880,-3.59590104192782,2.93406679156077,0.221177983621071
93,1,127853,0.0130236154878206,0.156415331091575,0.933689585637565
94,1,128302,0.0610150522146655,0.155782200271439,0.695539158984382
95,1,128704,0.0441408035947807,0.155953454152251,0.77731336756262
96,1,128911,0.152768380019305,0.155776348535589,0.327417045211048
