SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.196445668265749,0.165952012173475,0.237308616685061
2,1,1035,0.0732750268298465,0.16805491965221,0.663089947547209
3,1,1074,0.101739082942579,0.284025834830607,0.720405043349701
4,1,1470,0.278976633834691,0.282664719289565,0.324341948946016
5,1,1475,0.0786229979090907,0.208882193627904,0.706846600792513
6,1,1491,0.0631823727795722,0.182724239691208,0.729714096003137
7,1,21249,-0.690403291100509,1.04854627234375,0.510685573833982
8,1,27243,0.0334013661644559,0.143120143532131,0.815601686078319
9,1,27272,0.0114411261017602,0.140980363704119,0.935365441402422
10,1,27498,-0.69498995565288,1.28688301834908,0.589498380359143
11,1,27561,0.713832296035807,0.971861321769642,0.463131584707447
12,1,27816,0.0341460785615869,0.143846903797226,0.812501325975039
13,1,27822,0.0395675642734966,0.143660110356714,0.783151004013349
14,1,27823,0.0421346913585376,0.146617802420374,0.773991736100115
15,1,27825,0.0566679785401684,0.143643883822764,0.693447765566157
16,1,27843,0.0253651384074302,0.137639381143377,0.853894190965781
17,1,27848,0.0253651384074302,0.137639381143377,0.853894190965781
18,1,28495,0.0179534434967313,0.137644913932641,0.896298130458737
19,1,28975,-0.00170346028919274,0.136728101085066,0.990066656530039
20,1,29283,-0.393498984886493,0.305697999212201,0.198862796036331
21,1,29752,0.119660400374574,0.31939526059324,0.70814815677636
22,1,29787,2.3524105038944,0.855304396543617,0.0062593124772604
23,1,30057,-0.0656375637923201,0.280254238457455,0.814959893329789
24,1,30479,0.56171237759101,0.820697381231331,0.49415087838336
25,1,30706,-0.0950144268324209,0.141115529906119,0.501190984768095
26,1,31435,-0.0690717152383633,0.136316309081745,0.612680433255694
27,1,35128,0.139677222102353,0.187805963608079,0.457533630006117
28,1,35129,-0.0445154979531863,0.188419466596625,0.813369946460084
29,1,36146,-0.117455475351008,0.135518597560164,0.386689043545116
30,1,37255,-0.129227313194992,0.273739778314698,0.637160753455954
31,1,37409,-0.109289402772345,0.136272129855916,0.423096104200799
32,1,37478,-0.0974809913177248,0.136414842624667,0.475333310248803
33,1,39144,-0.0563341094065638,0.135857445827619,0.678645598273671
34,1,41499,-0.089634964408157,0.135429594071163,0.508494973024521
35,1,45359,0.0472914368104309,0.228127087306311,0.835892741252982
36,1,45634,-0.212786275847833,0.20924804208189,0.309893049049724
37,1,51248,-0.208606447853648,0.135636729205042,0.124949588226261
38,1,51462,-0.191037010991604,0.135895090025577,0.160672487339111
39,1,52124,-0.163513458845996,0.135811846747564,0.229407673056036
40,1,52667,-0.243629838715486,0.135252124235276,0.0725086374235476
41,1,55470,-0.0932418234904221,0.139481697563451,0.504259103876221
42,1,59265,0.0361058481916527,0.135790161983798,0.790475739307135
43,1,60165,0.0448992112487775,0.135680093282276,0.740901507175968
44,1,62308,-0.0258912182851578,0.135544890396693,0.848623013226636
45,1,62869,-0.0279251174614512,0.135526720698555,0.836871579417147
46,1,65431,0.0439160385079044,0.141533367103172,0.756525427574075
47,1,65451,0.0756014928738769,0.139487540305603,0.588164182366358
48,1,65719,0.126795121814662,0.145363594758982,0.383658428793285
49,1,66841,0.10664041794559,0.135479903799176,0.431733396878013
50,1,66948,0.077971932462906,0.136367798955962,0.567837153613417
51,1,68621,-0.0741134354389359,0.136004144477808,0.586142244114199
52,1,69417,-0.0297274217552713,0.135691912559397,0.826714129792422
53,1,69820,-0.44307626768979,0.530478754083615,0.404148387818498
54,1,69821,-0.125560807123978,0.329398804473516,0.703297717294251
55,1,70906,-0.120824442451205,0.217893149294775,0.579579397416242
56,1,74327,0.128791951869959,0.136274912871948,0.34525975762381
57,1,74572,0.109880289224256,0.135958218722892,0.419524601825725
58,1,75211,0.0999589855742751,0.135731647216442,0.46194863352159
59,1,76030,0.157392960952676,0.13557731468133,0.246463252133733
60,1,80108,0.0535976811300424,0.135773793893232,0.693260498639424
61,1,81262,0.0380137042891806,0.135737340886448,0.779600571054581
62,1,81999,0.0345922631434437,0.136071490109195,0.799472660914632
63,1,82431,-0.0079409349080605,0.136727477892453,0.953718915092367
64,1,83284,0.040937282320605,0.1357156921444,0.763104126086543
65,1,83613,0.0526732769395099,0.135689265578469,0.698109098842224
66,1,84112,0.0447741373807763,0.135712259847423,0.741656392836303
67,1,84701,0.0436868792749023,0.145328067203531,0.763889873901024
68,1,84858,0.0980474159584327,0.136016189231868,0.471478252805534
69,1,85751,0.0412969732872568,0.136658060320591,0.762683667653101
70,1,87445,0.0427787161163162,0.136945732073562,0.754938365643807
71,1,87467,-0.0125670008731561,0.137680050164373,0.927324387791159
72,1,89070,0.0405153265399265,0.136802973758286,0.767283399539267
73,1,89616,0.0339452544275087,0.136071951709192,0.803145839352986
74,1,89679,0.0343331472902209,0.136088910204577,0.800967856919967
75,1,89880,0.0487030497353108,0.136110981601498,0.720692875521014
76,1,91472,0.0551551874312374,0.137114746670138,0.687739320081675
77,1,93789,0.0313822280763902,0.135722903921653,0.817275691547227
