SNP,Chr,Pos,Effect,SE,HUG1_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.132437079192058,0.0615703898770458,0.0321555426606104
2,1,1035,0.148101164133314,0.0621526797753138,0.0177072782290057
3,1,1074,0.130555611659434,0.105646743131902,0.217363913850646
4,1,1470,-0.209075039833195,0.104905194832259,0.0470319706175163
5,1,1475,-0.152679098800785,0.0774403363914886,0.0494391731312156
6,1,1491,-0.164185042596912,0.0675495369486088,0.0155718994382672
7,1,21249,-0.214917847168073,0.390863367156068,0.582767125862469
8,1,27243,-0.092906539127513,0.0531149819904895,0.0811326570558348
9,1,27272,-0.108532406091821,0.0522250486059053,0.03841604582853
10,1,27498,0.252728308559147,0.479627886109008,0.598576078838917
11,1,27561,-0.0511515715467672,0.362476959071771,0.887858203606602
12,1,27816,0.0477345388342567,0.0535554627995865,0.373369805804389
13,1,27822,0.0491359357818192,0.053483647419941,0.358874843106989
14,1,27823,0.0487576434658238,0.0545888636495834,0.372369658278553
15,1,27825,0.0485633509379928,0.0534851289126103,0.36450898223167
16,1,27843,0.0760220143594261,0.0511405322168118,0.138031172553181
17,1,27848,0.0760220143594261,0.0511405322168118,0.138031172553181
18,1,28495,0.0685091576474035,0.0511714305151369,0.18149193722753
19,1,28975,0.0639097299638093,0.0508446058741489,0.20959850099985
20,1,29283,-0.0676369507360404,0.11414327218495,0.553853789289977
21,1,29752,-0.245599510718518,0.118341781649991,0.0386787449608846
22,1,29787,-0.11098153965534,0.322113268723532,0.730643911452165
23,1,30057,0.279240946116653,0.103395495904679,0.00725273501235118
24,1,30479,-0.0701331584260627,0.306052171776914,0.818881731201974
25,1,30706,0.0774355528943837,0.0524655641327619,0.140853846977042
26,1,31435,0.0696080229385109,0.0506880345686984,0.170542079835326
27,1,35128,-0.103491375558021,0.0698327683825207,0.139235410530649
28,1,35129,-0.084413454829793,0.0700851964146868,0.229226262766189
29,1,36146,0.079523181214511,0.0503837135311455,0.11538066950295
30,1,37255,0.143628909567443,0.101767673113951,0.159024793318371
31,1,37409,0.0586888220540265,0.0507384988334649,0.248180330156969
32,1,37478,0.0628817515332407,0.0507680612404912,0.216313533266375
33,1,39144,0.0292694212795829,0.0506221259431037,0.563501659999397
34,1,41499,-0.00154974463297859,0.0505055427442257,0.97553837826009
35,1,45359,0.0141476685862081,0.0850242877042692,0.867940891259185
36,1,45634,-0.0763861059508901,0.0779945229840933,0.328064054769706
37,1,51248,-0.012955292668931,0.0507158980875605,0.798525603379334
38,1,51462,-0.0220482520494558,0.0507758039046912,0.664388509244815
39,1,52124,-0.0147584781957923,0.0507145023839912,0.771213813567206
