SNP,Chr,Pos,Effect,SE,ERG11_ORM2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0563321103804766,0.138706635276282,0.684897481986676
2,1,1035,0.0918202533463076,0.140171661254493,0.512858481774078
3,1,1074,0.217856540261142,0.236740374762053,0.358078919967449
4,1,1470,-0.104428737080351,0.236105197360471,0.658544809996386
5,1,1475,-0.0676928864166424,0.174281642208096,0.69794613814258
6,1,1491,-0.126402430015777,0.152335967247529,0.40723475135427
7,1,21249,-1.39885501096899,0.872235082889218,0.109661458586778
8,1,27243,-0.191292065279983,0.11898879347217,0.108806370857766
9,1,27272,-0.0724869692629766,0.117566836057636,0.537922619545233
10,1,27498,-0.618951652947592,1.07366784273149,0.564655905309368
11,1,27561,1.43557294423872,0.807900971303703,0.076442974090751
12,1,27816,-0.00263463905772532,0.120030262169673,0.982500409421494
13,1,27822,-0.0108883505443833,0.119876389185477,0.9276793346555
14,1,27823,-0.0162295040656981,0.122343964819381,0.894542040051286
15,1,27825,-0.0158045597631464,0.119874838617755,0.895184237486339
16,1,27843,-0.036119850119274,0.114830860682807,0.753290480896455
17,1,27848,-0.036119850119274,0.114830860682807,0.753290480896455
18,1,28495,-0.00362972522809235,0.114848649340332,0.974805377969851
19,1,28975,-0.00170208164764782,0.114081077287623,0.988104488936041
20,1,29283,-0.217588183406794,0.255399066294669,0.394817391483784
21,1,29752,-0.0634742459777895,0.266523665873508,0.811898179334644
22,1,29787,1.95602014889576,0.713688199397569,0.00644223847184627
23,1,30057,0.0829428928657761,0.233810711783169,0.722993395199522
24,1,30479,1.39126043790612,0.681202147546693,0.0418583935881753
25,1,30706,-0.100853716584735,0.117695037544374,0.392077563385732
26,1,31435,-0.0416589239081734,0.113757251374577,0.714428541542838
27,1,35128,0.0973170617660148,0.15673580785419,0.535066956826088
28,1,35129,0.117094418080242,0.15709939016678,0.456554657265282
29,1,36146,-0.0925773366170991,0.113084867868049,0.413536367721922
30,1,37255,-0.0726188215485379,0.228438172705528,0.750754318102824
31,1,37409,-0.076009148588459,0.113732251238672,0.50436828863016
32,1,37478,-0.0677231455338951,0.113844962360051,0.552310353895087
33,1,39144,-0.143688809232839,0.113124026698269,0.204854162941401
34,1,41499,-0.165029190024549,0.112726058174275,0.144088136241882
35,1,45359,-0.457329386632007,0.188790034742196,0.0159201904831437
36,1,45634,-0.217590874039577,0.174460726841401,0.213143748164077
37,1,51248,-0.130220446894124,0.113337292418992,0.251348820820052
38,1,51462,-0.130312934860411,0.11349125232345,0.251655225206136
39,1,52124,-0.101274691380871,0.113421004641441,0.372513945622768
40,1,52667,-0.193508486714032,0.112898219969207,0.08740502084936
41,1,55470,-0.125101183485579,0.116261718865246,0.28264837095992
42,1,59265,-0.0652498797399887,0.113256616295024,0.564898350685117
43,1,60165,-0.0521799250733643,0.11319015915784,0.645087178517439
44,1,62308,-0.109602857392288,0.112949158616114,0.332524821033305
45,1,62869,-0.123113065105023,0.112895495284924,0.276234708708677
