SNP,Chr,Pos,Effect,SE,MID2_TPO4_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.122854519378969,0.0613203275431041,0.0458888779823459
2,1,1035,0.0465392179293693,0.0622933924885384,0.455502232934011
3,1,1074,0.0681563626558148,0.105292169790901,0.517853966675309
4,1,1470,0.0824114634673005,0.104883564562019,0.43254550385023
5,1,1475,-0.044053136693897,0.0774473438364385,0.569844048944712
6,1,1491,-0.00545667652703297,0.0677770444337431,0.935877892972154
7,1,21249,-0.00756501666641274,0.389108582323089,0.984499556276367
8,1,27243,0.0244672697966115,0.0530665003383058,0.645033702840724
9,1,27272,-0.00149350848769947,0.0522852380098975,0.977227963563499
10,1,27498,-0.301272520883911,0.477188824067969,0.528221179970706
11,1,27561,-0.0113914183791524,0.360705040586504,0.974824060369268
12,1,27816,0.000332313157603958,0.05335216746974,0.995033789301012
13,1,27822,0.00176405407326419,0.0532842790708014,0.973608399145158
14,1,27823,0.013579722141132,0.0543771015374,0.802939589173056
15,1,27825,0.00176725401215261,0.0532842787704166,0.973560543043141
16,1,27843,0.0263752240828309,0.0510289037642181,0.605571754289109
17,1,27848,0.0263752240828309,0.0510289037642181,0.605571754289109
18,1,28495,0.0407659793006208,0.0510029044586478,0.424661261387444
19,1,28975,0.0199730865685419,0.0506966581552258,0.693839258215424
20,1,29283,-0.0158596622971912,0.113635596294258,0.889082522261975
21,1,29752,-0.101041381131687,0.118354241097455,0.393839101548483
22,1,29787,-0.108854108503023,0.320531607396474,0.734356040450285
23,1,30057,0.115915290353369,0.103761562465918,0.264697950651832
24,1,30479,-0.14304405615204,0.304475396059637,0.638784443132024
25,1,30706,0.00685950459476217,0.052367261755385,0.895859090421532
26,1,31435,-0.00174735966583422,0.0505733680373244,0.972457315234489
27,1,35128,-0.109900687425363,0.0694595131632098,0.114493370044029
28,1,35129,-0.0776089510141689,0.0697616951032542,0.266686020825688
29,1,36146,-0.0136219232136742,0.0503074513583744,0.786723519584449
30,1,37255,0.00173893467225916,0.101552751077287,0.986347795702761
31,1,37409,-0.00526192673646478,0.050583933771686,0.917209635165234
32,1,37478,-0.0170367358181254,0.0506200726935856,0.736647944963965
33,1,39144,-0.0696062972982508,0.0502608083978637,0.166957041753079
34,1,41499,-0.041391419051132,0.0502090651831982,0.410279558313222
35,1,45359,-0.0707317485991634,0.0845259141311529,0.403268043733672
36,1,45634,0.0485161796724642,0.0776736384836749,0.532626765795714
37,1,51248,0.00702063437760055,0.0504699092655229,0.889446226663745
38,1,51462,0.00864656366065276,0.0505376366662774,0.8642497914214
39,1,52124,0.0102788695430676,0.0504683273413684,0.83872897382614
40,1,52667,-0.0382936601168417,0.0503491692691264,0.447426487656716
41,1,55470,0.0249745765296595,0.0517446681937839,0.629643265514767
42,1,59265,0.0283778795015479,0.0503423317659089,0.573317492386593
43,1,60165,0.0213676937671305,0.0503140736462661,0.671324158601036
44,1,62308,-0.0237684583581061,0.0502556568318237,0.636540508319411
45,1,62869,-0.0295407256355948,0.0502406662658609,0.556918759832776
46,1,65431,0.0270924698426408,0.052477250501784,0.605988560434191
47,1,65451,0.0533218259141913,0.0516748184240166,0.302838276715654
48,1,65719,0.003619936650467,0.0539681245343885,0.946559605896765
49,1,66841,0.0159926343088662,0.050281748124231,0.750627175844975
50,1,66948,0.00277358369491529,0.0505973663729402,0.95631545875423
51,1,68621,0.0103362025920757,0.0504575126912231,0.837807678450493
52,1,69417,-0.00583140835535895,0.0503259684228797,0.907819280777148
53,1,69820,-0.242864864460374,0.19650609404367,0.217311888178568
54,1,69821,-0.0699928212816641,0.12213112280174,0.566944778550121
55,1,70906,-0.0225019781514932,0.0808354561501005,0.780893113955193
56,1,74327,0.0121922588645036,0.0505994581444458,0.809728865884789
57,1,74572,-0.00108996698223479,0.0504688628609205,0.982781771962772
58,1,75211,-0.0157933734399143,0.0503698822518358,0.75404958646965
59,1,76030,0.042498645842542,0.0503260877776004,0.398981265947282
60,1,80108,0.018013302034744,0.0503558584287466,0.720766588922866
61,1,81262,-0.0320919592498528,0.0503169609697321,0.524019936268251
62,1,81999,0.00957435149867703,0.0504663234325149,0.849639443994432
63,1,82431,-0.000424115432193312,0.0507077975798311,0.993331368225696
64,1,83284,0.00419652692280599,0.0503383141867113,0.933607412990556
65,1,83613,0.00928440575371214,0.0503308368819918,0.853752616043782
66,1,84112,0.0315258364828647,0.0503108362548555,0.531312587176807
67,1,84701,0.0541100672989944,0.0538271329673922,0.315462000011662
68,1,84858,0.0277882052338604,0.0504592101308923,0.58218336319746
69,1,85751,0.0329282979360977,0.0506580630471503,0.516107898801867
70,1,87445,0.035148011099403,0.0507610623235664,0.48912839190491
