SNP,Chr,Pos,Effect,SE,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0218231759774293,0.17463477237984,0.9006226572368
2,1,1035,0.145823974171048,0.176378481571312,0.408927417685193
3,1,1074,0.132828868006001,0.298271891129198,0.656355598818499
4,1,1470,0.0695846812802614,0.297258171832709,0.815052078140469
5,1,1475,0.229353235892477,0.219085162115009,0.295876756657306
6,1,1491,0.298978295571903,0.191279989947364,0.11893917638859
7,1,21249,-0.488745814450987,1.10161694389774,0.657558628640304
8,1,27243,0.155350948317083,0.150097628210364,0.301377720359535
9,1,27272,0.0476417076885993,0.148045943394962,0.747792011734752
10,1,27498,1.11023463683695,1.35083032197793,0.411693982394863
11,1,27561,0.199377188021921,1.02143327821637,0.845353727626796
12,1,27816,-0.0156391524154192,0.151086658053064,0.917616088744396
13,1,27822,-0.0202183663482541,0.150893085408723,0.893485782383142
14,1,27823,-0.0170486482326085,0.1540024008597,0.911914159803249
15,1,27825,-0.0130623820007943,0.150895320962944,0.931065691072672
16,1,27843,0.0049147114621062,0.14456408723034,0.97289894442543
17,1,27848,0.0049147114621062,0.14456408723034,0.97289894442543
18,1,28495,0.0315277819812995,0.144556925337648,0.827477671014405
19,1,28975,0.0874622810429192,0.143524845554241,0.542659473877344
20,1,29283,-0.308579147306716,0.321396148124915,0.337651553820461
21,1,29752,-0.115818677056897,0.335458659012054,0.730108539009586
22,1,29787,0.632637727759157,0.907242732258749,0.486062083832294
23,1,30057,0.298872747072675,0.293933028388495,0.309942312266766
24,1,30479,-0.0243199448722446,0.862517787932615,0.977521397538181
25,1,30706,0.108202383925757,0.148191513160277,0.465781326476438
26,1,31435,0.0538410823155757,0.143191181464616,0.707136546639083
27,1,35128,0.19926306515721,0.197114775432191,0.312757333073266
28,1,35129,0.0773748701109431,0.197862540578134,0.695993492367083
29,1,36146,-0.0381516282161872,0.142466881359875,0.789015092081794
30,1,37255,0.150060994689614,0.287478215474379,0.6020040920682
31,1,37409,0.0344729038677045,0.14323997766165,0.809954183939811
32,1,37478,0.038815042538251,0.143359988560297,0.786739812275737
33,1,39144,0.126733026264641,0.14256112830668,0.374622845233918
34,1,41499,0.104475927077483,0.142216071203338,0.463053719161491
35,1,45359,-0.148527436684295,0.239477281300441,0.535516326061748
36,1,45634,0.257288706058629,0.219660421427888,0.242267392847182
37,1,51248,0.0303526232238897,0.142921412121332,0.831938766446863
38,1,51462,0.00431052445278236,0.143124173332105,0.975990463681437
39,1,52124,-0.00373598242504111,0.142930403925088,0.979161660922751
40,1,52667,0.162312446401517,0.142439737487344,0.255260383855999
41,1,55470,-0.115829417253471,0.146455281591044,0.429541612630036
42,1,59265,-0.0641092883300025,0.142588665540719,0.653267628233959
43,1,60165,-0.025038946869827,0.142515475685707,0.860636010534633
44,1,62308,-0.121343520357161,0.14221839254619,0.394116101070977
45,1,62869,-0.14113845112382,0.142148729695381,0.321442296542973
46,1,65431,-0.0378244241421081,0.148653712868512,0.799298751871332
47,1,65451,-0.0132793109338747,0.146557660305931,0.927855387460121
48,1,65719,-0.113805029594144,0.152714177001053,0.456637106490147
49,1,66841,-0.0501202226070033,0.142389183601872,0.72505235437819
50,1,66948,-0.0607771196594836,0.143251663665286,0.671628699470732
51,1,68621,-0.21055299428341,0.142459907951872,0.140304614393552
52,1,69417,-0.044184544478003,0.142502302956892,0.756696801911738
53,1,69820,-0.0329113807898107,0.557689025575587,0.952974463727571
54,1,69821,0.255524121081505,0.345758767099986,0.460383367818548
55,1,70906,-0.30629899802382,0.228363299837302,0.180692052445137
56,1,74327,-0.132029708149258,0.143132880146396,0.356935645686759
57,1,74572,-0.105011722280058,0.142814427712182,0.462643881568556
58,1,75211,-0.13456885394075,0.142483312448558,0.345583961657067
59,1,76030,-0.0978532170196471,0.142568119214333,0.492935981588611
60,1,80108,-0.0739283115151597,0.142575200846816,0.604419311661202
61,1,81262,-0.0502061556764822,0.142550522429293,0.724899174631262
62,1,81999,-0.0324850496397311,0.142913297401457,0.820317397372959
63,1,82431,0.0439717165259406,0.143581246404229,0.759595062445775
64,1,83284,-0.0259488213601901,0.142548671330664,0.855659889440468
65,1,83613,-0.0142699305740182,0.142537629591689,0.920311108222092
66,1,84112,0.0142404137646037,0.1425533468787,0.920484130684904
67,1,84701,-0.0146005154646419,0.152650059865184,0.9238552344571
68,1,84858,0.0214116717324801,0.142953154342871,0.881022910681552
69,1,85751,0.0358454213653254,0.143532611076909,0.802935911823744
70,1,87445,0.0232129193556642,0.143843429168064,0.871889357973274
71,1,87467,0.0250416419963958,0.144595647085559,0.862606117635648
72,1,89070,0.0170212900080854,0.14369391651575,0.905774375671834
73,1,89616,-0.00141246498322187,0.142923736237004,0.992120498768942
74,1,89679,0.00343146816971299,0.142941738103188,0.980861337931969
75,1,89880,0.00851379591473692,0.142977354888093,0.952550553843502
76,1,91472,-0.00108371674753793,0.144039356526254,0.994001219220064
77,1,93789,0.0548983055998911,0.142525413297322,0.700334138483162
78,1,94351,0.0536319155172565,0.142902034674359,0.707658701248621
79,1,99148,0.0492838299694733,0.142531226247934,0.729717288118541
80,1,101281,1.04040441510064,1.55810572783051,0.50473797307377
81,1,106011,-0.11220500260218,0.148449352431052,0.450244988318341
82,1,106800,-0.0437588327436072,0.142728651042359,0.759338061443977
83,1,107970,-0.0964456372347611,0.142232139870661,0.498161335762065
84,1,109000,0.0544573781002461,0.142546101207223,0.702666439894663
85,1,112549,-0.00313616266346017,0.142414072323619,0.982443296970294
86,1,112742,-0.0835416472139716,0.142899854325878,0.559178899376144
87,1,113050,-0.0582258809951031,0.142694852358605,0.683488224672213
88,1,113135,-0.0944125032342931,0.142276251008338,0.50738856931449
89,1,114076,0.0480738455427832,0.142341968247241,0.735763747222166
90,1,114628,0.0693357448031391,0.14267740420319,0.627295883482315
91,1,116283,0.180408291493644,0.143197367014377,0.208553016771141
92,1,126880,-3.68145836225066,2.68568754336412,0.171317778206567
93,1,127853,-0.105084772678482,0.143142498834034,0.463358675915244
94,1,128302,-0.0869249564698558,0.142626458019685,0.542612407298807
95,1,128704,-0.108100503654353,0.142727603407802,0.449321323930089
96,1,128911,-0.0660909191309789,0.14281602017459,0.64381462961838
97,1,130267,0.103599814982214,0.14268511171179,0.468275113794037
98,1,130271,0.101060334315916,0.142859866123878,0.479779190663065
99,1,130613,0.176079899666571,0.143992395634165,0.222205273749702
100,1,132012,0.0331185997266494,0.143979981418929,0.818207712374093
101,1,133231,-0.0590837864089464,0.142934426477845,0.679591759740724
102,1,137074,-0.0647382355752283,0.142724097547177,0.65040260832009
103,1,137304,-0.0846059991741512,0.142744295695117,0.553754614434463
104,1,139686,-0.0610075052382308,0.14296611898189,0.669838299308471
105,1,149562,-0.0679580956291125,0.143283580190033,0.635585740614345
106,1,150447,-0.0220961151240627,0.144914299883694,0.878897748479239
107,1,151446,-0.126824268795108,0.291058369016224,0.663295459946305
108,1,154084,-0.036969478177059,0.145353478542245,0.799379535388911
109,1,156633,-0.0373463210218631,0.147346347269845,0.800060759883492
110,1,157269,-0.0789074996988395,0.142666697228765,0.580551993479085
111,1,160054,-0.0482240653710542,0.144061674280286,0.73801553202689
112,1,166222,-0.0664085667700278,0.142975167939037,0.642592923601647
113,1,166416,-0.0616579429027844,0.142690768140092,0.665926134846529
114,1,167326,-0.0826699697468862,0.143472105651895,0.564840873709396
115,1,168836,-0.0565539385173714,0.142827620254446,0.692374195837593
116,1,171200,-0.0617704105171126,0.143035497441602,0.66611139089094
117,1,171431,-0.0665251704961151,0.143922943170821,0.644202802432396
118,1,173339,-0.117928401057046,0.142708947171969,0.40916032924699
119,1,173845,-0.134148546226388,0.142549799407323,0.347315378122676
120,1,175121,-0.0926885862894239,0.142360056416418,0.515414813114432
121,1,175281,-0.0889555623725201,0.142487945480319,0.532832289512757
122,1,175315,-0.0944605158774187,0.142433001254444,0.507640030648977
123,1,175523,-0.0783860827713425,0.143268493370163,0.584637093532514
124,1,175541,-0.0919666044718229,0.142660321497019,0.51956987205496
125,1,175653,-0.0914637295602276,0.143113188891846,0.523171948039157
126,1,175805,-0.115778878903558,0.151169580290492,0.444255104473259
127,1,175818,-0.156435084711442,0.147584614601614,0.289883513959258
128,1,175856,-0.124251041011935,0.145409646341456,0.393413255087952
129,1,175876,-0.111011094703129,0.143207390530037,0.438753957342697
130,1,175989,-0.084963832572956,0.143667015045488,0.554634869682623
131,1,176001,-0.101424540269733,0.144386262749684,0.482859745078691
132,1,176451,-0.0263293440878907,0.146217228186707,0.857200897469455
133,1,177692,-0.118197149442928,0.142382794587595,0.407022691943437
134,1,178191,-0.119378185736333,0.142521656049484,0.4028140697121
135,1,178224,-0.118197149442928,0.142382794587595,0.407022691943437
136,1,178960,-0.110000292353283,0.143540654014163,0.443988881458458
137,1,179139,-0.212817809247358,0.28450452972254,0.454940354293375
138,1,179139,-1.0619739474735,0.570661394935915,0.0635820235409375
139,1,180955,-0.0129726310951099,0.164979176553904,0.93736994322174
140,1,183802,-0.146276803282606,0.142326871148141,0.304769958026849
141,1,183954,-0.109608887911065,0.143458811373665,0.445351229779821
142,1,184450,-0.0825476236308315,0.142252442078254,0.562089515142518
143,1,184641,-0.0987249704785012,0.146367613840968,0.500434906901238
144,1,184718,-0.0877257396703708,0.143052720926298,0.540112160143107
145,1,185296,-0.0728425418567604,0.142468963658171,0.609469689903172
146,1,185438,-0.0733142337700417,0.142475009889809,0.607171294426916
147,1,185469,-0.0787297988574741,0.142672609751032,0.581419887921276
148,1,185503,-0.0754116720647304,0.142308371780596,0.596502390555913
