SNP,Chr,Pos,Effect,SE,FMP45_MID2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.179808995912559,0.174287795480013,0.302929001651653
2,1,1035,0.183863644203183,0.176188353377618,0.297401747850965
3,1,1074,0.07604885486721,0.298177369934504,0.798836332672015
4,1,1470,0.187286906620495,0.296963706175485,0.52866262911024
5,1,1475,-0.0265384081432565,0.219309516066482,0.903752817771407
6,1,1491,-0.0814793203858626,0.191794716410742,0.671222581482589
7,1,21249,-1.01877641571343,1.10003137428494,0.355009093439
8,1,27243,0.128776509590078,0.150092792913957,0.391486051913182
9,1,27272,0.0605044525549081,0.147957765836219,0.682838600715323
10,1,27498,-1.07082599032915,1.35023632044683,0.428272307517471
11,1,27561,0.560265624783903,1.02053644917082,0.583358507585167
12,1,27816,0.103285213720051,0.150912480673772,0.494168716059452
13,1,27822,0.106044284705614,0.150714994080948,0.482140721039357
14,1,27823,0.101267669359552,0.153832826150857,0.510776480101225
15,1,27825,0.105075597844574,0.150716916059839,0.486154108083171
16,1,27843,0.0691788779282927,0.144444323139115,0.632284177640113
17,1,27848,0.0691788779282927,0.144444323139115,0.632284177640113
18,1,28495,0.0378224145609818,0.144479560338051,0.793640779400492
19,1,28975,0.0439803592244025,0.143508637254677,0.75943138622723
20,1,29283,-0.49075390646296,0.320590528022022,0.126719145376145
21,1,29752,0.0272285804495915,0.335342553703306,0.935331844087495
22,1,29787,1.80925468409663,0.902284309602557,0.04570535426204
23,1,30057,0.0501065878968063,0.294202268452104,0.864861245453157
24,1,30479,0.687361012530346,0.861306117984938,0.425380925702277
25,1,30706,-0.00778225052402548,0.148227826756056,0.95815843623235
26,1,31435,0.00877145658966255,0.143146692834154,0.9511740829359
27,1,35128,0.305431082106707,0.196629236791108,0.121239176011208
28,1,35129,0.195829841955717,0.197530549885299,0.322174170796365
29,1,36146,-0.118173898292118,0.142270358497377,0.40674462984158
30,1,37255,-0.191134934152171,0.287263686196971,0.506252158420949
31,1,37409,-0.0878119773450005,0.143103010308032,0.539856549714403
32,1,37478,-0.0917214307883503,0.143219217189172,0.522310624881721
33,1,39144,-0.0759442768477777,0.142591189752209,0.594644579583235
34,1,41499,0.00284857698575828,0.142252714113519,0.984034931668212
35,1,45359,-0.0677157477258614,0.239459479020527,0.777506763318284
36,1,45634,-0.462135652349605,0.218596103828291,0.0352069005095806
37,1,51248,-0.252606913363493,0.142224207145887,0.076574856785903
38,1,51462,-0.227623137924226,0.142538062763151,0.111176343795988
39,1,52124,-0.233506827885356,0.142316645855428,0.10173884538017
40,1,52667,-0.260602661822271,0.141953295748845,0.0672232034759933
41,1,55470,-0.226643992494281,0.146013426876939,0.121507237182698
42,1,59265,-0.0463294918300904,0.142536057766696,0.745345624237951
43,1,60165,-0.0840131730198733,0.142379460145796,0.55552441774024
44,1,62308,-0.180081551586959,0.141969816933531,0.205473319411816
45,1,62869,-0.213096513816141,0.141822320417591,0.133846633359892
46,1,65431,-0.119143553540076,0.148456815993307,0.422776666808268
47,1,65451,-0.139816453433452,0.146296130203147,0.339873560141194
48,1,65719,-0.0260012198505164,0.152750727527863,0.864934684754749
49,1,66841,-0.117850838601148,0.142203904553478,0.40780846197482
50,1,66948,-0.143741123881739,0.14301125638762,0.315535451830243
51,1,68621,-0.346464974131696,0.141632348151517,0.0149234013471689
52,1,69417,-0.191978432672809,0.142082717017737,0.177505131328383
53,1,69820,-0.355121910432005,0.557089302021777,0.524238766155691
54,1,69821,-0.230236403625132,0.345634054010896,0.505764585416512
55,1,70906,-0.0327810231258621,0.228822089659605,0.886166687854136
56,1,74327,-0.10542337657814,0.143122887984463,0.461858876909268
57,1,74572,-0.118429207772716,0.1427123699711,0.407187019276609
58,1,75211,-0.0494413464128243,0.142566816430778,0.728952567056491
59,1,76030,0.0366387548259939,0.142577765087308,0.797348687672392
60,1,80108,-0.183600911557302,0.142222060616354,0.197567415306485
61,1,81262,-0.236913456819671,0.141944505163482,0.095992691033774
62,1,81999,-0.224900635358489,0.142349098403068,0.115020070236877
63,1,82431,-0.294005818895464,0.142672133257356,0.0400629803144508
64,1,83284,-0.098969380992191,0.142385892991378,0.487463345789106
65,1,83613,-0.0666376071153457,0.142423441740216,0.640156491109437
66,1,84112,-0.0793186550585055,0.142420740841353,0.577926876635058
67,1,84701,-0.113301197981149,0.152455649602732,0.457870161828459
68,1,84858,-0.0126075158978139,0.142883854024936,0.929739050193149
69,1,85751,-0.128987902884623,0.143308374983951,0.368695367180935
70,1,87445,-0.10051825018131,0.143676442742552,0.484628290804235
