SNP,Chr,Pos,Effect,SE,noPPI_reference_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0204762080022867,0.203434872825249,0.919883540966429
2,1,1035,0.0531352155298836,0.205643939015953,0.796260727816507
3,1,1074,0.0887731392571265,0.347524524125625,0.798528774773927
4,1,1470,0.0280029853905432,0.34630183376067,0.935596776592925
5,1,1475,0.0934569809053558,0.255561328928408,0.714813232651549
6,1,1491,0.0945802305332517,0.223536494910609,0.672473619764733
7,1,21249,-1.10659469785711,1.2822872300661,0.388731621572116
8,1,27243,-0.0246777227491554,0.175109973137885,0.888007998344367
9,1,27272,-0.0216972281379837,0.172481204655634,0.899966019674099
10,1,27498,-2.85362728526699,1.56775678708868,0.069575602228496
11,1,27561,1.02684618101036,1.18868335399158,0.388255924084371
12,1,27816,-0.0470133574904147,0.175986808623416,0.789516314438534
13,1,27822,-0.0582104246123368,0.175753595674622,0.740686362235355
14,1,27823,-0.0800745410894315,0.179350978324858,0.655532706393441
15,1,27825,-0.0649094307536019,0.175746948489629,0.712099776451489
16,1,27843,-0.0782230189198565,0.168352539449985,0.642477030387174
17,1,27848,-0.0782230189198565,0.168352539449985,0.642477030387174
18,1,28495,-0.0388835362426428,0.168394022118809,0.817520004438582
19,1,28975,-0.0269708618438653,0.167274876925341,0.871999155781708
20,1,29283,-0.274723120708119,0.37459993340552,0.463815043153101
21,1,29752,-0.338464769289839,0.390428774848681,0.386582784080322
22,1,29787,2.1928435992255,1.05112129113068,0.037678420565291
23,1,30057,-0.34249231418697,0.342420871363233,0.317894675282589
24,1,30479,0.952919101419047,1.00347332925373,0.342954668860489
25,1,30706,-0.168456108644,0.172526840134878,0.329532336644703
26,1,31435,-0.109825273184612,0.166735396801532,0.510530660397268
27,1,35128,0.27285695454233,0.229493486540737,0.235257367465225
28,1,35129,0.225760931030269,0.230228048500472,0.327463093749471
29,1,36146,-0.186952742108432,0.165679004878168,0.259915930331682
30,1,37255,-0.251988726681438,0.334746068990935,0.452086382815034
31,1,37409,-0.131961753192703,0.166727086270393,0.429193341728209
32,1,37478,-0.134935482076819,0.166863928748277,0.419257824582641
33,1,39144,-0.141964654167547,0.166084473745656,0.39325613401398
34,1,41499,-0.173969213930216,0.165536341359321,0.294003809456116
35,1,45359,-0.482917233308109,0.277934783489273,0.0831675908473611
36,1,45634,-0.251203515358423,0.256031896993781,0.327194929071765
37,1,51248,-0.0392165186021346,0.166487724613689,0.813916909133004
38,1,51462,-0.0521939838016606,0.166703439634112,0.754393524785924
39,1,52124,-0.00950680613845974,0.166500039556051,0.954499497875361
40,1,52667,-0.111844612120547,0.166127346901026,0.501231172289642
41,1,55470,-0.108201465080961,0.170660748017421,0.526481687094315
